confidence_bin,games,mean_delta,total_delta
0,11,0.0010213289410552361,0.011234618351607597
1,15,-0.00024113067340884124,-0.0036169601011326186
2,21,-0.0056061624194193452,-0.11772941080780625
3,22,-0.00057052968822923203,-0.012551653141043104
4,33,-0.0011202274621631685,-0.036967506251384563
5,35,-0.0013577939334933748,-0.047522787672268113
6,29,-0.0015158363326619874,-0.043959253647197633
7,46,0.00078072469059834793,0.035913335767524007
8,21,0.0013580250098046056,0.028518525205896719
9,19,0.00070148462730468904,0.013328207918789092
