recipe,seasons,games,mean_brier,mean_log_loss,mean_delta,game_weighted_brier
anchor,4,252,0.19312348130526669,0.56433148251787824,0,0.19312348130526666
anchor_consensus,4,252,0.19243557303392933,0.56372294952960711,-0.00068790827133734939,0.19243557303392933
