Feature,Block,MissingRate,NonMissingRows,UniqueValues,GlobalCorrelation,MedianAbsoluteSeasonCorrelation,SeasonSignConsistency,SeasonCoverage,SeasonCorrelationIQR,StabilityScore,Mandatory,InPrecorrelationPool,Selected,SelectionRank,ExclusionReason,OuterFoldID,InnerFoldID,Model,TargetColumn,SeedAware
diff__norm__rating__pagerank_margin__pct,within_season_normalization,0.0,646,539,0.45814153524889595,0.46145997658743576,1.0,1.0,0.10613055072109706,0.5780467044878823,False,True,True,33.0,selected,rich_M_2016,rich_M_2016_inner_2013,hist_classifier,Team1Win,True
diff__compact__half_marginmean_first,compact_performance,0.0,646,606,0.46246579201919896,0.45437273137566137,1.0,1.0,0.07784406808001365,0.5767276225813407,False,True,True,44.0,selected,rich_M_2016,rich_M_2016_inner_2013,hist_classifier,Team1Win,True
diff__massey__system_cng,massey_consensus,0.09907120743034056,582,480,0.4449660700454482,0.4771289740105438,1.0,1.0,0.089098752804456,0.5754247962284541,False,True,True,19.0,selected,rich_M_2016,rich_M_2016_inner_2013,hist_classifier,Team1Win,True
diff__rating__pagerank_binary_z,global_strength_ratings,0.0,646,646,0.44330885829279537,0.466143629282562,1.0,1.0,0.15413578221982838,0.5751114595912517,False,True,True,80.0,selected,rich_M_2016,rich_M_2016_inner_2013,hist_classifier,Team1Win,True
diff__massey__strength_iqr,massey_consensus,0.0,646,576,-0.44961760503671705,0.4541377691747605,1.0,1.0,0.06920879993436618,0.5741336503145881,False,True,True,20.0,selected,rich_M_2016,rich_M_2016_inner_2013,hist_classifier,Team1Win,True
matchup__team1_seed,matchup_context,0.0,646,16,-0.4689426803644093,0.4425018849530096,1.0,1.0,0.09460259638662871,0.5717841906021495,False,True,True,7.0,selected,rich_M_2016,rich_M_2016_inner_2013,hist_classifier,Team1Win,True
diff__massey__system_bih,massey_consensus,0.09907120743034056,582,454,0.43858898553777825,0.47230421655300825,1.0,1.0,0.08953323223425041,0.571688574879958,False,True,True,21.0,selected,rich_M_2016,rich_M_2016_inner_2013,hist_classifier,Team1Win,True
diff__massey__ordinal_min,massey_consensus,0.0,646,151,-0.440681323200165,0.44592777921423343,1.0,1.0,0.03073410845579877,0.5697658607886363,False,True,True,22.0,selected,rich_M_2016,rich_M_2016_inner_2013,hist_classifier,Team1Win,True
diff__massey__system_sel,massey_consensus,0.09907120743034056,582,451,0.44736827442619553,0.4631085023309155,1.0,1.0,0.08461506187553514,0.5694028024231539,False,True,True,23.0,selected,rich_M_2016,rich_M_2016_inner_2013,hist_classifier,Team1Win,True
diff__compact__pythag_exp8p0,compact_performance,0.0,646,646,0.44022829984519724,0.44173758648588834,1.0,1.0,0.14754495265722678,0.5629824693728807,False,True,True,45.0,selected,rich_M_2016,rich_M_2016_inner_2013,hist_classifier,Team1Win,True
diff__adj__net_rtg_a50p0_percentile,opponent_adjusted_efficiency,0.0,646,482,0.422410313825182,0.4417884079114558,1.0,1.0,0.08922427863008658,0.5614197336938354,False,True,True,34.0,selected,rich_M_2016,rich_M_2016_inner_2013,hist_classifier,Team1Win,True
diff__massey__rank_improvement_std,massey_consensus,0.0,646,646,-0.43016023409825915,0.4326799397869102,1.0,1.0,0.1062969491496657,0.5580697446333474,False,True,True,24.0,selected,rich_M_2016,rich_M_2016_inner_2013,hist_classifier,Team1Win,True
