recipe,seasons,games,mean_brier,mean_delta
anchor,4,252,0.14883427307352776,0
seed_status,4,252,0.14875209384563631,-8.2179227891422679e-05
host_context,4,252,0.14904653766529,0.00021226459176225398
host_context_scaled,4,252,0.14915418465604377,0.0003199115825160137
