Gender,Season,games,brier,log_loss,recipe,train_games,train_last_season,feature_count,active_features,source,evidence,anchor_brier,delta_vs_anchor
W,2016,63,0.16448625439655201,0.48054500633678265,anchor,189,2015,16,16,upstream_replay,"Repeatedly-used 2016--2019 historical main draw, not leaderboard",0.16448625439655201,0
W,2016,63,0.16339630206342812,0.47856510266565427,seed_status,189,2015,17,17,new_fit,"Repeatedly-used 2016--2019 historical main draw, not leaderboard",0.16448625439655201,-0.0010899523331238947
W,2016,63,0.16577713036183708,0.48033330099352028,host_context,189,2015,18,18,new_fit,"Repeatedly-used 2016--2019 historical main draw, not leaderboard",0.16448625439655201,0.001290875965285071
W,2016,63,0.16618268969665276,0.48078792836006423,host_context_scaled,189,2015,19,19,new_fit,"Repeatedly-used 2016--2019 historical main draw, not leaderboard",0.16448625439655201,0.0016964353001007459
W,2017,63,0.13094629939840619,0.39937595459182729,anchor,252,2016,16,16,upstream_replay,"Repeatedly-used 2016--2019 historical main draw, not leaderboard",0.13094629939840619,0
W,2017,63,0.13152939367080646,0.40097586840080213,seed_status,252,2016,17,17,new_fit,"Repeatedly-used 2016--2019 historical main draw, not leaderboard",0.13094629939840619,0.00058309427240027523
W,2017,63,0.13048980962406792,0.39670925984975985,host_context,252,2016,18,18,new_fit,"Repeatedly-used 2016--2019 historical main draw, not leaderboard",0.13094629939840619,-0.00045648977433826454
W,2017,63,0.13042905897561027,0.39622270552336131,host_context_scaled,252,2016,19,19,new_fit,"Repeatedly-used 2016--2019 historical main draw, not leaderboard",0.13094629939840619,-0.00051724042279591154
W,2018,63,0.15365012520859095,0.46132021453566635,anchor,315,2017,16,16,upstream_replay,"Repeatedly-used 2016--2019 historical main draw, not leaderboard",0.15365012520859095,0
W,2018,63,0.15290604240422298,0.46052588022295676,seed_status,315,2017,17,17,new_fit,"Repeatedly-used 2016--2019 historical main draw, not leaderboard",0.15365012520859095,-0.00074408280436796814
W,2018,63,0.15214682889129219,0.45965641181039035,host_context,315,2017,18,18,new_fit,"Repeatedly-used 2016--2019 historical main draw, not leaderboard",0.15365012520859095,-0.0015032963172987579
W,2018,63,0.15206911276999005,0.45977493441774742,host_context_scaled,315,2017,19,19,new_fit,"Repeatedly-used 2016--2019 historical main draw, not leaderboard",0.15365012520859095,-0.0015810124386008984
W,2019,63,0.14625441329056185,0.44505526519609656,anchor,378,2018,16,16,upstream_replay,"Repeatedly-used 2016--2019 historical main draw, not leaderboard",0.14625441329056185,0
W,2019,63,0.14717663724408775,0.44691408138037153,seed_status,378,2018,17,17,new_fit,"Repeatedly-used 2016--2019 historical main draw, not leaderboard",0.14625441329056185,0.00092222395352589692
W,2019,63,0.14777238178396282,0.44821873477724378,host_context,378,2018,18,18,new_fit,"Repeatedly-used 2016--2019 historical main draw, not leaderboard",0.14625441329056185,0.0015179684934009674
W,2019,63,0.14793587718192197,0.44841448206969636,host_context_scaled,378,2018,19,19,new_fit,"Repeatedly-used 2016--2019 historical main draw, not leaderboard",0.14625441329056185,0.0016814638913601188
