candidate_id,variant,temperature,games,brier,log_loss,roc_auc,average_precision,precision_at_05,recall_at_05,f1_at_05,ece_10_bins,mean_season_brier,brier_delta,ci_low,ci_high,prediction_sha256
conference_c030_t110,conference_c030,1.1,315,0.14216684827164097,0.4286232659362831,0.8799483995807467,0.8765702954016319,0.7777777777777778,0.802547770700637,0.7899686520376176,0.07760543206010889,0.142166848271641,-0.0007236977423589608,-0.0015014552044645742,-4.390370081892407e-05,eabf0f7b5dce826cb9c8144ee31e82b26c1284622522338ee2f3ae374d57ab36
conference_c010_t110,conference_c010,1.1,315,0.14288091483799698,0.4313065337271736,0.8780940095138273,0.875950496312665,0.7791411042944786,0.8089171974522293,0.79375,0.05479447890690066,0.14288091483799695,-9.631176002990822e-06,-0.0012931489084068572,0.0010255949543601928,6f0af6fb928cdf35a33ca3ff1e35ef985e8d15d09f73e2d18c738217001a9fbc
conference_c030_t100,conference_c030,1.0,315,0.14289054601399995,0.43022431104598163,0.8799483995807467,0.8765702954016319,0.7777777777777778,0.802547770700637,0.7899686520376176,0.07611129615707883,0.14289054601399992,0.0,0.0,0.0,6cbb436fb3f39666e47f450bef1bbfd3b15d0a5d6759a1a8c789b422b83a0697
conference_c100_t110,conference_c100,1.1,315,0.14295785474478268,0.4310415896623003,0.8791421430299122,0.8749442344563922,0.7763975155279503,0.7961783439490446,0.7861635220125787,0.07147018185027237,0.14295785474478268,6.730873078272001e-05,-0.0025742397138602963,0.0028027466446527995,bcf5fc5f3d7126bae216ab277b2b91fee8efcd6cd5523c04bbf9e244932d05b3
dynamic_c030_t110,dynamic_c030,1.1,315,0.14311639185907488,0.42909851250102204,0.8789405788922036,0.8811817264413287,0.7791411042944786,0.8089171974522293,0.79375,0.06274673581148082,0.14311639185907488,0.00022584584507492978,-0.003957482181450815,0.004727961192408238,c54a23dafaaf392f0232e60de0b4f3939a5eaec4f3931ea33f66952f6d9edfe5
conference_c010_t100,conference_c010,1.0,315,0.14333127762752917,0.43120005630788405,0.8780940095138273,0.875950496312665,0.7791411042944786,0.8089171974522293,0.79375,0.0646486357085091,0.1433312776275292,0.00044073161352923407,-0.00035184680883376077,0.0012333100358922287,72ec4f508fdb81090b5de44757e9cfcfdd362f960925f05b1d16a5fc2bfd75d8
dynamic_c030_t100,dynamic_c030,1.0,315,0.1438667273382604,0.4299346007457388,0.8789405788922036,0.8811817264413287,0.7791411042944786,0.8089171974522293,0.79375,0.062454554098357117,0.1438667273382604,0.0009761813242604471,-0.0037921916344588595,0.005994566793338348,8aa9b88027edf78e707ec702c074a6d208cf5692b6f3011690a42a6048c65847
conference_c100_t100,conference_c100,1.0,315,0.14395280470656702,0.43461929236518737,0.8791421430299122,0.8749442344563922,0.7763975155279503,0.7961783439490446,0.7861635220125787,0.06985990421810252,0.143952804706567,0.001062258692567062,-0.0012875041499875635,0.0037365550136343973,3aff6dca78218b9d37019b82b6a9c77aa91cc1090d28b5ca9ea84a197a49b8f4
conference_c300_t110,conference_c300,1.1,315,0.14406918094229648,0.4343414706074477,0.8774086914456181,0.8738112936539395,0.7804878048780488,0.8152866242038217,0.7975077881619937,0.0771045284585008,0.14406918094229654,0.0011786349282965662,-0.004490024527841793,0.0068527136290810605,88c0a106da01d4d07a1b36e4a5b4791431708b52e8095749705a65a6706ad5a5
conference_c030_t090,conference_c030,0.9,315,0.14419624768259495,0.4349521619073335,0.8799483995807467,0.8765702954016319,0.7777777777777778,0.802547770700637,0.7899686520376176,0.07375067720059603,0.14419624768259495,0.0013057016685950084,0.0004820932573945939,0.002189030480095878,bf2f1bb359d3fd108a9b7fde69bed2d474a414f47d37ed45f2d9cd8ce1d49975
conference_c010_t090,conference_c010,0.9,315,0.14440316894847627,0.4338549154222492,0.8780940095138273,0.875950496312665,0.7791411042944786,0.8089171974522293,0.79375,0.05886277348277348,0.1444031689484763,0.0015126229344763302,0.00042554016600998107,0.002545800270427727,49e65551b62f8ccf4382cd6d27fb2c540d3c936ef32eae3be280354341e465ec
dynamic_c030_t090,dynamic_c030,0.9,315,0.14525458179573514,0.4336985171232664,0.8789405788922036,0.8811817264413287,0.7791411042944786,0.8089171974522293,0.79375,0.060358159922656585,0.14525458179573517,0.0023640357817352096,-0.0030439960217399664,0.007961285683164857,9364ee2d5161de5b73e5b86999d010c27971dab193b636084440ec83354d4414
conference_c300_t100,conference_c300,1.0,315,0.1452868250007203,0.4394162280897418,0.8774086914456181,0.8738112936539395,0.7804878048780488,0.8152866242038217,0.7975077881619937,0.07729543626206173,0.1452868250007203,0.0023962789867203295,-0.003139094051676362,0.00793165202511702,3a723310fd307f2928350cb8a06d6c1650f83af2d3e3088d084349e9490c8a3c
conference_c100_t090,conference_c100,0.9,315,0.14550121595586482,0.44174685428340255,0.8791421430299122,0.8749442344563922,0.7763975155279503,0.7961783439490446,0.7861635220125787,0.07572271083399727,0.14550121595586488,0.002610669941864904,0.00036138187809952037,0.005062421300085341,51d4d5eab464c328a015510d927509734827873fbc56696338b63f1b7c1f5e1b
conference_c300_t090,conference_c300,0.9,315,0.14705412156700629,0.44834709214680074,0.8774086914456181,0.8738112936539395,0.7804878048780488,0.8152866242038217,0.7975077881619937,0.07849751283793627,0.14705412156700626,0.0041635755530063144,-0.0012545583369170704,0.0095817094429297,d79897ac7bee8f13faf662c7f7b0d1306bc399b026c6c61f3bd01d0f450418b7
