priority,candidate_id,variant,temperature,games,brier,log_loss,roc_auc,average_precision,precision_at_05,recall_at_05,f1_at_05,ece_10_bins,mean_season_brier,brier_delta,ci_low,ci_high,prediction_sha256
1,conference_c030_t110,conference_c030,1.1,315,0.14216684827164097,0.4286232659362831,0.8799483995807467,0.8765702954016319,0.7777777777777778,0.802547770700637,0.7899686520376176,0.07760543206010889,0.142166848271641,-0.0007236977423589608,-0.0015014552044645742,-4.390370081892407e-05,eabf0f7b5dce826cb9c8144ee31e82b26c1284622522338ee2f3ae374d57ab36
2,conference_c010_t110,conference_c010,1.1,315,0.14288091483799698,0.4313065337271736,0.8780940095138273,0.875950496312665,0.7791411042944786,0.8089171974522293,0.79375,0.05479447890690066,0.14288091483799695,-9.631176002990822e-06,-0.0012931489084068572,0.0010255949543601928,6f0af6fb928cdf35a33ca3ff1e35ef985e8d15d09f73e2d18c738217001a9fbc
3,conference_c100_t110,conference_c100,1.1,315,0.14295785474478268,0.4310415896623003,0.8791421430299122,0.8749442344563922,0.7763975155279503,0.7961783439490446,0.7861635220125787,0.07147018185027237,0.14295785474478268,6.730873078272001e-05,-0.0025742397138602963,0.0028027466446527995,bcf5fc5f3d7126bae216ab277b2b91fee8efcd6cd5523c04bbf9e244932d05b3
4,dynamic_c030_t110,dynamic_c030,1.1,315,0.14311639185907488,0.42909851250102204,0.8789405788922036,0.8811817264413287,0.7791411042944786,0.8089171974522293,0.79375,0.06274673581148082,0.14311639185907488,0.00022584584507492978,-0.003957482181450815,0.004727961192408238,c54a23dafaaf392f0232e60de0b4f3939a5eaec4f3931ea33f66952f6d9edfe5
5,conference_c010_t100,conference_c010,1.0,315,0.14333127762752917,0.43120005630788405,0.8780940095138273,0.875950496312665,0.7791411042944786,0.8089171974522293,0.79375,0.0646486357085091,0.1433312776275292,0.00044073161352923407,-0.00035184680883376077,0.0012333100358922287,72ec4f508fdb81090b5de44757e9cfcfdd362f960925f05b1d16a5fc2bfd75d8
6,dynamic_c030_t100,dynamic_c030,1.0,315,0.1438667273382604,0.4299346007457388,0.8789405788922036,0.8811817264413287,0.7791411042944786,0.8089171974522293,0.79375,0.062454554098357117,0.1438667273382604,0.0009761813242604471,-0.0037921916344588595,0.005994566793338348,8aa9b88027edf78e707ec702c074a6d208cf5692b6f3011690a42a6048c65847
