recipe,bin,games,mean_probability,observed_fraction
blocked_shots,0,12,0.048805530878270748,0.083333333333333329
blocked_shots,1,15,0.15287144893087723,0.066666666666666666
blocked_shots,2,20,0.25654066176657747,0.20000000000000001
blocked_shots,3,29,0.35883984295049431,0.41379310344827586
blocked_shots,4,34,0.4574480672537985,0.55882352941176472
blocked_shots,5,29,0.55534095291374319,0.72413793103448276
blocked_shots,6,27,0.65002176801875278,0.85185185185185186
blocked_shots,7,40,0.75140322434336937,0.67500000000000004
blocked_shots,8,25,0.84482703423990702,0.76000000000000001
blocked_shots,9,21,0.94250860086038357,0.90476190476190477
both,0,12,0.04867320615518736,0.083333333333333329
both,1,16,0.15546725739588446,0.0625
both,2,18,0.25825921964234178,0.22222222222222221
both,3,29,0.35479554528947166,0.41379310344827586
both,4,35,0.45705592419113689,0.54285714285714282
both,5,28,0.55440262996989786,0.7142857142857143
both,6,28,0.64887248681799758,0.8571428571428571
both,7,39,0.7503740397257086,0.66666666666666663
both,8,26,0.84363955354545495,0.76923076923076927
both,9,21,0.94294907268344985,0.90476190476190477
duplicate_control,0,13,0.052727912736084528,0.076923076923076927
duplicate_control,1,14,0.15556863210370225,0.071428571428571425
duplicate_control,2,19,0.25440454904955523,0.21052631578947367
duplicate_control,3,28,0.35267001375870333,0.39285714285714285
duplicate_control,4,37,0.45366772956697582,0.56756756756756754
duplicate_control,5,26,0.55526691887561486,0.73076923076923073
duplicate_control,6,29,0.64483989125158414,0.82758620689655171
duplicate_control,7,39,0.7504441195215098,0.66666666666666663
duplicate_control,8,28,0.84662509439853817,0.7857142857142857
duplicate_control,9,19,0.94722753815832439,0.89473684210526316
free_throw_pressure,0,13,0.053002975379717251,0.076923076923076927
free_throw_pressure,1,14,0.15537047420700587,0.071428571428571425
free_throw_pressure,2,19,0.25528772554092716,0.21052631578947367
free_throw_pressure,3,27,0.35088037131046024,0.40740740740740738
free_throw_pressure,4,35,0.45042357896448926,0.5714285714285714
free_throw_pressure,5,29,0.54994167496686985,0.68965517241379315
free_throw_pressure,6,29,0.6459102374352983,0.82758620689655171
free_throw_pressure,7,39,0.74983862730322615,0.66666666666666663
free_throw_pressure,8,28,0.84619850497027482,0.7857142857142857
free_throw_pressure,9,19,0.94712478490512242,0.89473684210526316
rates,0,13,0.053239623101128217,0.076923076923076927
rates,1,14,0.1557278184751448,0.071428571428571425
rates,2,20,0.2571729687265828,0.20000000000000001
rates,3,27,0.35483248596155659,0.44444444444444442
rates,4,35,0.45253865831941625,0.54285714285714282
rates,5,27,0.54905124387451232,0.70370370370370372
rates,6,30,0.64360926041045552,0.83333333333333337
rates,7,39,0.7496808639500997,0.66666666666666663
rates,8,28,0.8456011762026483,0.7857142857142857
rates,9,19,0.94672170014512624,0.89473684210526316
reference,0,11,0.052338878879767778,0.090909090909090912
reference,1,15,0.14396692140401721,0
reference,2,19,0.24805521689237761,0.26315789473684209
reference,3,24,0.34032065562157193,0.41666666666666669
reference,4,31,0.44828343508918844,0.58064516129032262
reference,5,35,0.53709395127639314,0.7142857142857143
reference,6,30,0.63675072125047338,0.69999999999999996
reference,7,45,0.75266640879325619,0.64444444444444449
reference,8,22,0.84417527475124166,0.81818181818181823
reference,9,20,0.93769494408402276,0.94999999999999996
