confidence_bin,games,mean_delta,total_delta
0,13,-0.00011581325378400982,-0.0015055722991921276
1,14,-0.00022340378134390277,-0.0031276529388146387
2,20,0.00020866232840761542,0.0041732465681523084
3,27,-0.0027782484024064008,-0.075012706864972828
4,35,0.00054553076198512779,0.019093576669479473
5,27,-0.0027426904738619634,-0.07405264279427301
6,30,-0.0010382875980993389,-0.031148627942980164
7,39,-2.25493621751178e-06,-8.7942512482959423e-05
8,28,0.0007655366113229721,0.021435025117043219
9,19,0.0011275736850967749,0.021423900016838724
