Season,feature,closest_reference_or_rate,abs_correlation,training_games,training_nonzero
2022,adjusted_blocked_shots_offense,rate_blocked_shots_offense,0.94003498285835363,503,503
2022,adjusted_blocked_shots_defense,rate_blocked_shots_defense,0.99532041639469471,503,503
2022,adjusted_free_throw_pressure_offense,rate_free_throw_pressure_offense,0.98046002909732088,503,503
2022,adjusted_free_throw_pressure_defense,rate_free_throw_pressure_defense,0.99117711670626696,503,503
2023,adjusted_blocked_shots_offense,rate_blocked_shots_offense,0.94076512336104257,566,566
2023,adjusted_blocked_shots_defense,rate_blocked_shots_defense,0.99535062356677362,566,566
2023,adjusted_free_throw_pressure_offense,rate_free_throw_pressure_offense,0.97921387274559768,566,566
2023,adjusted_free_throw_pressure_defense,rate_free_throw_pressure_defense,0.99174676814805551,566,566
2024,adjusted_blocked_shots_offense,rate_blocked_shots_offense,0.94375293213696454,629,629
2024,adjusted_blocked_shots_defense,rate_blocked_shots_defense,0.99524987789977937,629,629
2024,adjusted_free_throw_pressure_offense,rate_free_throw_pressure_offense,0.97889663480214084,629,629
2024,adjusted_free_throw_pressure_defense,rate_free_throw_pressure_defense,0.99195749917502041,629,629
2025,adjusted_blocked_shots_offense,rate_blocked_shots_offense,0.94607831053235258,692,692
2025,adjusted_blocked_shots_defense,rate_blocked_shots_defense,0.99517230908238696,692,692
2025,adjusted_free_throw_pressure_offense,rate_free_throw_pressure_offense,0.97955579237767387,692,692
2025,adjusted_free_throw_pressure_defense,rate_free_throw_pressure_defense,0.99179955030245381,692,692
