OuterFoldID,ValidationSeason,Gender,Architecture,Universe,Model,Feature,Block,StandardizedCoefficient
rich_M_2021,2021,M,separate_gender,rich,ridge_margin,diff__compact__half_winpct_first,compact_performance,-0.7561257481575012
rich_M_2021,2021,M,separate_gender,rich,ridge_margin,diff__compact__home_margin_mean,compact_performance,0.4030487537384033
rich_M_2021,2021,M,separate_gender,rich,ridge_margin,diff__compact__blowout_win20_rate,compact_performance,0.8405919671058655
rich_M_2021,2021,M,separate_gender,rich,ridge_margin,diff__compact__wins,compact_performance,0.7632907032966614
rich_M_2021,2021,M,separate_gender,rich,ridge_margin,diff__compact__downside_tail_mean,compact_performance,-1.1135921478271484
rich_M_2021,2021,M,separate_gender,rich,ridge_margin,diff__compact__blowout_win10_rate,compact_performance,0.3664551377296448
rich_M_2021,2021,M,separate_gender,rich,ridge_margin,diff__compact__margin_median,compact_performance,0.1338241547346115
rich_M_2021,2021,M,separate_gender,rich,ridge_margin,diff__compact__margin_q90,compact_performance,-0.07204960286617279
rich_M_2021,2021,M,separate_gender,rich,ridge_margin,diff__compact__margin_q75,compact_performance,0.2682701051235199
rich_M_2021,2021,M,separate_gender,rich,ridge_margin,diff__compact__away_games,compact_performance,0.2803206145763397
rich_M_2021,2021,M,separate_gender,rich,ridge_margin,diff__compact__ewm_h10_margin,compact_performance,-0.5027630925178528
rich_M_2021,2021,M,separate_gender,rich,ridge_margin,diff__compact__margin_q10,compact_performance,-0.25149005651474
rich_M_2021,2021,M,separate_gender,rich,ridge_margin,diff__compact__margin_q25,compact_performance,-0.008497266098856926
rich_M_2021,2021,M,separate_gender,rich,ridge_margin,diff__compact__win_pct,compact_performance,-0.2827521860599518
rich_M_2021,2021,M,separate_gender,rich,ridge_margin,diff__compact__ewm_h20_margin,compact_performance,-0.5786600708961487
rich_M_2021,2021,M,separate_gender,rich,ridge_margin,diff__compact__blowout_loss10_rate,compact_performance,0.22862769663333893
rich_M_2021,2021,M,separate_gender,rich,ridge_margin,diff__compact__ewm_h20_win,compact_performance,-0.17493905127048492
rich_M_2021,2021,M,separate_gender,rich,ridge_margin,diff__compact__margin_slope,compact_performance,0.08012400567531586
rich_M_2021,2021,M,separate_gender,rich,ridge_margin,diff__compact__half_delta_marginmean,compact_performance,-0.4177141785621643
rich_M_2021,2021,M,separate_gender,rich,ridge_margin,diff__compact__half_pointsformean_first,compact_performance,-0.46363991498947144
rich_M_2021,2021,M,separate_gender,rich,ridge_margin,diff__rating__margin_ridge_a5p0,global_strength_ratings,0.8341924548149109
rich_M_2021,2021,M,separate_gender,rich,ridge_margin,diff__rating__bt_c0p25_percentile,global_strength_ratings,-1.0689865350723267
rich_M_2021,2021,M,separate_gender,rich,ridge_margin,diff__rating__bt_c0p25_z,global_strength_ratings,-0.29622045159339905
rich_M_2021,2021,M,separate_gender,rich,ridge_margin,diff__rating__pagerank_margin_z,global_strength_ratings,0.8361737132072449
rich_M_2021,2021,M,separate_gender,rich,ridge_margin,diff__rating__pagerank_binary_z,global_strength_ratings,-0.3389582335948944
rich_M_2021,2021,M,separate_gender,rich,ridge_margin,diff__rating__elo_standard_z,dynamic_ratings,0.5815374255180359
rich_M_2021,2021,M,separate_gender,rich,ridge_margin,diff__rating__elo_standard_percentile,dynamic_ratings,-0.2746618092060089
rich_M_2021,2021,M,separate_gender,rich,ridge_margin,diff__rating__elo_season_reset_mov,dynamic_ratings,1.2359402179718018
rich_M_2021,2021,M,separate_gender,rich,ridge_margin,diff__rating__elo_mov_log_preseason,dynamic_ratings,0.9945323467254639
rich_M_2021,2021,M,separate_gender,rich,ridge_margin,diff__rating__elo_season_reset_mov_percentile,dynamic_ratings,-0.21306423842906952
rich_M_2021,2021,M,separate_gender,rich,ridge_margin,diff__rating__elo_standard_preseason,dynamic_ratings,-0.008391696028411388
rich_M_2021,2021,M,separate_gender,rich,ridge_margin,diff__rating__elo_standard_delta,dynamic_ratings,0.813865602016449
rich_M_2021,2021,M,separate_gender,rich,ridge_margin,diff__rating__elo_mov_log_delta,dynamic_ratings,-0.5240906476974487
rich_M_2021,2021,M,separate_gender,rich,ridge_margin,absdiff__rating__elo_mov_log_percentile,dynamic_ratings,-0.000456625857623294
rich_M_2021,2021,M,separate_gender,rich,ridge_margin,absdiff__rating__elo_standard_percentile,dynamic_ratings,0.0001330161321675405
rich_M_2021,2021,M,separate_gender,rich,ridge_margin,absdiff__rating__elo_season_reset_mov_percentile,dynamic_ratings,8.634857658762485e-05
rich_M_2021,2021,M,separate_gender,rich,ridge_margin,absdiff__rating__elo_season_reset_mov,dynamic_ratings,-0.00019946704560425133
rich_M_2021,2021,M,separate_gender,rich,ridge_margin,diff__schedule__bad_loss_penalty_sum,schedule_and_accomplishment,0.8049218654632568
rich_M_2021,2021,M,separate_gender,rich,ridge_margin,diff__schedule__quality_wins,schedule_and_accomplishment,-0.03978956863284111
rich_M_2021,2021,M,separate_gender,rich,ridge_margin,diff__schedule__oowp,schedule_and_accomplishment,0.4663214385509491
rich_M_2021,2021,M,separate_gender,rich,ridge_margin,diff__schedule__opponent_strength_pct_mean,schedule_and_accomplishment,0.8316022157669067
rich_M_2021,2021,M,separate_gender,rich,ridge_margin,diff__schedule__top_quartile_games,schedule_and_accomplishment,1.1477981805801392
rich_M_2021,2021,M,separate_gender,rich,ridge_margin,diff__schedule__opponent_strength_median,schedule_and_accomplishment,-0.7419202327728271
rich_M_2021,2021,M,separate_gender,rich,ridge_margin,diff__schedule__owp,schedule_and_accomplishment,0.24055521190166473
rich_M_2021,2021,M,separate_gender,rich,ridge_margin,diff__schedule__elite_wins,schedule_and_accomplishment,-0.9852468967437744
rich_M_2021,2021,M,separate_gender,rich,ridge_margin,diff__schedule__bad_losses,schedule_and_accomplishment,-0.7025842070579529
rich_M_2021,2021,M,separate_gender,rich,ridge_margin,diff__schedule__top_decile_games,schedule_and_accomplishment,-0.6841201186180115
rich_M_2021,2021,M,separate_gender,rich,ridge_margin,diff__schedule__opponent_strength_std,schedule_and_accomplishment,1.018606185913086
rich_M_2021,2021,M,separate_gender,rich,ridge_margin,absdiff__schedule__top_quartile_games,schedule_and_accomplishment,0.0007206397713162005
rich_M_2021,2021,M,separate_gender,rich,ridge_margin,absdiff__schedule__opponent_strength_pct_mean,schedule_and_accomplishment,-0.00047246617032215
rich_M_2021,2021,M,separate_gender,rich,ridge_margin,absdiff__schedule__quality_wins,schedule_and_accomplishment,-0.00040936245932243764
