route,model,block,games,macro_season_brier,brier,log_loss,roc_auc,average_precision,precision_at_05,recall_at_05,f1_at_05,ece_10_bins
M_common,hist,cap_128,334,0.1951572546392152,0.19510969860939584,0.5744016733871453,0.7791486291486291,0.7282312682464068,0.6413043478260869,0.7662337662337663,0.6982248520710059,0.0746338496420673
M_common,hist,cap_256,334,0.20686881565028825,0.2068579120112664,0.6024709809846771,0.7539321789321789,0.6995495456338596,0.6228571428571429,0.7077922077922078,0.662613981762918,0.1027365024671388
M_common,hist,cap_32,334,0.19931761620507968,0.19921926389059813,0.5807366427007384,0.7713564213564215,0.7362413132790026,0.6464088397790055,0.7597402597402597,0.6985074626865672,0.08916742650855157
M_common,hist,cap_64,334,0.19388731360142267,0.19382159696466794,0.5675151563500056,0.783946608946609,0.7500046783415539,0.6408839779005525,0.7532467532467533,0.6925373134328359,0.07022659516480284
M_common,hist,nested,334,0.19498401040763363,0.1949215772942508,0.5719118802217897,0.7793650793650794,0.738031607863289,0.6298342541436464,0.7402597402597403,0.6805970149253732,0.0709318659621583
M_common,logistic,cap_128,334,0.20449206734062467,0.20445378650885251,0.6246398187053211,0.7758297258297258,0.7387623745090386,0.6460674157303371,0.7467532467532467,0.6927710843373494,0.10987258413885014
M_common,logistic,cap_256,334,0.236982340792984,0.23698780755654814,0.7904698367463641,0.7404401154401155,0.6813100236778911,0.6363636363636364,0.7272727272727273,0.6787878787878788,0.17954523941674788
M_common,logistic,cap_32,334,0.1944921805776293,0.19441024111029573,0.5670117174401178,0.7770923520923521,0.7509634301929375,0.6395348837209303,0.7142857142857143,0.6748466257668712,0.06760467253851389
M_common,logistic,cap_64,334,0.2012104981217248,0.20109688144397395,0.5857200849454884,0.7746753246753246,0.7560856866731841,0.6428571428571429,0.7012987012987013,0.6708074534161491,0.08610326505903676
M_common,logistic,nested,334,0.1944921805776293,0.19441024111029573,0.5670117174401178,0.7770923520923521,0.7509634301929375,0.6395348837209303,0.7142857142857143,0.6748466257668712,0.06760467253851389
M_rankings,hist,cap_128,334,0.19267822142795812,0.19263074077288644,0.5688885246665107,0.7861111111111112,0.7462484911698385,0.6519337016574586,0.7662337662337663,0.7044776119402985,0.07745118868074798
M_rankings,hist,cap_256,334,0.2065852938729924,0.20657673350557942,0.5990491831985606,0.7625541125541127,0.7248853440101349,0.6193181818181818,0.7077922077922078,0.6606060606060606,0.11514386716218587
