Gender,model,candidate,baseline,season_count,brier_delta,ci_low,ci_high,route
M,hist,cap_32,cap_128,5,0.004160361565864484,-0.004773694387810135,0.013171459162851487,M_common
M,hist,cap_64,cap_128,5,-0.0012699410377925212,-0.007415188694680233,0.004150952473935087,M_common
M,hist,cap_256,cap_128,5,0.011711561011073058,0.00045280860489081665,0.024259044516422548,M_common
M,hist,nested,cap_128,5,-0.00017324423158153972,-0.004488758412805145,0.004142269949642065,M_common
M,logistic,cap_32,cap_128,5,-0.009999886762995343,-0.03181916103163494,0.005255102707028247,M_common
M,logistic,cap_64,cap_128,5,-0.003281569218899838,-0.018762338829985965,0.01330479801671815,M_common
M,logistic,cap_256,cap_128,5,0.03249027345235932,0.0013960316889983317,0.07323417713428737,M_common
M,logistic,nested,cap_128,5,-0.009999886762995343,-0.03181916103163494,0.005255102707028246,M_common
M,hist,cap_32,cap_128,5,0.004027475187757075,-0.005669366206574866,0.015141869063816782,M_rankings
M,hist,cap_64,cap_128,5,-0.0012853723054773033,-0.0066450556701895345,0.0038788289081333415,M_rankings
M,hist,cap_256,cap_128,5,0.013907072445034311,0.003752531688603719,0.026307177575271568,M_rankings
M,hist,nested,cap_128,5,0.004027475187757075,-0.005669366206574866,0.015233333705526694,M_rankings
M,logistic,cap_32,cap_128,5,-0.015647255387632685,-0.04441854824226944,0.005356134590048002,M_rankings
M,logistic,cap_64,cap_128,5,-0.004307785025589009,-0.02365873748600672,0.013032564694111914,M_rankings
M,logistic,cap_256,cap_128,5,0.027491534955134338,0.00461681189245524,0.0643307203010395,M_rankings
M,logistic,nested,cap_128,5,-0.015647255387632685,-0.04441854824226944,0.005356134590048002,M_rankings
W,hist,cap_32,cap_128,5,0.00031937241738115194,-0.003342366551569197,0.004117600588727598,W_common
W,hist,cap_64,cap_128,5,-0.003740965398433791,-0.012765714277361636,0.005408277852366989,W_common
W,hist,cap_256,cap_128,5,-0.0011407563665168823,-0.005929839659224209,0.003952801891834472,W_common
W,hist,nested,cap_128,5,-9.551776900435446e-05,-0.007291442025575701,0.00711489478900128,W_common
W,logistic,cap_32,cap_128,5,-0.01395011500500773,-0.0270749071104872,-0.00026664489744749194,W_common
W,logistic,cap_64,cap_128,5,-0.012029756810068853,-0.02926582956138949,0.005206315941251783,W_common
W,logistic,cap_256,cap_128,5,0.007200297680626716,-0.0022735953923824553,0.022913204238263707,W_common
W,logistic,nested,cap_128,5,-0.006849657074091542,-0.0174678935167253,0.003159881560970122,W_common
