Feature,Block,MissingRate,NonMissingRows,UniqueValues,GlobalCorrelation,MedianAbsoluteSeasonCorrelation,SeasonSignConsistency,SeasonCoverage,SeasonCorrelationIQR,StabilityScore,Mandatory,InPrecorrelationPool,Selected,SelectionRank,ExclusionReason,OuterFoldID,InnerFoldID,Model,TargetColumn,SeedAware
diff__massey__system_bih,massey_consensus,0.08976157082748948,649,490,0.4353089123203711,0.46916454680490693,1.0,1.0,0.08780124588745397,0.5702739676751396,False,True,True,21.0,selected,rich_M_2017,rich_M_2017_inner_2014,torch_mlp,Team1Win,True
diff__massey__system_sel,massey_consensus,0.08976157082748948,649,490,0.44389125948964536,0.4596554089328152,1.0,1.0,0.0888859562047909,0.5675543094610824,False,True,True,22.0,selected,rich_M_2017,rich_M_2017_inner_2014,torch_mlp,Team1Win,True
diff__massey__strength_max,massey_consensus,0.0,713,488,0.4271895222163643,0.44291136845707346,1.0,1.0,0.0614458501353633,0.5641213177415808,False,True,True,23.0,selected,rich_M_2017,rich_M_2017_inner_2014,torch_mlp,Team1Win,True
diff__massey__strength_min,massey_consensus,0.0,713,676,0.4270210778906106,0.44489343289910227,1.0,1.0,0.10161206427152092,0.5634290023566426,False,True,True,24.0,selected,rich_M_2017,rich_M_2017_inner_2014,torch_mlp,Team1Win,True
matchup__team1_seed,matchup_context,0.0,713,16,-0.4471297489577128,0.43522210696604186,1.0,1.0,0.1105508440970231,0.562853122350516,False,True,True,7.0,selected,rich_M_2017,rich_M_2017_inner_2014,torch_mlp,Team1Win,True
diff__compact__pythag_exp8p0,compact_performance,0.0,713,713,0.43530061282721255,0.43171541040414907,1.0,1.0,0.12136176468813997,0.5581350612284527,False,True,True,45.0,selected,rich_M_2017,rich_M_2017_inner_2014,torch_mlp,Team1Win,True
matchup__team1_is_seed_favorite,matchup_context,0.0,713,2,0.41883320445623223,0.4197552742803491,1.0,1.0,0.13352811838500545,0.5482847118995383,False,True,True,8.0,selected,rich_M_2017,rich_M_2017_inner_2014,torch_mlp,Team1Win,True
diff__adj__off_rtg_a10p0,opponent_adjusted_efficiency,0.0,713,713,0.3953995421701107,0.424550689873839,1.0,1.0,0.06224198276583848,0.5482825511062336,False,True,True,34.0,selected,rich_M_2017,rich_M_2017_inner_2014,torch_mlp,Team1Win,True
diff__adj__net_rtg_a50p0_percentile,opponent_adjusted_efficiency,0.0,713,510,0.4200159048971671,0.41152175435137156,1.0,1.0,0.09101940110948031,0.5462931651216559,False,True,True,35.0,selected,rich_M_2017,rich_M_2017_inner_2014,torch_mlp,Team1Win,True
diff__compact__wins,compact_performance,0.0,713,30,0.4037394313375139,0.4162611652537803,1.0,1.0,0.10250133816280504,0.5445279806895553,False,True,True,46.0,selected,rich_M_2017,rich_M_2017_inner_2014,torch_mlp,Team1Win,True
