Feature,Block,MissingRate,NonMissingRows,UniqueValues,GlobalCorrelation,MedianAbsoluteSeasonCorrelation,SeasonSignConsistency,SeasonCoverage,SeasonCorrelationIQR,StabilityScore,Mandatory,InPrecorrelationPool,Selected,SelectionRank,ExclusionReason,StreamID
absdiff__detailed__last5__efg_mean,detailed_efficiency,0.0,961,961,0.0600013324540337,0.0495009834708546,0.4666666666666667,1.0,0.137392627240514,0.2061317267829438,False,False,False,,below_bounded_prescreen,W_fallback
absdiff__rating__margin_ridge_a5p0,global_strength_ratings,0.0,961,961,0.0390965069445364,0.1016262789704715,0.3333333333333333,1.0,0.1374807466969904,0.2052159488990781,False,False,False,,below_bounded_prescreen,W_fallback
diff__compact__pythag_residual_exp13p91,compact_performance,0.0,961,961,-0.0355250013135018,0.0526437034469272,0.4666666666666667,1.0,0.0851794543843191,0.2043439664347894,False,False,False,,below_bounded_prescreen,W_fallback
absdiff__prior__program_win_pct_smoothed,prior_program_history,0.0,961,707,0.0516368905052495,0.0458303106087925,0.4666666666666667,1.0,0.0946297437140467,0.2042401419214801,False,False,False,,below_bounded_prescreen,W_fallback
absdiff__detailed__ewm_h10__efg,detailed_efficiency,0.0,961,961,0.0743761369493016,0.0829665631605445,0.3333333333333333,1.0,0.1542160936128728,0.2033513900347261,False,False,False,,below_bounded_prescreen,W_fallback
absdiff__detailed__all__opp_efg_ros,detailed_efficiency,0.0,961,961,0.0402123321565715,0.1482165692302135,0.2,1.0,0.220317638734088,0.2031779607555847,False,False,False,,below_bounded_prescreen,W_fallback
absdiff__detailed__last10__net_rtg_mean,detailed_efficiency,0.0,961,961,0.0799634819486783,0.0852655994196515,0.3333333333333333,1.0,0.2445918640956395,0.2020691125196497,False,False,False,,below_bounded_prescreen,W_fallback
absdiff__norm__detailed__all__efg_ros__z,within_season_normalization,0.0,961,961,0.073885538859475,0.1256982801038608,0.2,1.0,0.1728841089598314,0.2016746286405444,False,False,False,,below_bounded_prescreen,W_fallback
absdiff__detailed__clean__oppefg_mean,detailed_efficiency,0.0,961,961,0.0483043221789651,0.1414800982235068,0.2,1.0,0.2283516072271307,0.2014033337375703,False,False,False,,below_bounded_prescreen,W_fallback
absdiff__detailed__clean__efg_mean,detailed_efficiency,0.0,961,961,0.0708971106689428,0.1269803183463753,0.2,1.0,0.183801185556457,0.2011958697311693,False,False,False,,below_bounded_prescreen,W_fallback
absdiff__detailed__clean__efg_trim02,detailed_efficiency,0.0,961,961,0.0708971106689428,0.1269803183463753,0.2,1.0,0.183801185556457,0.2011958697311693,False,False,False,,below_bounded_prescreen,W_fallback
absdiff__detailed__clean__opp_efg_ros,detailed_efficiency,0.0,961,961,0.038726947168941,0.1441103035001542,0.2,1.0,0.2170236816270902,0.2010119267921574,False,False,False,,below_bounded_prescreen,W_fallback
diff__detailed__clean__ftrate_median,detailed_efficiency,0.0,961,956,0.009082041232153,0.1116330114705512,0.3333333333333333,1.0,0.2003331193941384,0.200901903134506,False,False,False,,below_bounded_prescreen,W_fallback
absdiff__detailed__all__efg_ros,detailed_efficiency,0.0,961,961,0.0697038373789345,0.1256982748584608,0.2,1.0,0.1728841159457081,0.2007546515175984,False,False,False,,below_bounded_prescreen,W_fallback
diff__detailed__all__ftrate_median,detailed_efficiency,0.0,961,959,0.0077594723725576,0.1114963031562512,0.3333333333333333,1.0,0.2007490724124332,0.2005286798737992,False,False,False,,below_bounded_prescreen,W_fallback
absdiff__compact__last5_win_pct,compact_performance,0.0,961,5,-0.0478509400446937,0.0896064206877599,0.3333333333333333,1.0,0.1596151497161267,0.2004870160846456,False,False,False,,below_bounded_prescreen,W_fallback
absdiff__detailed__clean__efg_ros,detailed_efficiency,0.0,961,961,0.0709966663193251,0.1244355988716429,0.2,1.0,0.1740292009737105,0.2003871860096917,False,False,False,,below_bounded_prescreen,W_fallback
diff__detailed__clean__oppftpct_mean,detailed_efficiency,0.0,961,961,-0.0587525258613136,0.0843968642050716,0.3333333333333333,1.0,0.1621499643209751,0.2002833852684177,False,False,False,,below_bounded_prescreen,W_fallback
diff__detailed__clean__efg_std,detailed_efficiency,0.0,961,961,0.0026396500264593,0.110445495136828,0.3333333333333333,1.0,0.1704950818044693,0.2001080907326531,False,False,False,,below_bounded_prescreen,W_fallback
diff__conference__tourney_wins,conference_context,0.0093652445369406,952,7,-0.0636715981445777,0.032645422780808,0.4666666666666667,1.0,0.1183745414485377,0.1988600199723648,False,False,False,,below_bounded_prescreen,W_fallback
absdiff__detailed__away__pace_mean,detailed_efficiency,0.0,961,958,-0.0628803398331668,0.0781537494293359,0.3333333333333333,1.0,0.1533086830870779,0.1985484604992282,False,False,False,,below_bounded_prescreen,W_fallback
diff__detailed__all__oppfoulrate_mean,detailed_efficiency,0.0,961,961,-0.0247099665395329,0.0961499350142527,0.3333333333333333,1.0,0.1620405236635223,0.198439873832331,False,False,False,,below_bounded_prescreen,W_fallback
diff__detailed__clean__oppfoulrate_mean,detailed_efficiency,0.0,961,961,-0.0229624439200858,0.0948141009101536,0.3333333333333333,1.0,0.157504905297555,0.1975956432207237,False,False,False,,below_bounded_prescreen,W_fallback
diff__detailed__all__oppftpct_mean,detailed_efficiency,0.0,961,961,-0.0561755751694716,0.0793095244839843,0.3333333333333333,1.0,0.1594311189609665,0.1973832868644909,False,False,False,,below_bounded_prescreen,W_fallback
absdiff__detailed__away__def_rtg_mean,detailed_efficiency,0.0,961,961,0.0725673206534431,0.0683461775609573,0.3333333333333333,1.0,0.1414823672071864,0.1964450144180629,False,False,False,,below_bounded_prescreen,W_fallback
mean__detailed__home__games,detailed_efficiency,0.0145681581685744,947,26,0.0340568861028458,0.0866010775347594,0.3333333333333333,1.0,0.1264096056510571,0.1961725286131157,False,False,False,,below_bounded_prescreen,W_fallback
absdiff__compact__pythag_residual_exp11p5,compact_performance,0.0,961,961,0.0349257909462089,0.085586496192152,0.3333333333333333,1.0,0.1497214109294222,0.1961096690765554,False,False,False,,below_bounded_prescreen,W_fallback
absdiff__detailed__last10__pace_mean,detailed_efficiency,0.0,961,904,-0.0640204647399795,0.0705563398882369,0.3333333333333333,1.0,0.1299325892123361,0.1960875751539891,False,False,False,,below_bounded_prescreen,W_fallback
mean__detailed__neutral__pace_mean,detailed_efficiency,0.0634755463059313,900,895,-0.0464207238198116,0.1447348856068447,0.2,1.0,0.263011733278373,0.1960867912960346,False,False,False,,below_bounded_prescreen,W_fallback
absdiff__compact__day110plus_margin_mean,compact_performance,0.0,961,715,0.0720803778486221,0.0698218747353031,0.3333333333333333,1.0,0.1710616179084534,0.1958630516166375,False,False,False,,below_bounded_prescreen,W_fallback
mean__schedule__opponent_strength_std,schedule_and_accomplishment,0.0,961,961,-0.0045214372836664,0.098108350968156,0.3333333333333333,1.0,0.1424116373786619,0.1957235925053083,False,False,False,,below_bounded_prescreen,W_fallback
mean__compact__home_games,compact_performance,0.0145681581685744,947,26,0.0317611488014619,0.0866010775347594,0.3333333333333333,1.0,0.1264096056510571,0.1956674664068112,False,False,False,,below_bounded_prescreen,W_fallback
absdiff__compact__pythag_residual_exp10p0,compact_performance,0.0,961,961,0.0255137211173388,0.0854859630782426,0.3333333333333333,1.0,0.1435514165004508,0.1942375575966863,False,False,False,,below_bounded_prescreen,W_fallback
mean__compact__close5_games,compact_performance,0.0,961,25,-0.0592757526536817,0.0687287722804814,0.3333333333333333,1.0,0.1510560217516992,0.1933215687417064,False,False,False,,below_bounded_prescreen,W_fallback
absdiff__detailed__last5__def_rtg_mean,detailed_efficiency,0.0,961,961,-0.0288400506686714,0.0792599949730369,0.3333333333333333,1.0,0.1300011915014402,0.1925228944074412,False,False,False,,below_bounded_prescreen,W_fallback
