Gender,PrimaryWeight,ChallengerWeight,MacroSeasonBrier,Selected
M,0.0,1.0,0.1806688479903381,False
M,0.01,0.99,0.18063732200320054,False
M,0.02,0.98,0.18060767136234376,False
M,0.03,0.97,0.18057989606776775,False
M,0.04,0.96,0.1805539961194726,False
M,0.05,0.95,0.18052997151745817,False
M,0.06,0.94,0.18050782226172454,False
M,0.07,0.9299999999999999,0.18048754835227174,False
M,0.08,0.92,0.18046914978909975,False
M,0.09,0.91,0.18045262657220848,False
M,0.1,0.9,0.18043797870159806,False
M,0.11,0.89,0.1804252061772684,False
M,0.12,0.88,0.18041430899921956,False
M,0.13,0.87,0.18040528716745147,False
M,0.14,0.86,0.18039814068196422,False
M,0.15,0.85,0.18039286954275774,False
M,0.16,0.84,0.18038947374983205,False
M,0.17,0.83,0.1803879533031872,True
M,0.18,0.8200000000000001,0.1803883082028231,False
M,0.19,0.81,0.1803905384487398,False
M,0.2,0.8,0.18039464404093725,False
M,0.21,0.79,0.18040062497941553,False
M,0.22,0.78,0.18040848126417464,False
M,0.23,0.77,0.18041821289521448,False
M,0.24,0.76,0.18042981987253515,False
M,0.25,0.75,0.18044330219613663,False
M,0.26,0.74,0.18045865986601886,False
M,0.27,0.73,0.1804758928821819,False
M,0.28,0.72,0.18049500124462572,False
M,0.29,0.71,0.18051598495335036,False
M,0.3,0.7,0.1805388440083558,False
M,0.31,0.69,0.180563578409642,False
M,0.32,0.6799999999999999,0.180590188157209,False
M,0.33,0.6699999999999999,0.1806186732510568,False
M,0.34,0.6599999999999999,0.18064903369118537,False
M,0.35000000000000003,0.6499999999999999,0.18068126947759477,False
M,0.36,0.64,0.18071538061028494,False
M,0.37,0.63,0.1807513670892559,False
M,0.38,0.62,0.1807892289145077,False
M,0.39,0.61,0.1808289660860402,False
M,0.4,0.6,0.18087057860385355,False
M,0.41000000000000003,0.59,0.18091406646794772,False
M,0.42,0.5800000000000001,0.18095942967832265,False
M,0.43,0.5700000000000001,0.18100666823497838,False
M,0.44,0.56,0.1810557821379149,False
M,0.45,0.55,0.18110677138713221,False
M,0.46,0.54,0.18115963598263032,False
M,0.47000000000000003,0.53,0.18121437592440923,False
M,0.48,0.52,0.1812709912124689,False
M,0.49,0.51,0.1813294818468094,False
M,0.5,0.5,0.18138984782743067,False
M,0.51,0.49,0.18145208915433275,False
M,0.52,0.48,0.18151620582751557,False
M,0.53,0.47,0.18158219784697927,False
M,0.54,0.45999999999999996,0.1816500652127237,False
M,0.55,0.44999999999999996,0.18171980792474893,False
M,0.56,0.43999999999999995,0.18179142598305495,False
M,0.5700000000000001,0.42999999999999994,0.1818649193876418,False
M,0.58,0.42000000000000004,0.1819402881385094,False
M,0.59,0.41000000000000003,0.1820175322356578,False
M,0.6,0.4,0.182096651679087,False
M,0.61,0.39,0.18217764646879703,False
M,0.62,0.38,0.18226051660478784,False
M,0.63,0.37,0.18234526208705942,False
M,0.64,0.36,0.1824318829156118,False
M,0.65,0.35,0.1825203790904449,False
M,0.66,0.33999999999999997,0.1826107506115589,False
M,0.67,0.32999999999999996,0.18270299747895366,False
M,0.68,0.31999999999999995,0.18279711969262918,False
M,0.6900000000000001,0.30999999999999994,0.18289311725258556,False
M,0.7000000000000001,0.29999999999999993,0.18299099015882267,False
M,0.71,0.29000000000000004,0.18309073841134063,False
M,0.72,0.28,0.18319236201013933,False
M,0.73,0.27,0.18329586095521885,False
M,0.74,0.26,0.1834012352465792,False
M,0.75,0.25,0.18350848488422025,False
M,0.76,0.24,0.18361760986814218,False
M,0.77,0.22999999999999998,0.18372861019834483,False
M,0.78,0.21999999999999997,0.18384148587482835,False
M,0.79,0.20999999999999996,0.18395623689759258,False
M,0.8,0.19999999999999996,0.18407286326663766,False
M,0.81,0.18999999999999995,0.18419136498196348,False
M,0.8200000000000001,0.17999999999999994,0.18431174204357015,False
M,0.8300000000000001,0.16999999999999993,0.1844339944514576,False
M,0.84,0.16000000000000003,0.18455812220562579,False
M,0.85,0.15000000000000002,0.18468412530607486,False
M,0.86,0.14,0.1848120037528047,False
M,0.87,0.13,0.18494175754581527,False
M,0.88,0.12,0.1850733866851067,False
M,0.89,0.10999999999999999,0.1852068911706789,False
M,0.9,0.09999999999999998,0.18534227100253192,False
M,0.91,0.08999999999999997,0.18547952618066565,False
M,0.92,0.07999999999999996,0.18561865670508026,False
M,0.93,0.06999999999999995,0.1857596625757756,False
M,0.9400000000000001,0.05999999999999994,0.18590254379275178,False
M,0.9500000000000001,0.04999999999999993,0.18604730035600875,False
M,0.96,0.040000000000000036,0.1861939322655465,False
M,0.97,0.030000000000000027,0.186342439521365,False
M,0.98,0.020000000000000018,0.18649282212346435,False
M,0.99,0.010000000000000009,0.1866450800718445,False
M,1.0,0.0,0.18679921336650537,False
W,0.0,1.0,0.14868358783438557,False
W,0.01,0.99,0.1485613442371551,False
W,0.02,0.98,0.14844243783238661,False
W,0.03,0.97,0.14832686862008015,False
W,0.04,0.96,0.14821463660023576,False
W,0.05,0.95,0.14810574177285335,False
W,0.06,0.94,0.14800018413793298,False
W,0.07,0.9299999999999999,0.14789796369547464,False
W,0.08,0.92,0.14779908044547835,False
W,0.09,0.91,0.14770353438794406,False
W,0.1,0.9,0.1476113255228718,False
W,0.11,0.89,0.14752245385026158,False
W,0.12,0.88,0.14743691937011338,False
W,0.13,0.87,0.14735472208242723,False
W,0.14,0.86,0.1472758619872031,False
W,0.15,0.85,0.14720033908444097,False
W,0.16,0.84,0.14712815337414087,False
W,0.17,0.83,0.14705930485630284,False
W,0.18,0.8200000000000001,0.14699379353092684,False
W,0.19,0.81,0.14693161939801283,False
W,0.2,0.8,0.14687278245756086,False
W,0.21,0.79,0.14681728270957092,False
W,0.22,0.78,0.14676512015404303,False
W,0.23,0.77,0.14671629479097714,False
W,0.24,0.76,0.1466708066203733,False
W,0.25,0.75,0.14662865564223146,False
W,0.26,0.74,0.14658984185655166,False
W,0.27,0.73,0.1465543652633339,False
W,0.28,0.72,0.14652222586257815,False
W,0.29,0.71,0.14649342365428447,False
W,0.3,0.7,0.14646795863845274,False
W,0.31,0.69,0.1464458308150831,False
W,0.32,0.6799999999999999,0.1464270401841755,False
W,0.33,0.6699999999999999,0.1464115867457299,False
W,0.34,0.6599999999999999,0.14639947049974633,False
W,0.35000000000000003,0.6499999999999999,0.1463906914462248,False
W,0.36,0.64,0.14638524958516527,False
W,0.37,0.63,0.14638314491656781,True
