Shrinkage,ClipFloor,MacroSeasonBrier,WorstSeasonBrier,IdentityDistance,OneSEThreshold,WithinOneSE,Selected,StreamID
0.95,1e-06,0.18667484557727862,0.21471492687977203,0.050002000000000046,0.19559648611080255,True,False,M_primary
0.95,0.0025,0.18667484557727862,0.21471492687977203,0.05500000000000004,0.19559648611080255,True,False,M_primary
0.95,0.005,0.18667484557727862,0.21471492687977203,0.060000000000000046,0.19559648611080255,True,False,M_primary
0.95,0.01,0.18667484557727862,0.21471492687977203,0.07000000000000005,0.19559648611080255,True,False,M_primary
0.95,0.02,0.18667484557727862,0.21471492687977203,0.09000000000000005,0.19559648611080255,True,False,M_primary
0.95,0.025,0.18667484557727862,0.21471492687977203,0.10000000000000005,0.19559648611080255,True,False,M_primary
0.95,0.05,0.18668704875544523,0.21473881500185707,0.15000000000000005,0.19559648611080255,True,False,M_primary
1.0,0.05,0.18678813443860467,0.21660258483532324,0.1,0.19559648611080255,True,False,M_primary
1.0,0.025,0.18679851887688195,0.21647182971935977,0.05,0.19559648611080255,True,False,M_primary
1.0,1e-06,0.18679921336650537,0.2164630310653366,2e-06,0.19559648611080255,True,True,M_primary
1.0,0.0025,0.18679921336650537,0.2164630310653366,0.005,0.19559648611080255,True,False,M_primary
1.0,0.005,0.18679921336650537,0.2164630310653366,0.01,0.19559648611080255,True,False,M_primary
1.0,0.01,0.1867992890695731,0.21646340958067517,0.02,0.19559648611080255,True,False,M_primary
1.0,0.02,0.1868029030388324,0.21646795503522065,0.04,0.19559648611080255,True,False,M_primary
0.9,1e-06,0.1868962048534099,0.2133273440239231,0.10000199999999998,0.19559648611080255,True,False,M_primary
0.9,0.0025,0.1868962048534099,0.2133273440239231,0.10499999999999998,0.19559648611080255,True,False,M_primary
0.9,0.005,0.1868962048534099,0.2133273440239231,0.10999999999999997,0.19559648611080255,True,False,M_primary
0.9,0.01,0.1868962048534099,0.2133273440239231,0.11999999999999998,0.19559648611080255,True,False,M_primary
0.9,0.02,0.1868962048534099,0.2133273440239231,0.13999999999999999,0.19559648611080255,True,False,M_primary
0.9,0.025,0.1868962048534099,0.2133273440239231,0.14999999999999997,0.19559648611080255,True,False,M_primary
0.9,0.05,0.1868962048534099,0.2133273440239231,0.19999999999999998,0.19559648611080255,True,False,M_primary
0.85,1e-06,0.1874632911948993,0.2123002824977896,0.15000200000000002,0.19559648611080255,True,False,M_primary
0.85,0.0025,0.1874632911948993,0.2123002824977896,0.15500000000000003,0.19559648611080255,True,False,M_primary
0.85,0.005,0.1874632911948993,0.2123002824977896,0.16000000000000003,0.19559648611080255,True,False,M_primary
0.85,0.01,0.1874632911948993,0.2123002824977896,0.17,0.19559648611080255,True,False,M_primary
0.85,0.02,0.1874632911948993,0.2123002824977896,0.19000000000000003,0.19559648611080255,True,False,M_primary
0.85,0.025,0.1874632911948993,0.2123002824977896,0.2,0.19559648611080255,True,False,M_primary
0.85,0.05,0.1874632911948993,0.2123002824977896,0.25,0.19559648611080255,True,False,M_primary
0.8,1e-06,0.18837610460174664,0.2116337423013717,0.20000199999999996,0.19559648611080255,True,False,M_primary
0.8,0.0025,0.18837610460174664,0.2116337423013717,0.20499999999999996,0.19559648611080255,True,False,M_primary
0.8,0.005,0.18837610460174664,0.2116337423013717,0.20999999999999996,0.19559648611080255,True,False,M_primary
0.8,0.01,0.18837610460174664,0.2116337423013717,0.21999999999999995,0.19559648611080255,True,False,M_primary
0.8,0.02,0.18837610460174664,0.2116337423013717,0.23999999999999996,0.19559648611080255,True,False,M_primary
0.8,0.025,0.18837610460174664,0.2116337423013717,0.24999999999999994,0.19559648611080255,True,False,M_primary
0.8,0.05,0.18837610460174664,0.2116337423013717,0.29999999999999993,0.19559648611080255,True,False,M_primary
0.95,0.05,0.18005004778355835,0.20738388188190177,0.15000000000000005,0.19327750574980485,True,False,M_challenger
0.9,1e-06,0.18007589309322122,0.206066746029645,0.10000199999999998,0.19327750574980485,True,False,M_challenger
0.9,0.0025,0.18007589309322122,0.206066746029645,0.10499999999999998,0.19327750574980485,True,False,M_challenger
