Gender,Decision,Architecture,Model,ModelDisplay,MacroSeasonBrier,ROCAUC,AveragePrecision,Precision,Recall,F1,CalibrationSlope,ECE
M,Primary — one-standard-error,separate_gender,elastic_logistic,Rich elastic-net logistic,0.18679921336650537,0.7944805194805195,0.7701025989822741,0.6666666666666666,0.7532467532467533,0.7073170731707317,0.9423059564701983,0.06841916378314224
M,Performance challenger — lowest Brier,pooled_common,hist_classifier,Histogram boosting,0.1806688479903381,0.8077200577200577,0.7722920521232517,0.6987951807228916,0.7532467532467533,0.725,0.8322309939398992,0.06241587541575848
W,Primary — one-standard-error,pooled_common,seed_logistic,Seed logistic,0.15297833079837614,0.8585624445698621,0.8538047342013328,0.7592592592592593,0.7834394904458599,0.7711598746081505,1.3965525926216675,0.05939511366425055
W,Performance challenger — lowest Brier,pooled_common,xgb_classifier,XGBoost classifier,0.14868358783438557,0.8699105055228574,0.8686935624625586,0.7560975609756098,0.7898089171974523,0.7725856697819314,1.0135435724762516,0.06808284912554044
