Gender,route,Season,family,candidate,calibration,temperature,history_last_season,history_seasons
W,pooled_common,2018,lightgbm,lightgbm_strength_2,identity,1.0,2017,4
W,pooled_common,2018,logistic,logistic_dynamic_1,identity,1.0,2017,4
W,pooled_common,2018,seed,seed,temperature,0.6556615481371908,2017,4
W,pooled_common,2018,xgboost,xgboost_strength_2,identity,1.0,2017,4
W,pooled_common,2019,hist,hist_strength_2,identity,1.0,2018,5
W,pooled_common,2019,lightgbm,lightgbm_strength_2,identity,1.0,2018,5
W,pooled_common,2019,logistic,logistic_dynamic_1,identity,1.0,2018,5
W,pooled_common,2019,seed,seed,temperature,0.7078108689203929,2018,5
W,pooled_common,2019,xgboost,xgboost_strength_3,identity,1.0,2018,5
W,pooled_common,2021,hist,hist_strength_2,identity,1.0,2019,6
W,pooled_common,2021,lightgbm,lightgbm_strength_2,identity,1.0,2019,6
W,pooled_common,2021,logistic,logistic_dynamic_1,identity,1.0,2019,6
W,pooled_common,2021,seed,seed,temperature,0.6790743059034926,2019,6
W,pooled_common,2021,xgboost,xgboost_strength_2,identity,1.0,2019,6
