Gender,block,model,games,old_brier,new_brier,max_probability_change
M,M,blend,334,0.19267394223128614,0.19267394418614586,7.770752058489094e-08
M,M,hist_calibrated,334,0.19922000559819503,0.19922000559819503,0.0
M,M,hist_raw,334,0.19922000559819503,0.19922000559819503,0.0
M,M,lightgbm_calibrated,334,0.2009981539054299,0.2009981539054299,0.0
M,M,lightgbm_raw,334,0.2009981539054299,0.2009981539054299,0.0
M,M,logistic_calibrated,334,0.19173998721737393,0.19173998721737393,0.0
M,M,logistic_raw,334,0.19135771141836733,0.19135771141836733,0.0
M,M,rank_logistic_calibrated,334,0.1884086233579337,0.18840301808355275,0.014946530396584112
M,M,rank_logistic_raw,334,0.1884086233579337,0.18840301808355275,0.014946530396584112
M,M,seed_calibrated,334,0.2023409867946419,0.2023409867946419,0.0
M,M,seed_raw,334,0.20008320469887964,0.20008320469887964,0.0
M,M,xgboost_calibrated,334,0.2014660329993598,0.20146603185272738,8.842265541986194e-08
M,M,xgboost_raw,334,0.20026377298748088,0.200263772235298,5.960464477539063e-08
M,pooled_common,blend,334,0.19083974705561826,0.18832386691672934,0.08321054462643562
M,pooled_common,hist_calibrated,334,0.1938000059457324,0.1889489374583932,0.24277251478903428
M,pooled_common,hist_raw,334,0.1938000059457324,0.18894893745839322,0.24277251478903428
M,pooled_common,lightgbm_calibrated,334,0.19380360353458043,0.18855231153598334,0.20112393100445813
M,pooled_common,lightgbm_raw,334,0.19380360353458043,0.18855231153598334,0.20112393100445813
M,pooled_common,logistic_calibrated,334,0.19144780605569356,0.19144780605569356,0.0
M,pooled_common,logistic_raw,334,0.19144780605569356,0.19144780605569356,0.0
M,pooled_common,seed_calibrated,334,0.2016811248876931,0.2016811248876931,0.0
M,pooled_common,seed_raw,334,0.2016811248876931,0.2016811248876931,0.0
M,pooled_common,xgboost_calibrated,334,0.19143582159433953,0.18834282767131044,0.2234100028872491
M,pooled_common,xgboost_raw,334,0.19143582159433953,0.18834282767131044,0.223410002887249
W,W,blend,315,0.1478110855910157,0.14781978368829315,0.11751748235789983
W,W,hist_calibrated,315,0.1493323494177971,0.1493323494177971,0.0
W,W,hist_raw,315,0.14882517143447738,0.14882517143447738,0.0
W,W,lightgbm_calibrated,315,0.15932786944769922,0.15986668822653574,0.2683266599893651
W,W,lightgbm_raw,315,0.15789459819333101,0.1588549519364525,0.2460976986006599
W,W,logistic_calibrated,315,0.1438667273382604,0.14482282701794444,0.23241810308707694
W,W,logistic_raw,315,0.1438667273382604,0.14482282701794444,0.23241810308707694
W,W,seed_calibrated,315,0.15346132328246578,0.15346132328246578,0.0
W,W,seed_raw,315,0.15117915008387572,0.15117915008387572,0.0
W,W,xgboost_calibrated,315,0.1631880356767932,0.16266881778709705,0.2772623335758375
W,W,xgboost_raw,315,0.16043086609368096,0.16056841593627486,0.25275044143199926
W,pooled_common,blend,315,0.1464943795312312,0.1464943790431961,4.392999974900391e-08
W,pooled_common,hist_calibrated,315,0.15201659040941368,0.15201659040941368,0.0
W,pooled_common,hist_raw,315,0.15070773140214766,0.15070773140214766,0.0
W,pooled_common,lightgbm_calibrated,315,0.1527427576022592,0.1527427576022592,0.0
W,pooled_common,lightgbm_raw,315,0.15088951941870396,0.15088951941870396,0.0
W,pooled_common,logistic_calibrated,315,0.14943073670565193,0.14943073670565193,0.0
W,pooled_common,logistic_raw,315,0.1459060975453072,0.1459060975453072,0.0
W,pooled_common,seed_calibrated,315,0.15166870656967762,0.15166870656967762,0.0
W,pooled_common,seed_raw,315,0.15395207438948036,0.15395207438948036,0.0
W,pooled_common,xgboost_calibrated,315,0.15222077203421,0.1522207711186671,7.413059133209998e-08
W,pooled_common,xgboost_raw,315,0.1500924876118933,0.15009248729077915,5.960464477539063e-08
