Gender,block,model,macro_season_brier,season_brier_sd,seasons,games,brier,log_loss,roc_auc,average_precision,precision_at_05,recall_at_05,f1_at_05,ece_10_bins
M,M,blend,0.1927682902562336,0.02209298009526228,5,334,0.1926739422312861,0.5624942489487846,0.7787157287157286,0.7596082985568298,0.6298342541436464,0.7402597402597403,0.6805970149253732,0.055223673754134374
M,M,hist_calibrated,0.1993128440126089,0.022874532996642778,5,334,0.19922000559819503,0.5797278329678605,0.758603896103896,0.7195501079401254,0.6271186440677966,0.7207792207792207,0.6706948640483383,0.07314583609490441
M,M,hist_raw,0.1993128440126089,0.022874532996642778,5,334,0.19922000559819503,0.5797278329678605,0.758603896103896,0.7195501079401254,0.6271186440677966,0.7207792207792207,0.6706948640483383,0.07314583609490442
M,M,lightgbm_calibrated,0.20110960953902932,0.025582753542708003,5,334,0.2009981539054299,0.5832732409432232,0.7555555555555555,0.7188527995792181,0.6162790697674418,0.6883116883116883,0.6503067484662577,0.06220308510359634
M,M,lightgbm_raw,0.20110960953902932,0.025582753542707993,5,334,0.20099815390542988,0.5832732409432232,0.7555555555555555,0.7188527995792181,0.6162790697674418,0.6883116883116883,0.6503067484662577,0.062203085103596345
M,M,logistic_calibrated,0.1918333026343112,0.02243899129731696,5,334,0.19173998721737398,0.5596257111031255,0.7817099567099567,0.7641269530993665,0.6444444444444445,0.7532467532467533,0.6946107784431138,0.06602912714766744
M,M,logistic_raw,0.1914521679570927,0.022277471447751083,5,334,0.19135771141836738,0.5580462112909579,0.7814213564213564,0.7649351831116802,0.6444444444444445,0.7532467532467533,0.6946107784431138,0.055909813087554154
M,M,rank_logistic_calibrated,0.18847583612246704,0.021025207440756803,5,334,0.1884086233579337,0.5545867138571715,0.7925324675324675,0.7705544991265747,0.651685393258427,0.7532467532467533,0.6987951807228916,0.0636305963984895
M,M,rank_logistic_raw,0.18847583612246704,0.021025207440756803,5,334,0.18840862335793368,0.5545867138571715,0.7925324675324675,0.7705544991265747,0.651685393258427,0.7532467532467533,0.6987951807228916,0.0636305963984895
M,M,seed_calibrated,0.20243504619176286,0.02324689042606619,5,334,0.2023409867946419,0.5892856679138615,0.7641233766233766,0.7404378530215677,0.6276595744680851,0.7662337662337663,0.6900584795321637,0.09162708923670655
M,M,seed_raw,0.2001584887477655,0.01833685832384632,5,334,0.20008320469887964,0.5836922850142485,0.7628968253968255,0.7383006784486918,0.6276595744680851,0.7662337662337663,0.6900584795321637,0.07668305885725589
M,M,xgboost_calibrated,0.20156683438162165,0.0238022625253914,5,334,0.20146603299935983,0.586977835686292,0.7553210678210678,0.7135761268556725,0.6171428571428571,0.7012987012987013,0.6565349544072948,0.06058218274179275
M,M,xgboost_raw,0.20036816320559908,0.023480643551812928,5,334,0.20026377298748088,0.5824527613382608,0.7566558441558442,0.7188688089494094,0.6171428571428571,0.7012987012987013,0.6565349544072948,0.06244705046365364
M,pooled_common,blend,0.19091865712796835,0.021839128586404223,5,334,0.19083974705561824,0.557529253386316,0.7865800865800866,0.7688725774063183,0.6467391304347826,0.7727272727272727,0.7041420118343196,0.06425329899346399
M,pooled_common,hist_calibrated,0.193874799660539,0.022879879021176282,5,334,0.1938000059457324,0.5648880967559016,0.7767857142857142,0.7549290522216714,0.6277777777777778,0.7337662337662337,0.6766467065868264,0.05393886099603277
M,pooled_common,hist_raw,0.193874799660539,0.022879879021176282,5,334,0.1938000059457324,0.5648880967559016,0.7767857142857142,0.7549290522216714,0.6277777777777778,0.7337662337662337,0.6766467065868264,0.05393886099603275
M,pooled_common,lightgbm_calibrated,0.19387279294425214,0.02273417262882296,5,334,0.19380360353458045,0.5647715330049194,0.7787878787878788,0.7549337440310611,0.6358695652173914,0.7597402597402597,0.6923076923076923,0.054149770464817296
M,pooled_common,lightgbm_raw,0.19387279294425214,0.02273417262882296,5,334,0.19380360353458043,0.5647715330049196,0.7787878787878788,0.7549337440310611,0.6358695652173914,0.7597402597402597,0.6923076923076923,0.05414977046481729
M,pooled_common,logistic_calibrated,0.1915344620552843,0.022186105794964908,5,334,0.1914478060556936,0.5583219821633957,0.7811688311688312,0.7648022625617126,0.6483516483516484,0.7662337662337663,0.7023809523809523,0.08238887168065635
M,pooled_common,logistic_raw,0.1915344620552843,0.022186105794964908,5,334,0.1914478060556936,0.5583219821633957,0.7811688311688312,0.7648022625617126,0.6483516483516484,0.7662337662337663,0.7023809523809523,0.08238887168065634
M,pooled_common,seed_calibrated,0.20177875209633114,0.023195410247700204,5,334,0.2016811248876931,0.5869272980003333,0.7634740259740261,0.739701402564912,0.6276595744680851,0.7662337662337663,0.6900584795321637,0.0809968799087811
M,pooled_common,seed_raw,0.20177875209633114,0.023195410247700214,5,334,0.2016811248876931,0.5869272980003333,0.7634740259740261,0.739701402564912,0.6276595744680851,0.7662337662337663,0.6900584795321637,0.08099687990878109
M,pooled_common,xgboost_calibrated,0.19150454340520653,0.02251979596230156,5,334,0.19143582159433956,0.5592901076755111,0.7800865800865802,0.7565001569441526,0.6428571428571429,0.7597402597402597,0.6964285714285714,0.06676814664980608
M,pooled_common,xgboost_raw,0.19150454340520653,0.02251979596230156,5,334,0.19143582159433956,0.5592901076755111,0.7800865800865802,0.7565001569441526,0.6428571428571429,0.7597402597402597,0.6964285714285714,0.06676814664980608
W,W,blend,0.1478110855910157,0.015006006617129499,5,315,0.1478110855910157,0.4469530857298737,0.8707167620736919,0.867532097272675,0.775,0.7898089171974523,0.7823343848580442,0.053964164627460745
W,W,hist_calibrated,0.1493323494177971,0.016913351627853596,5,315,0.1493323494177971,0.4527013794791116,0.8666653229057486,0.8593479498222674,0.7692307692307693,0.8280254777070064,0.7975460122699386,0.05310263128237419
W,W,hist_raw,0.14882517143447738,0.016901357995271718,5,315,0.14882517143447738,0.4525713464514261,0.8673909538014998,0.8600601234581804,0.7692307692307693,0.8280254777070064,0.7975460122699386,0.06021118501904863
W,W,lightgbm_calibrated,0.15932786944769925,0.024382578288593956,5,315,0.15932786944769922,0.4899594543542561,0.845722808997823,0.8029758972518272,0.7668711656441718,0.7961783439490446,0.78125,0.07918285759361704
W,W,lightgbm_raw,0.15789459819333101,0.02192165632616681,5,315,0.15789459819333101,0.48128687731710484,0.8504797226477465,0.8321502888775154,0.7668711656441718,0.7961783439490446,0.78125,0.07328475997566435
W,W,logistic_calibrated,0.1438667273382604,0.012990232636795506,5,315,0.1438667273382604,0.4299346007457388,0.8789405788922036,0.8811817264413287,0.7791411042944786,0.8089171974522293,0.79375,0.062454554098357117
W,W,logistic_raw,0.1438667273382604,0.01299023263679551,5,315,0.1438667273382604,0.4299346007457388,0.8789405788922036,0.8811817264413287,0.7791411042944786,0.8089171974522293,0.79375,0.062454554098357117
W,W,seed_calibrated,0.15346132328246576,0.017379123104387422,5,315,0.15346132328246576,0.4622584004484325,0.8556599209868581,0.8504578191829109,0.7592592592592593,0.7834394904458599,0.7711598746081505,0.05618231813807199
W,W,seed_raw,0.15117915008387572,0.014287558159558246,5,315,0.1511791500838757,0.4593785511814305,0.8667862613883739,0.859479009636966,0.7592592592592593,0.7834394904458599,0.7711598746081505,0.052946885677956544
W,W,xgboost_calibrated,0.16318803567679324,0.024125217812674463,5,315,0.1631880356767932,0.5048427332848636,0.8404216721760863,0.78140804988861,0.7407407407407407,0.7643312101910829,0.7523510971786834,0.08135116889060054
W,W,xgboost_raw,0.16043086609368096,0.01885677350673884,5,315,0.16043086609368096,0.48597635957804586,0.8484439248568895,0.8320892399546961,0.7407407407407407,0.7643312101910829,0.7523510971786834,0.07925790453714036
W,pooled_common,blend,0.14649437953123118,0.014629650228132663,5,315,0.1464943795312312,0.4433181828723661,0.8730952188986536,0.8723313090953076,0.7730061349693251,0.802547770700637,0.7875,0.056150575486742654
W,pooled_common,hist_calibrated,0.15201659040941368,0.018130995406670954,5,315,0.15201659040941368,0.4615857702968933,0.8624727888414093,0.8497465569197292,0.774390243902439,0.8089171974522293,0.7912772585669782,0.06455704409658727
W,pooled_common,hist_raw,0.15070773140214766,0.01732005927139965,5,315,0.15070773140214766,0.4584872512693586,0.8659800048375393,0.862796644702748,0.774390243902439,0.8089171974522293,0.7912772585669782,0.06352008160661378
W,pooled_common,lightgbm_calibrated,0.1527427576022592,0.01813023829138102,5,315,0.1527427576022592,0.46410878815199164,0.8619890349109087,0.8459276142256584,0.7716049382716049,0.7961783439490446,0.7836990595611285,0.06300897056518145
W,pooled_common,lightgbm_raw,0.15088951941870396,0.01685743583894158,5,315,0.15088951941870396,0.4588905276339425,0.8657784406998307,0.8613350952880005,0.7716049382716049,0.7961783439490446,0.7836990595611285,0.07058687387989877
W,pooled_common,logistic_calibrated,0.14943073670565193,0.01870061609960808,5,315,0.14943073670565193,0.4562836456572913,0.868942997661856,0.8598650034163879,0.7791411042944786,0.8089171974522293,0.79375,0.07440042630044671
W,pooled_common,logistic_raw,0.1459060975453072,0.015151540171136237,5,315,0.14590609754530717,0.4362328241749155,0.8744658550350721,0.8760341641829397,0.7791411042944786,0.8089171974522293,0.79375,0.0767887114729089
W,pooled_common,seed_calibrated,0.15166870656967762,0.018298016282015415,5,315,0.15166870656967762,0.45581368525648364,0.859610578085947,0.8519154987869517,0.7592592592592593,0.7834394904458599,0.7711598746081505,0.06700172549229266
W,pooled_common,seed_raw,0.15395207438948036,0.011894806231454585,5,315,0.15395207438948036,0.4712893556591613,0.8658187535273724,0.8594701025038253,0.7592592592592593,0.7834394904458599,0.7711598746081505,0.05857982198783657
W,pooled_common,xgboost_calibrated,0.15222077203421003,0.01496707820403673,5,315,0.15222077203421,0.46198309701419193,0.8618479400145127,0.8472924464756545,0.7730061349693251,0.802547770700637,0.7875,0.05531747210972687
W,pooled_common,xgboost_raw,0.1500924876118933,0.012850178457999527,5,315,0.1500924876118933,0.4559008745818493,0.8667661049746028,0.862525279686382,0.7730061349693251,0.802547770700637,0.7875,0.0651002232044462
