Gender,Season,block,model,games,brier,log_loss,roc_auc,average_precision,precision_at_05,recall_at_05,f1_at_05,ece_10_bins
M,2016,M,blend,67,0.19806404792713783,0.5786370478513495,0.7667876588021779,0.7064652408245025,0.5757575757575758,0.6551724137931034,0.6129032258064516,0.1487170441198499
M,2016,M,hist_calibrated,67,0.20800328828274328,0.6022426216021052,0.7250453720508168,0.6670588399652599,0.6,0.6206896551724138,0.6101694915254238,0.10482685932793256
M,2016,M,hist_raw,67,0.20800328828274328,0.6022426216021052,0.7250453720508168,0.6670588399652599,0.6,0.6206896551724138,0.6101694915254238,0.10482685932793255
M,2016,M,lightgbm_calibrated,67,0.20775937925657204,0.6001647561327416,0.7277676950998185,0.6727245718872634,0.6,0.6206896551724138,0.6101694915254238,0.09219071219725217
M,2016,M,lightgbm_raw,67,0.20775937925657204,0.6001647561327415,0.7277676950998185,0.6727245718872634,0.6,0.6206896551724138,0.6101694915254238,0.09219071219725217
M,2016,M,logistic_calibrated,67,0.20017567085396984,0.587556825889134,0.764065335753176,0.7031593316007874,0.6176470588235294,0.7241379310344828,0.6666666666666666,0.12180431688315264
M,2016,M,logistic_raw,67,0.19826999746787724,0.5796829014523581,0.764065335753176,0.7031593316007874,0.6176470588235294,0.7241379310344828,0.6666666666666666,0.12938204456412736
M,2016,M,rank_logistic_calibrated,67,0.19222384320671862,0.5697197409522264,0.7876588021778584,0.7237083377869368,0.65625,0.7241379310344828,0.6885245901639344,0.1255936674259004
M,2016,M,rank_logistic_raw,67,0.19222384320671862,0.5697197409522264,0.7876588021778584,0.7237083377869368,0.65625,0.7241379310344828,0.6885245901639344,0.12559366742590042
M,2016,M,seed_calibrated,67,0.2084563851582909,0.60811546437762,0.7359346642468241,0.6492154945943402,0.6,0.6206896551724138,0.6101694915254238,0.1515372684277333
M,2016,M,seed_raw,67,0.20397419732597397,0.5937588993343518,0.7359346642468241,0.6492154945943402,0.6,0.6206896551724138,0.6101694915254238,0.10496164092694758
M,2016,M,xgboost_calibrated,67,0.20903882273318705,0.6131795896898173,0.7450090744101634,0.6800729539573259,0.6206896551724138,0.6206896551724138,0.6206896551724138,0.12079683913930798
M,2016,M,xgboost_raw,67,0.20304546685307412,0.5906217563727658,0.7450090744101634,0.6800729539573259,0.6206896551724138,0.6206896551724138,0.6206896551724138,0.09039014711308836
M,2016,pooled_common,blend,67,0.1968003104272943,0.5778375693105,0.7676950998185118,0.6972225388078875,0.6060606060606061,0.6896551724137931,0.6451612903225806,0.13333039284826656
M,2016,pooled_common,hist_calibrated,67,0.20578617676016545,0.5985776179523897,0.7377495462794919,0.6597446609725497,0.6,0.6206896551724138,0.6101694915254238,0.11174109811869794
M,2016,pooled_common,hist_raw,67,0.20578617676016545,0.5985776179523897,0.7377495462794919,0.6597446609725497,0.6,0.6206896551724138,0.6101694915254238,0.11174109811869794
M,2016,pooled_common,lightgbm_calibrated,67,0.2069861466860027,0.6021711203893876,0.7386569872958257,0.661180096479841,0.6,0.6206896551724138,0.6101694915254238,0.11045688375789564
M,2016,pooled_common,lightgbm_raw,67,0.2069861466860027,0.6021711203893876,0.7386569872958257,0.661180096479841,0.6,0.6206896551724138,0.6101694915254238,0.11045688375789564
M,2016,pooled_common,logistic_calibrated,67,0.19475235280900785,0.5743439599050483,0.7686025408348458,0.7011133486210933,0.6176470588235294,0.7241379310344828,0.6666666666666666,0.10450888261978755
M,2016,pooled_common,logistic_raw,67,0.19475235280900785,0.5743439599050483,0.7686025408348458,0.7011133486210933,0.6176470588235294,0.7241379310344828,0.6666666666666666,0.10450888261978754
M,2016,pooled_common,seed_calibrated,67,0.20565083534308232,0.5982240760451869,0.7359346642468241,0.6492154945943402,0.6,0.6206896551724138,0.6101694915254238,0.10622917449917835
