Gender,block,model,brier_delta,ci_low,ci_high,seasons,baseline
M,M,blend,-0.007390198491531885,-0.010621862906224497,-0.003839119826213559,5,separate seed_raw
M,M,hist_calibrated,-0.0008456447351565649,-0.007145804620823026,0.004517664695171597,5,separate seed_raw
M,M,hist_raw,-0.0008456447351565642,-0.0072968867093943955,0.0045176646951715985,5,separate seed_raw
M,M,lightgbm_calibrated,0.0009511207912638407,-0.006840614907719674,0.00762116308725584,5,separate seed_raw
M,M,lightgbm_raw,0.000951120791263841,-0.0068406149077196695,0.007621049903496535,5,separate seed_raw
M,M,logistic_calibrated,-0.008325186113454282,-0.011983763076414267,-0.0044094360776293865,5,separate seed_raw
M,M,logistic_raw,-0.008706320790672809,-0.01198376307641427,-0.004790570754847908,5,separate seed_raw
M,M,rank_logistic_calibrated,-0.011682652625298447,-0.015259398750701614,-0.006546493438193754,5,separate seed_raw
M,M,rank_logistic_raw,-0.011682652625298447,-0.015259398750701614,-0.006246526618172127,5,separate seed_raw
M,M,seed_calibrated,0.0022765574439973972,-0.001504930691078046,0.006005677696803063,5,separate seed_raw
M,M,seed_raw,0.0,0.0,0.0,5,separate seed_raw
M,M,xgboost_calibrated,0.0014083456338561937,-0.0038993009578691716,0.00671599222558156,5,separate seed_raw
M,M,xgboost_raw,0.00020967445783360398,-0.004967790433412547,0.0060563665397591355,5,separate seed_raw
M,pooled_common,blend,-0.009239831619797117,-0.012595919739016062,-0.005883743500578171,5,separate seed_raw
M,pooled_common,hist_calibrated,-0.006283689087226485,-0.01179265027129332,-0.001051376464027664,5,separate seed_raw
M,pooled_common,hist_raw,-0.006283689087226482,-0.011792650271293318,-0.0011354392722895059,5,separate seed_raw
M,pooled_common,lightgbm_calibrated,-0.0062856958035133635,-0.011996173505054308,-0.00016217894758992248,5,separate seed_raw
M,pooled_common,lightgbm_raw,-0.0062856958035133635,-0.011908374576274975,-0.000617960141587452,5,separate seed_raw
M,pooled_common,logistic_calibrated,-0.008624026692481166,-0.011922530855804117,-0.0052311469457247415,5,separate seed_raw
M,pooled_common,logistic_raw,-0.008624026692481168,-0.012016906439237593,-0.005231146945724742,5,separate seed_raw
M,pooled_common,seed_calibrated,0.0016202633485656634,-0.001917462674530545,0.005416131350366102,5,separate seed_raw
M,pooled_common,seed_raw,0.0016202633485656605,-0.0019166056339731217,0.005554390697198456,5,separate seed_raw
M,pooled_common,xgboost_calibrated,-0.008653945342558944,-0.014123345420015972,-0.0031845452651019157,5,separate seed_raw
M,pooled_common,xgboost_raw,-0.008653945342558944,-0.014123345420015972,-0.0031845452651019144,5,separate seed_raw
W,W,blend,-0.003368064492860032,-0.00698522788826265,0.0015653371111123038,5,separate seed_raw
W,W,hist_calibrated,-0.0018468006660786282,-0.010937772030075463,0.007586676539420782,5,separate seed_raw
W,W,hist_raw,-0.0023539786493983433,-0.012140804408358347,0.007586676539420782,5,separate seed_raw
W,W,lightgbm_calibrated,0.0081487193638235,-0.0005507993115528542,0.01874239114165963,5,separate seed_raw
W,W,lightgbm_raw,0.006715448109455288,-0.0007142554962420656,0.01398169553046343,5,separate seed_raw
W,W,logistic_calibrated,-0.00731242274561533,-0.013570419493485872,-0.0005087676660988071,5,separate seed_raw
W,W,logistic_raw,-0.007312422745615332,-0.013590636232688058,-0.0005087676660988103,5,separate seed_raw
W,W,seed_calibrated,0.002282173198590048,-9.472140884698753e-19,0.005054814558380189,5,separate seed_raw
W,W,seed_raw,0.0,0.0,0.0,5,separate seed_raw
W,W,xgboost_calibrated,0.012008885592917504,0.0032692221137422426,0.02301988236914495,5,separate seed_raw
W,W,xgboost_raw,0.009251716009805237,0.003269222113742239,0.015350663888110275,5,separate seed_raw
W,pooled_common,blend,-0.004684770552644536,-0.013102550006860525,0.004900336265707396,5,separate seed_raw
W,pooled_common,hist_calibrated,0.0008374403255379554,-0.0069672285939528485,0.010787967140165436,5,separate seed_raw
W,pooled_common,hist_raw,-0.0004714186817280627,-0.009584946608484883,0.009361457456325386,5,separate seed_raw
W,pooled_common,lightgbm_calibrated,0.00156360751838347,-0.005553742680744374,0.008773627305808177,5,separate seed_raw
W,pooled_common,lightgbm_raw,-0.0002896306651717674,-0.009087363548356637,0.008563041744289731,5,separate seed_raw
W,pooled_common,logistic_calibrated,-0.0017484133782237835,-0.012055542388708144,0.009287341115048281,5,separate seed_raw
W,pooled_common,logistic_raw,-0.0052730525385685425,-0.016271773590576147,0.007220428251275585,5,separate seed_raw
W,pooled_common,seed_calibrated,0.0004895564858018943,-0.002665090895121226,0.003837060933900835,5,separate seed_raw
W,pooled_common,seed_raw,0.002772924305604643,0.0008489987606872141,0.004668064508203964,5,separate seed_raw
W,pooled_common,xgboost_calibrated,0.0010416219503342824,-0.0047025400168213315,0.008596085974963063,5,separate seed_raw
W,pooled_common,xgboost_raw,-0.0010866624719824101,-0.007998490941684441,0.0068794801425821036,5,separate seed_raw
