model,block,feature,status,seasons
hist,embedding,diff_system_STH_logit,embedded,7
hist,embedding,diff_system_STH_logit_deviation,embedded,7
hist,embedding,diff_system_TMR_deviation,embedded,7
hist,embedding,diff_system_TMR_level,embedded,7
hist,embedding,diff_system_TMR_logit,embedded,7
hist,embedding,diff_system_TMR_logit_deviation,embedded,7
hist,embedding,diff_system_TW_deviation,embedded,7
hist,embedding,diff_system_TW_level,embedded,7
hist,embedding,diff_system_TW_logit,embedded,7
hist,embedding,diff_system_TW_logit_deviation,embedded,7
hist,embedding,diff_system_USA_deviation,embedded,7
hist,embedding,diff_system_USA_level,embedded,7
hist,embedding,diff_system_USA_logit,embedded,7
hist,embedding,diff_system_USA_logit_deviation,embedded,7
hist,embedding,diff_system_WIL_deviation,embedded,7
hist,embedding,diff_system_WIL_level,embedded,7
hist,embedding,diff_system_WIL_logit,embedded,7
hist,embedding,diff_system_WIL_logit_deviation,embedded,7
hist,embedding,diff_system_WLK_deviation,embedded,7
hist,embedding,diff_system_WLK_level,embedded,7
hist,embedding,diff_system_WLK_logit,embedded,7
hist,embedding,diff_system_WLK_logit_deviation,embedded,7
hist,embedding,diff_system_WOB_deviation,embedded,7
hist,embedding,diff_system_WOB_level,embedded,7
hist,embedding,diff_system_WOB_logit,embedded,7
hist,embedding,diff_system_WOB_logit_deviation,embedded,7
hist,embedding,diff_system_WOL_deviation,embedded,7
hist,embedding,diff_system_WOL_level,embedded,7
hist,embedding,diff_system_WOL_logit,embedded,7
hist,embedding,diff_system_WOL_logit_deviation,embedded,7
hist,embedding,diff_win_rate,retained,7
hist,levels,diff_margin,retained,7
hist,levels,diff_margin_sd,retained,7
hist,levels,diff_rank_age,retained,7
hist,levels,diff_rank_coverage,retained,3
hist,levels,diff_rank_disagreement,retained,7
hist,levels,diff_rank_iqr,retained,7
hist,levels,diff_rank_logit,retained,7
hist,levels,diff_rank_lower,retained,7
hist,levels,diff_rank_mean,retained,7
hist,levels,diff_rank_systems,retained,4
hist,levels,diff_rank_top25,retained,7
hist,levels,diff_rank_top50,retained,7
hist,levels,diff_rank_upper,retained,4
hist,levels,diff_schedule_strength,retained,7
hist,levels,diff_seed,retained,7
hist,levels,diff_strength,retained,7
hist,levels,diff_system_7OT_logit,retained,3
hist,levels,diff_system_ADE_logit,retained,2
hist,levels,diff_system_BBT_logit,retained,5
hist,levels,diff_system_BIH_logit,retained,1
