model,block,Season,brier
hist,availability,2016,0.1995713727064119
hist,availability,2017,0.175449681943827
hist,availability,2018,0.20372166087450244
hist,availability,2019,0.15236237703084543
hist,availability,2021,0.22092182829429413
hist,combined,2016,0.208908698916135
hist,combined,2017,0.17540479399044062
hist,combined,2018,0.20844881443632562
hist,combined,2019,0.18213327608117524
hist,combined,2021,0.2061116483705577
hist,consensus,2016,0.19912477671528708
hist,consensus,2017,0.17554509036765972
hist,consensus,2018,0.20042405110684047
hist,consensus,2019,0.15245982492262192
hist,consensus,2021,0.22143616295671387
hist,deviations,2016,0.20228603402421513
hist,deviations,2017,0.1792810053238701
hist,deviations,2018,0.2247250442016058
hist,deviations,2019,0.1532474424347733
hist,deviations,2021,0.21559771992905916
hist,embedding,2016,0.19971742770337753
hist,embedding,2017,0.17603070005797003
hist,embedding,2018,0.2067973916152406
hist,embedding,2019,0.1596124028816946
hist,embedding,2021,0.22143387324018626
hist,levels,2016,0.208908698916135
hist,levels,2017,0.17540479399044062
hist,levels,2018,0.20844881443632562
hist,levels,2019,0.18213327608117524
hist,levels,2021,0.2061116483705577
hist,momentum,2016,0.2058198951027537
hist,momentum,2017,0.17273148249637063
hist,momentum,2018,0.22991195259779001
hist,momentum,2019,0.1516245915245273
hist,momentum,2021,0.20996590069976911
hist,nested,2016,0.1995713727064119
hist,nested,2017,0.17554509036765972
hist,nested,2018,0.20042405110684047
hist,nested,2019,0.15245982492262192
hist,nested,2021,0.22143616295671387
hist,strength,2016,0.21050069646152567
hist,strength,2017,0.19158701023377062
hist,strength,2018,0.19619792568271535
hist,strength,2019,0.17117284630058935
hist,strength,2021,0.2329642371409238
logistic,availability,2016,0.1897743956253295
logistic,availability,2017,0.16332674138438374
logistic,availability,2018,0.20906889041152363
logistic,availability,2019,0.16461848332303242
logistic,availability,2021,0.2195555064313338
logistic,combined,2016,0.1922990355475049
logistic,combined,2017,0.1651303889708965
logistic,combined,2018,0.2084151818188304
logistic,combined,2019,0.170574130515698
logistic,combined,2021,0.19820365706042245
logistic,consensus,2016,0.19206212567993783
logistic,consensus,2017,0.16532332629081906
logistic,consensus,2018,0.20647972615539054
logistic,consensus,2019,0.16523338539468177
logistic,consensus,2021,0.20894166217802237
logistic,deviations,2016,0.2017979616460256
logistic,deviations,2017,0.16981241672353922
logistic,deviations,2018,0.24048544882340936
logistic,deviations,2019,0.1673771093484886
logistic,deviations,2021,0.21151541568140053
logistic,embedding,2016,0.19832693154663894
logistic,embedding,2017,0.16296524063547416
logistic,embedding,2018,0.21429960214311822
logistic,embedding,2019,0.16160401614209213
logistic,embedding,2021,0.20391694744026082
logistic,levels,2016,0.1922990355475049
logistic,levels,2017,0.1651303889708965
logistic,levels,2018,0.2084151818188304
logistic,levels,2019,0.170574130515698
logistic,levels,2021,0.19820365706042245
logistic,momentum,2016,0.1987859353133953
logistic,momentum,2017,0.18417203485714465
logistic,momentum,2018,0.22548690391036555
logistic,momentum,2019,0.16210988962078796
logistic,momentum,2021,0.18474304043442435
logistic,nested,2016,0.1987859353133953
logistic,nested,2017,0.18417203485714465
logistic,nested,2018,0.20906889041152363
logistic,nested,2019,0.16461848332303242
logistic,nested,2021,0.2195555064313338
logistic,strength,2016,0.19843563236055128
logistic,strength,2017,0.17315901743602993
logistic,strength,2018,0.1987227416005896
logistic,strength,2019,0.16680704324498194
logistic,strength,2021,0.21921447022202573
