model,block,Season,scope,status,count
hist,embedding,2015,additional,constant_or_missing,192
hist,embedding,2015,additional,embedded,228
hist,embedding,2015,base,constant,1
hist,embedding,2015,base,redundant,2
hist,embedding,2015,base,retained,16
hist,embedding,2016,additional,constant_or_missing,184
hist,embedding,2016,additional,embedded,236
hist,embedding,2016,base,constant,1
hist,embedding,2016,base,redundant,2
hist,embedding,2016,base,retained,16
hist,embedding,2017,additional,constant_or_missing,180
hist,embedding,2017,additional,embedded,240
hist,embedding,2017,base,constant,1
hist,embedding,2017,base,redundant,2
hist,embedding,2017,base,retained,16
hist,embedding,2018,additional,constant_or_missing,176
hist,embedding,2018,additional,embedded,244
hist,embedding,2018,base,constant,1
hist,embedding,2018,base,redundant,3
hist,embedding,2018,base,retained,15
hist,embedding,2019,additional,constant_or_missing,176
hist,embedding,2019,additional,embedded,244
hist,embedding,2019,base,constant,1
hist,embedding,2019,base,redundant,3
hist,embedding,2019,base,retained,15
hist,embedding,2021,additional,constant_or_missing,176
hist,embedding,2021,additional,embedded,244
hist,embedding,2021,base,constant,1
hist,embedding,2021,base,redundant,3
hist,embedding,2021,base,retained,15
hist,levels,2014,additional,all_missing,100
hist,levels,2014,additional,capacity,88
hist,levels,2014,additional,redundant,3
hist,levels,2014,additional,redundant_base,3
hist,levels,2014,additional,retained,16
hist,levels,2014,base,constant,1
hist,levels,2014,base,redundant,2
hist,levels,2014,base,retained,16
hist,levels,2015,additional,all_missing,96
hist,levels,2015,additional,capacity,94
hist,levels,2015,additional,redundant,2
hist,levels,2015,additional,redundant_base,2
hist,levels,2015,additional,retained,16
hist,levels,2015,base,constant,1
hist,levels,2015,base,redundant,2
hist,levels,2015,base,retained,16
hist,levels,2016,additional,all_missing,92
hist,levels,2016,additional,capacity,95
hist,levels,2016,additional,redundant,4
hist,levels,2016,additional,redundant_base,3
hist,levels,2016,additional,retained,16
hist,levels,2016,base,constant,1
hist,levels,2016,base,redundant,2
hist,levels,2016,base,retained,16
hist,levels,2017,additional,all_missing,90
hist,levels,2017,additional,capacity,101
hist,levels,2017,additional,redundant,1
hist,levels,2017,additional,redundant_base,2
hist,levels,2017,additional,retained,16
hist,levels,2017,base,constant,1
hist,levels,2017,base,redundant,2
hist,levels,2017,base,retained,16
hist,levels,2018,additional,all_missing,88
hist,levels,2018,additional,capacity,105
hist,levels,2018,additional,redundant_base,1
hist,levels,2018,additional,retained,16
hist,levels,2018,base,constant,1
hist,levels,2018,base,redundant,3
hist,levels,2018,base,retained,15
hist,levels,2019,additional,all_missing,88
hist,levels,2019,additional,capacity,104
hist,levels,2019,additional,redundant_base,2
hist,levels,2019,additional,retained,16
hist,levels,2019,base,constant,1
hist,levels,2019,base,redundant,3
hist,levels,2019,base,retained,15
hist,levels,2021,additional,all_missing,88
hist,levels,2021,additional,capacity,104
hist,levels,2021,additional,redundant_base,2
hist,levels,2021,additional,retained,16
hist,levels,2021,base,constant,1
hist,levels,2021,base,redundant,3
hist,levels,2021,base,retained,15
hist,momentum,2014,additional,all_missing,156
hist,momentum,2014,additional,capacity,142
hist,momentum,2014,additional,constant,1
hist,momentum,2014,additional,retained,16
hist,momentum,2014,base,constant,1
hist,momentum,2014,base,redundant,2
hist,momentum,2014,base,retained,16
hist,momentum,2015,additional,all_missing,150
hist,momentum,2015,additional,capacity,149
hist,momentum,2015,additional,retained,16
hist,momentum,2015,base,constant,1
hist,momentum,2015,base,redundant,2
hist,momentum,2015,base,retained,16
hist,momentum,2016,additional,all_missing,141
hist,momentum,2016,additional,capacity,158
hist,momentum,2016,additional,retained,16
hist,momentum,2016,base,constant,1
hist,momentum,2016,base,redundant,2
hist,momentum,2016,base,retained,16
hist,momentum,2017,additional,all_missing,137
hist,momentum,2017,additional,capacity,162
hist,momentum,2017,additional,retained,16
hist,momentum,2017,base,constant,1
hist,momentum,2017,base,redundant,2
hist,momentum,2017,base,retained,16
hist,momentum,2018,additional,all_missing,134
hist,momentum,2018,additional,capacity,165
hist,momentum,2018,additional,retained,16
hist,momentum,2018,base,constant,1
hist,momentum,2018,base,redundant,3
hist,momentum,2018,base,retained,15
hist,momentum,2019,additional,all_missing,134
hist,momentum,2019,additional,capacity,165
hist,momentum,2019,additional,retained,16
hist,momentum,2019,base,constant,1
hist,momentum,2019,base,redundant,3
hist,momentum,2019,base,retained,15
hist,momentum,2021,additional,all_missing,134
hist,momentum,2021,additional,capacity,165
hist,momentum,2021,additional,retained,16
hist,momentum,2021,base,constant,1
hist,momentum,2021,base,redundant,3
hist,momentum,2021,base,retained,15
hist,strength,2014,base,retained,6
hist,strength,2015,base,retained,6
hist,strength,2016,base,retained,6
hist,strength,2017,base,retained,6
hist,strength,2018,base,retained,6
hist,strength,2019,base,retained,6
hist,strength,2021,base,retained,6
logistic,availability,2014,additional,constant,102
logistic,availability,2014,additional,retained,3
logistic,availability,2014,base,constant,1
logistic,availability,2014,base,redundant,2
logistic,availability,2014,base,retained,16
logistic,availability,2015,additional,constant,102
logistic,availability,2015,additional,retained,3
logistic,availability,2015,base,constant,1
logistic,availability,2015,base,redundant,2
logistic,availability,2015,base,retained,16
logistic,availability,2016,additional,constant,102
logistic,availability,2016,additional,retained,3
logistic,availability,2016,base,constant,1
logistic,availability,2016,base,redundant,2
logistic,availability,2016,base,retained,16
logistic,availability,2017,additional,constant,102
logistic,availability,2017,additional,retained,3
logistic,availability,2017,base,constant,1
logistic,availability,2017,base,redundant,2
logistic,availability,2017,base,retained,16
logistic,availability,2018,additional,constant,102
logistic,availability,2018,additional,retained,3
logistic,availability,2018,base,constant,1
logistic,availability,2018,base,redundant,3
logistic,availability,2018,base,retained,15
logistic,availability,2019,additional,constant,102
logistic,availability,2019,additional,retained,3
logistic,availability,2019,base,constant,1
logistic,availability,2019,base,redundant,3
logistic,availability,2019,base,retained,15
logistic,availability,2021,additional,constant,102
logistic,availability,2021,additional,retained,3
logistic,availability,2021,base,constant,1
logistic,availability,2021,base,redundant,3
logistic,availability,2021,base,retained,15
logistic,combined,2014,additional,all_missing,356
logistic,combined,2014,additional,capacity,359
logistic,combined,2014,additional,constant,103
logistic,combined,2014,additional,redundant,3
logistic,combined,2014,additional,redundant_base,3
logistic,combined,2014,additional,retained,16
logistic,combined,2014,base,constant,1
logistic,combined,2014,base,redundant,2
logistic,combined,2014,base,retained,16
logistic,combined,2015,additional,all_missing,342
logistic,combined,2015,additional,capacity,376
logistic,combined,2015,additional,constant,102
logistic,combined,2015,additional,redundant,2
logistic,combined,2015,additional,redundant_base,2
logistic,combined,2015,additional,retained,16
logistic,combined,2015,base,constant,1
logistic,combined,2015,base,redundant,2
logistic,combined,2015,base,retained,16
logistic,combined,2016,additional,all_missing,325
logistic,combined,2016,additional,capacity,390
logistic,combined,2016,additional,constant,102
logistic,combined,2016,additional,redundant,4
logistic,combined,2016,additional,redundant_base,3
logistic,combined,2016,additional,retained,16
logistic,combined,2016,base,constant,1
logistic,combined,2016,base,redundant,2
logistic,combined,2016,base,retained,16
logistic,combined,2017,additional,all_missing,317
logistic,combined,2017,additional,capacity,402
