model,block,games,macro_season_brier,brier,log_loss,roc_auc,average_precision,precision_at_05,recall_at_05,f1_at_05,ece_10_bins
hist,availability,334,0.19040538416997616,0.1903140175708016,0.5627081932964592,0.7855699855699856,0.7450545879100975,0.6726190476190477,0.7337662337662337,0.7018633540372671,0.053866811267584296
hist,combined,334,0.19620144635892683,0.19617177509541897,0.5735630733072244,0.773611111111111,0.741701976632984,0.6358381502890174,0.7142857142857143,0.672782874617737,0.07618676221532872
hist,consensus,334,0.1897979812138246,0.18970325611878605,0.5616983598998556,0.786453823953824,0.7476945408064917,0.6686390532544378,0.7337662337662337,0.6996904024767802,0.05574012024378674
hist,deviations,334,0.1950274491827047,0.19496586154573955,0.572411222553566,0.7767316017316017,0.7565320456608957,0.6411764705882353,0.7077922077922078,0.6728395061728395,0.066345660160249
hist,embedding,334,0.19271835909969381,0.1926323845064588,0.5682182248878551,0.781890331890332,0.7434906545948374,0.6705882352941176,0.7402597402597403,0.7037037037037037,0.05058947120858602
hist,levels,334,0.19620144635892683,0.19617177509541897,0.5735630733072244,0.773611111111111,0.741701976632984,0.6358381502890174,0.7142857142857143,0.672782874617737,0.07618676221532872
hist,momentum,334,0.19401076448424215,0.1939629946153334,0.5716522396503512,0.7795454545454545,0.7502527252168223,0.655367231638418,0.7532467532467533,0.7009063444108762,0.06911246029396774
hist,nested,334,0.18988730041204957,0.1897928427397602,0.5618369671336652,0.7863095238095239,0.74770969656117,0.6686390532544378,0.7337662337662337,0.6996904024767802,0.05564448510037029
hist,strength,334,0.20048454316390493,0.2003872985711594,0.5825744181523421,0.7579004329004329,0.7205509550473193,0.611764705882353,0.6753246753246753,0.6419753086419753,0.07729566520779434
logistic,availability,334,0.18926880343512062,0.18917812468363496,0.5551334124897558,0.7897546897546898,0.7717869990754214,0.6464088397790055,0.7597402597402597,0.6985074626865672,0.07241407376071035
logistic,combined,334,0.18692447878267043,0.1868907087878269,0.5512610150916212,0.7937590187590188,0.7747995437541169,0.6519337016574586,0.7662337662337663,0.7044776119402985,0.08405279843719488
logistic,consensus,334,0.1876080451397703,0.18754417203486534,0.5521641683554688,0.793037518037518,0.7719653281340503,0.6573033707865169,0.7597402597402597,0.7048192771084337,0.08089511420885648
logistic,deviations,334,0.19819767044457265,0.19815779695583965,0.5783155854995686,0.7683982683982683,0.7550889331264531,0.6428571428571429,0.7597402597402597,0.6964285714285714,0.0862023172233575
logistic,embedding,334,0.18822254758151685,0.18817555836038288,0.5572627899940462,0.7939033189033189,0.7745473719709477,0.6557377049180327,0.7792207792207793,0.712166172106825,0.05028769284617068
logistic,levels,334,0.18692447878267043,0.1868907087878269,0.5512610150916212,0.7937590187590188,0.7747995437541169,0.6519337016574586,0.7662337662337663,0.7044776119402985,0.08405279843719488
logistic,momentum,334,0.19105956082722358,0.19107847256492655,0.5727501723776425,0.7914141414141413,0.7691851307952686,0.6704545454545454,0.7662337662337663,0.7151515151515152,0.0703793724965948
logistic,nested,334,0.19524017006728595,0.19516736965901035,0.5720066244805262,0.7814935064935067,0.7753412116424451,0.6203208556149733,0.7532467532467533,0.6803519061583577,0.09316920531941979
logistic,strength,334,0.19126778097283567,0.19118410825053275,0.5581698760198254,0.7823953823953824,0.7636978659461039,0.644808743169399,0.7662337662337663,0.7002967359050445,0.04885729786613882
