Gender,model,candidate,baseline,season_count,brier_delta,ci_low,ci_high
M,hist,strength,consensus,5,0.01068656195008034,0.0029783235555890858,0.01620759133447331
M,hist,levels,consensus,5,0.0064034651451022285,-0.005990532925922,0.019732795859857773
M,hist,deviations,consensus,5,0.005229467968880089,-0.002238562893021603,0.01537037082107508
M,hist,momentum,consensus,5,0.00421278327041754,-0.006105855250931347,0.01735864753533187
M,hist,availability,consensus,5,0.0006074029561515643,-0.00026379470644503645,0.00204839548046683
M,hist,combined,consensus,5,0.0064034651451022285,-0.005984803419899645,0.019732795859857773
M,hist,embedding,consensus,5,0.0029203778858692,0.0003118581871311814,0.005663336815185704
M,hist,nested,consensus,5,8.931919822496843e-05,0.0,0.0002679575946749053
M,logistic,strength,consensus,5,0.003659735833065389,-0.0027723209337783476,0.008713087498647392
M,logistic,levels,consensus,5,-0.0006835663570998581,-0.006008329964358556,0.003297571446470429
M,logistic,deviations,consensus,5,0.010589625304802345,0.00278480906941804,0.0227793455847902
M,logistic,momentum,consensus,5,0.0034515156874532437,-0.011374130487672456,0.016455422617481834
M,logistic,availability,consensus,5,0.001660758295350296,-0.001836706398747351,0.006428593392291815
M,logistic,combined,consensus,5,-0.0006835663570998581,-0.006094299401856478,0.0032132415821386493
M,logistic,embedding,consensus,5,0.0006145024417465309,-0.003933250727209454,0.0052190129154588965
M,logistic,nested,consensus,5,0.007632124927515646,0.0021344668004849897,0.013907789978517096
