Gender,Season,control,arm,games,brier,log_loss,auc
M,2016,strength,baseline,67,0.1984356323605513,0.5808982141084685,0.7676950998185118
M,2016,strength,quality_volume,67,0.19989108437814485,0.5844584322794416,0.7622504537205081
M,2016,strength,opportunity,67,0.19977981344049253,0.5854114267192515,0.76497277676951
M,2016,strength,context,67,0.19545066180680645,0.5739935176561206,0.7686025408348458
M,2016,strength,all,67,0.1993435139211835,0.5842616805205095,0.7540834845735028
M,2016,strength,without_quality_volume,67,0.19734782348087834,0.5792400601533336,0.7631578947368421
M,2016,strength,without_opportunity,67,0.1966369153870769,0.5769633523442909,0.7676950998185117
M,2016,strength,without_context,67,0.20054845063899712,0.5873731002141074,0.7604355716878403
M,2016,adjusted,baseline,67,0.1971864200220996,0.578889698011971,0.7740471869328495
M,2016,adjusted,quality_volume,67,0.1991386330766354,0.583575862355711,0.7676950998185118
M,2016,adjusted,opportunity,67,0.1991858555349827,0.5850221673479769,0.7622504537205083
M,2016,adjusted,context,67,0.19386057302079854,0.571365513546409,0.7776769509981851
M,2016,adjusted,all,67,0.19892423360107347,0.5844047108403522,0.7604355716878403
M,2016,adjusted,without_quality_volume,67,0.19683092700390611,0.5791413753385694,0.763157894736842
M,2016,adjusted,without_opportunity,67,0.1956043119898355,0.5754409604721495,0.7686025408348458
M,2016,adjusted,without_context,67,0.20015769693436108,0.587467688694653,0.7595281306715064
M,2017,strength,baseline,67,0.17315901743602993,0.5085137011702963,0.838680926916221
M,2017,strength,quality_volume,67,0.17241766977412057,0.5067988835361388,0.840463458110517
M,2017,strength,opportunity,67,0.17140386535421995,0.5047707972251981,0.8440285204991087
M,2017,strength,context,67,0.18582419975156958,0.540110155345644,0.820855614973262
M,2017,strength,all,67,0.18163940128637937,0.5319373026738733,0.8342245989304813
M,2017,strength,without_quality_volume,67,0.18190942329188983,0.5326296004217971,0.8288770053475936
M,2017,strength,without_opportunity,67,0.18267309629968986,0.5332245039854354,0.8306595365418895
M,2017,strength,without_context,67,0.1720467971522828,0.5064028321332857,0.8422459893048129
M,2017,adjusted,baseline,67,0.17517013737469095,0.5132940736655891,0.8270944741532977
M,2017,adjusted,quality_volume,67,0.17418490560376915,0.5109667422957576,0.8253119429590019
M,2017,adjusted,opportunity,67,0.17356747705860406,0.5099293371000977,0.8297682709447416
M,2017,adjusted,context,67,0.18782432042083724,0.5450955320420845,0.8137254901960784
M,2017,adjusted,all,67,0.18353965491359547,0.5366075377389837,0.8244206773618539
M,2017,adjusted,without_quality_volume,67,0.18388273749819942,0.5374415467014976,0.8297682709447415
M,2017,adjusted,without_opportunity,67,0.18440886269573564,0.5374551306559537,0.8270944741532977
M,2017,adjusted,without_context,67,0.1741480904682204,0.5114229578061268,0.8288770053475936
M,2018,strength,baseline,67,0.19872274160058961,0.5858550280156367,0.7598566308243728
M,2018,strength,quality_volume,67,0.2039975517005835,0.5975762895176214,0.7455197132616488
M,2018,strength,opportunity,67,0.20492391407090185,0.6006326673468521,0.7410394265232975
M,2018,strength,context,67,0.20219794865807109,0.5967292847982025,0.7553763440860215
M,2018,strength,all,67,0.20943512390291932,0.6127987810320705,0.739247311827957
M,2018,strength,without_quality_volume,67,0.20830672468240582,0.6109094371818649,0.7383512544802868
M,2018,strength,without_opportunity,67,0.20740900359820025,0.6068808573916848,0.7437275985663082
M,2018,strength,without_context,67,0.20553024279471158,0.6018025312377476,0.739247311827957
M,2018,adjusted,baseline,67,0.19644706299077686,0.5827019866186843,0.7688172043010753
M,2018,adjusted,quality_volume,67,0.20216840494945934,0.595279154329387,0.7482078853046595
M,2018,adjusted,opportunity,67,0.20318017026821905,0.5984279074790131,0.7473118279569892
M,2018,adjusted,context,67,0.1995062641794913,0.5937621848085187,0.7580645161290323
M,2018,adjusted,all,67,0.20619321737340635,0.6080934760849589,0.7419354838709677
M,2018,adjusted,without_quality_volume,67,0.20507897955337,0.6062430975397041,0.7473118279569892
M,2018,adjusted,without_opportunity,67,0.20437752033331516,0.6028728594682825,0.7526881720430106
M,2018,adjusted,without_context,67,0.20379321786888432,0.5996747692482474,0.7419354838709677
M,2019,strength,baseline,67,0.16680704324498197,0.493106147146355,0.8303085299455535
M,2019,strength,quality_volume,67,0.16707606600150024,0.494517892320509,0.8321234119782215
M,2019,strength,opportunity,67,0.16767276698850325,0.49584975581686774,0.8330308529945554
M,2019,strength,context,67,0.17105957673382874,0.5017591268301523,0.8230490018148819
M,2019,strength,all,67,0.17297777192957134,0.5067936323954555,0.8212341197822142
M,2019,strength,without_quality_volume,67,0.17311055751598756,0.5068342057376837,0.822141560798548
M,2019,strength,without_opportunity,67,0.17198436528545913,0.5046949088909047,0.823049001814882
M,2019,strength,without_context,67,0.16785147773816106,0.4962262760459511,0.8312159709618875
M,2019,adjusted,baseline,67,0.16557147057186275,0.4888753915117834,0.837568058076225
M,2019,adjusted,quality_volume,67,0.1657532531880469,0.4900205368969676,0.8357531760435571
M,2019,adjusted,opportunity,67,0.16632533267587293,0.49124260286486787,0.8357531760435571
M,2019,adjusted,context,67,0.1700185990506431,0.49716997001487095,0.8303085299455535
M,2019,adjusted,all,67,0.17223113150801322,0.5024509586263042,0.8284936479128857
M,2019,adjusted,without_quality_volume,67,0.17245973491852704,0.5027525212086027,0.8284936479128857
M,2019,adjusted,without_opportunity,67,0.17097318401241454,0.499937015502555,0.8266787658802178
M,2019,adjusted,without_context,67,0.1666096923052896,0.49173764012789317,0.8348457350272233
M,2021,strength,baseline,66,0.21921447022202573,0.6234506292589541,0.7169117647058825
M,2021,strength,quality_volume,66,0.219034911500794,0.6230586523898354,0.7178308823529411
M,2021,strength,opportunity,66,0.2218162297235594,0.6292464885918919,0.7113970588235294
M,2021,strength,context,66,0.21882986291251566,0.6223897311857303,0.7224264705882353
M,2021,strength,all,66,0.22150801300291856,0.6279426520538708,0.713235294117647
M,2021,strength,without_quality_volume,66,0.22199997414360964,0.6288845094728072,0.7132352941176471
M,2021,strength,without_opportunity,66,0.21973124366242974,0.6245131680315749,0.7159926470588235
M,2021,strength,without_context,66,0.22160690891536336,0.6286722648459041,0.7123161764705882
M,2021,adjusted,baseline,66,0.22196598696236372,0.6313170616807207,0.7086397058823529
M,2021,adjusted,quality_volume,66,0.22189347637105108,0.6310970795731726,0.7113970588235294
M,2021,adjusted,opportunity,66,0.22419831542812438,0.6360404308339209,0.7095588235294117
M,2021,adjusted,context,66,0.222098816165516,0.631219474281767,0.7095588235294117
M,2021,adjusted,all,66,0.22476503314015703,0.6361781649154564,0.707720588235294
M,2021,adjusted,without_quality_volume,66,0.2252950690856178,0.6371785846526192,0.7012867647058824
M,2021,adjusted,without_opportunity,66,0.22293257789564197,0.6329323106337774,0.7040441176470588
M,2021,adjusted,without_context,66,0.22431493883814432,0.6362320581235249,0.708639705882353
W,2016,strength,baseline,63,0.14946217863349998,0.4387711687174253,0.8700623700623701
W,2016,strength,quality_volume,63,0.15417411060913214,0.45268115538479503,0.8700623700623701
W,2016,strength,opportunity,63,0.15623396205426665,0.458288813813952,0.8711018711018711
W,2016,strength,context,63,0.1556310199843414,0.45470698010078814,0.8752598752598753
W,2016,strength,all,63,0.15742724454530813,0.46100758832271194,0.8752598752598753
W,2016,strength,without_quality_volume,63,0.15718612855356437,0.4601633098871532,0.8742203742203742
W,2016,strength,without_opportunity,63,0.15662305450242303,0.4582706343726263,0.8752598752598753
W,2016,strength,without_context,63,0.15686751544709035,0.4607529011978015,0.8700623700623701
W,2016,adjusted,baseline,63,0.15698493080505135,0.4568215593271705,0.8669438669438669
W,2016,adjusted,quality_volume,63,0.15940856289655347,0.464695042854064,0.8669438669438669
W,2016,adjusted,opportunity,63,0.15954018251061763,0.4649281110023302,0.8690228690228691
W,2016,adjusted,context,63,0.1610239671945018,0.46821755022726236,0.8669438669438669
W,2016,adjusted,all,63,0.1611811720622132,0.46923311277027796,0.8679833679833681
W,2016,adjusted,without_quality_volume,63,0.16119082519294542,0.4693207511988674,0.8679833679833681
W,2016,adjusted,without_opportunity,63,0.16157799717919968,0.4703164241899774,0.8700623700623701
W,2016,adjusted,without_context,63,0.15971127658526785,0.46576698707678504,0.8679833679833681
W,2017,strength,baseline,63,0.13054242303569893,0.399026233573437,0.9051020408163266
W,2017,strength,quality_volume,63,0.12980951261230134,0.3970251045496619,0.9020408163265307
W,2017,strength,opportunity,63,0.12626437957658487,0.3884929373236158,0.9081632653061225
W,2017,strength,context,63,0.12589892321256466,0.3877723154102367,0.9061224489795918
W,2017,strength,all,63,0.12329040937063591,0.38231500008759367,0.9142857142857143
W,2017,strength,without_quality_volume,63,0.1229887669095338,0.3814107359796564,0.9142857142857143
W,2017,strength,without_opportunity,63,0.12625306376769477,0.388924032454485,0.9071428571428571
W,2017,strength,without_context,63,0.12613726293936714,0.3881714222618968,0.9112244897959184
W,2017,adjusted,baseline,63,0.13232697567136736,0.402917299850171,0.9020408163265305
W,2017,adjusted,quality_volume,63,0.13184552737796607,0.4015448501438398,0.9040816326530612
W,2017,adjusted,opportunity,63,0.1281730211427139,0.39355487295648867,0.9051020408163265
W,2017,adjusted,context,63,0.12801010914662342,0.3931050092478239,0.9051020408163266
W,2017,adjusted,all,63,0.12565285170145865,0.38931664733357574,0.9102040816326531
W,2017,adjusted,without_quality_volume,63,0.1253202590607713,0.38817281794421654,0.9102040816326531
W,2017,adjusted,without_opportunity,63,0.12848399268983376,0.3947586455056931,0.9051020408163265
W,2017,adjusted,without_context,63,0.12802070033743745,0.3931284469986995,0.9051020408163265
W,2018,strength,baseline,63,0.15611157244654633,0.4624288542035629,0.8640973630831643
W,2018,strength,quality_volume,63,0.15489839150369583,0.4589019942917527,0.8661257606490872
W,2018,strength,opportunity,63,0.15539955922003967,0.45974846131935726,0.8640973630831643
W,2018,strength,context,63,0.15721032910724625,0.46479349948793536,0.8620689655172414
W,2018,strength,all,63,0.15772212256299986,0.46573342670022716,0.8620689655172413
W,2018,strength,without_quality_volume,63,0.15705473662665514,0.4647035578469034,0.8610547667342799
W,2018,strength,without_opportunity,63,0.15737782418999993,0.46495545208388805,0.8620689655172413
