scope,Gender,arm,mean_season_brier,mean_delta,improved_seasons,worst_delta,exploratory_screen_pass
all_tournament,M,baseline,0.19126778097283573,0.0,0,0.0,False
all_tournament,M,minimal,0.19402690535551897,0.002759124382683248,1,0.011027075828066807,False
all_tournament,M,minimal_quality,0.19318460791180203,0.001916826938966326,1,0.01298147019594409,False
all_tournament,M,single_away_quality_wins,0.19260337363462582,0.0013355926617901082,2,0.00950464677294155,False
all_tournament,M,single_bad_loss_rate,0.19166887015580378,0.0004010891829680785,0,0.0008715257676112642,False
all_tournament,M,single_elite_win_rate,0.19151614660813085,0.00024836563529513357,2,0.0008990727315905389,False
all_tournament,M,single_elite_wins,0.19137136626422532,0.00010358529138961847,2,0.0006190566385771701,False
all_tournament,M,single_late_quality_wins,0.1919835531545658,0.0007157721817300899,2,0.0025103874621943134,False
all_tournament,M,single_quality_margin,0.19179950800204298,0.0005317270292072629,2,0.0023379202592763992,False
all_tournament,M,single_quality_win_rate,0.19151699099044256,0.0002492100176068601,2,0.001680447698901355,False
all_tournament,M,single_quality_wins,0.19203718091639801,0.0007693999435622989,1,0.00266787958179443,False
all_tournament,M,single_schedule_quality,0.19228232285184285,0.0010145418790071525,1,0.0024182666627975413,False
all_tournament,M,single_seeded_win_rate,0.1916963653441016,0.00042858437126588325,2,0.0026354213659807724,False
all_tournament,M,single_seeded_wins,0.1922454754458592,0.0009776944730234937,1,0.004265574050459964,False
all_tournament,W,baseline,0.144307515227209,0.0,0,0.0,False
all_tournament,W,minimal,0.15049599305178415,0.006188477824575161,1,0.01525250750239271,False
all_tournament,W,minimal_quality,0.15010678678432443,0.005799271557115427,1,0.01972191324484493,False
all_tournament,W,single_away_quality_wins,0.1456363896446674,0.0013288744174584088,1,0.00583066208181604,False
all_tournament,W,single_bad_loss_rate,0.14459639491368176,0.00028887968647277605,3,0.005581764505215581,False
all_tournament,W,single_elite_win_rate,0.1458206703818,0.0015131551545910116,1,0.0037149080950063806,False
all_tournament,W,single_elite_wins,0.14506137435684455,0.0007538591296355479,2,0.0037947154102467573,False
all_tournament,W,single_late_quality_wins,0.14359561379710611,-0.0007119014301028958,4,0.002966548901031818,False
all_tournament,W,single_quality_margin,0.14551354650638593,0.0012060312791769335,1,0.0032618685924057367,False
all_tournament,W,single_quality_win_rate,0.14575733407184424,0.0014498188446352312,1,0.004842881699134993,False
all_tournament,W,single_quality_wins,0.1446889833224621,0.00038146809525309023,3,0.0032244408285601323,False
all_tournament,W,single_schedule_quality,0.1430804853051008,-0.0012270299221082027,5,-0.0002666703457397668,True
all_tournament,W,single_seeded_win_rate,0.14565625249852196,0.0013487372713129665,2,0.005718014490364548,False
all_tournament,W,single_seeded_wins,0.1443392251414631,3.170991425411884e-05,3,0.003687663907732147,False
main_draw_day136,M,baseline,0.1901437007235444,0.0,0,0.0,False
main_draw_day136,M,minimal,0.19111855833827346,0.0009748576147290633,1,0.0090822578331895,False
main_draw_day136,M,minimal_quality,0.19011100221362504,-3.269850991937107e-05,3,0.010837045059298028,False
main_draw_day136,M,single_away_quality_wins,0.1913812944717933,0.0012375937482489107,2,0.009709977740718106,False
main_draw_day136,M,single_bad_loss_rate,0.19075724596414734,0.0006135452406029307,0,0.0012437594731055102,False
main_draw_day136,M,single_elite_win_rate,0.19033715452619834,0.00019345380265394784,2,0.0008433131071818312,False
main_draw_day136,M,single_elite_wins,0.19029257241478487,0.0001488716912404875,2,0.0006809518340232801,False
main_draw_day136,M,single_late_quality_wins,0.1906927026539526,0.0005490019304082106,2,0.00229130406092104,False
main_draw_day136,M,single_quality_margin,0.1910378509197249,0.0008941501961804932,1,0.003701769322800169,False
main_draw_day136,M,single_quality_win_rate,0.1906314974209172,0.00048779669737279984,1,0.002486094568704744,False
main_draw_day136,M,single_quality_wins,0.19107361966442124,0.0009299189408768394,1,0.0030374228296662087,False
main_draw_day136,M,single_schedule_quality,0.19123831233091698,0.0010946116073725976,1,0.0022653270499345957,False
main_draw_day136,M,single_seeded_win_rate,0.19094460483603998,0.0008009041124955707,2,0.0037001173492896555,False
main_draw_day136,M,single_seeded_wins,0.1912873151781686,0.0011436144546241977,1,0.0044927323191513435,False
main_draw_day136,W,baseline,0.144307515227209,0.0,0,0.0,False
main_draw_day136,W,minimal,0.15049599305178415,0.006188477824575161,1,0.01525250750239271,False
main_draw_day136,W,minimal_quality,0.15010678678432443,0.005799271557115427,1,0.01972191324484493,False
main_draw_day136,W,single_away_quality_wins,0.1456363896446674,0.0013288744174584088,1,0.00583066208181604,False
main_draw_day136,W,single_bad_loss_rate,0.14459639491368176,0.00028887968647277605,3,0.005581764505215581,False
main_draw_day136,W,single_elite_win_rate,0.1458206703818,0.0015131551545910116,1,0.0037149080950063806,False
main_draw_day136,W,single_elite_wins,0.14506137435684455,0.0007538591296355479,2,0.0037947154102467573,False
main_draw_day136,W,single_late_quality_wins,0.14359561379710611,-0.0007119014301028958,4,0.002966548901031818,False
main_draw_day136,W,single_quality_margin,0.14551354650638593,0.0012060312791769335,1,0.0032618685924057367,False
main_draw_day136,W,single_quality_win_rate,0.14575733407184424,0.0014498188446352312,1,0.004842881699134993,False
main_draw_day136,W,single_quality_wins,0.1446889833224621,0.00038146809525309023,3,0.0032244408285601323,False
main_draw_day136,W,single_schedule_quality,0.1430804853051008,-0.0012270299221082027,5,-0.0002666703457397668,True
main_draw_day136,W,single_seeded_win_rate,0.14565625249852196,0.0013487372713129665,2,0.005718014490364548,False
main_draw_day136,W,single_seeded_wins,0.1443392251414631,3.170991425411884e-05,3,0.003687663907732147,False
