scope,Gender,Season,arm,games,brier,baseline_brier,delta
all_tournament,M,2016,baseline,67,0.1984356323605513,0.1984356323605513,0.0
all_tournament,M,2016,minimal,67,0.1888722191495222,0.1984356323605513,-0.009563413211029104
all_tournament,M,2016,minimal_quality,67,0.18832558944507444,0.1984356323605513,-0.010110042915476875
all_tournament,M,2016,single_away_quality_wins,67,0.19356293907554534,0.1984356323605513,-0.0048726932850059745
all_tournament,M,2016,single_bad_loss_rate,67,0.19930715812816258,0.1984356323605513,0.0008715257676112642
all_tournament,M,2016,single_elite_win_rate,67,0.1982342810280421,0.1984356323605513,-0.00020135133250920312
all_tournament,M,2016,single_elite_wins,67,0.19865117101125532,0.1984356323605513,0.0002155386507040058
all_tournament,M,2016,single_late_quality_wins,67,0.20094601982274563,0.1984356323605513,0.0025103874621943134
all_tournament,M,2016,single_quality_margin,67,0.19795717190544013,0.1984356323605513,-0.00047846045511118485
all_tournament,M,2016,single_quality_win_rate,67,0.1983863748553231,0.1984356323605513,-4.925750522821737e-05
all_tournament,M,2016,single_quality_wins,67,0.1998086037461656,0.1984356323605513,0.001372971385614291
all_tournament,M,2016,single_schedule_quality,67,0.2003255340881168,0.1984356323605513,0.0018899017275654795
all_tournament,M,2016,single_seeded_win_rate,67,0.19847633516918953,0.1984356323605513,4.0702808638215515e-05
all_tournament,M,2016,single_seeded_wins,67,0.1999026211964035,0.1984356323605513,0.0014669888358521954
all_tournament,M,2017,baseline,67,0.17315901743602993,0.17315901743602993,0.0
all_tournament,M,2017,minimal,67,0.18418609326409674,0.17315901743602993,0.011027075828066807
all_tournament,M,2017,minimal_quality,67,0.18614048763197402,0.17315901743602993,0.01298147019594409
all_tournament,M,2017,single_away_quality_wins,67,0.18266366420897148,0.17315901743602993,0.00950464677294155
all_tournament,M,2017,single_bad_loss_rate,67,0.17332625832739285,0.17315901743602993,0.0001672408913629131
all_tournament,M,2017,single_elite_win_rate,67,0.17405809016762047,0.17315901743602993,0.0008990727315905389
all_tournament,M,2017,single_elite_wins,67,0.1737780740746071,0.17315901743602993,0.0006190566385771701
all_tournament,M,2017,single_late_quality_wins,67,0.1746019196284155,0.17315901743602993,0.0014429021923855756
all_tournament,M,2017,single_quality_margin,67,0.17391785320775532,0.17315901743602993,0.0007588357717253913
all_tournament,M,2017,single_quality_win_rate,67,0.17260491169139966,0.17315901743602993,-0.0005541057446302733
all_tournament,M,2017,single_quality_wins,67,0.17268400207148632,0.17315901743602993,-0.0004750153645436128
all_tournament,M,2017,single_schedule_quality,67,0.17104017953749315,0.17315901743602993,-0.002118837898536785
all_tournament,M,2017,single_seeded_win_rate,67,0.172400827725224,0.17315901743602993,-0.0007581897108059343
all_tournament,M,2017,single_seeded_wins,67,0.17203810858500646,0.17315901743602993,-0.0011209088510234777
all_tournament,M,2018,baseline,67,0.19872274160058961,0.19872274160058961,0.0
