Season,block,model,games,brier,log_loss,roc_auc,average_precision,precision_at_05,recall_at_05,f1_at_05,ece_10_bins
2016,efficiency,hist,130,0.18238336079320627,0.5398057820152387,0.8012121212121212,0.7395943054573271,0.6363636363636364,0.7636363636363637,0.6942148760330579,0.07177950524456479
2016,efficiency,logistic,130,0.19150551367451277,0.563401522297507,0.7905454545454546,0.7166766455269221,0.6338028169014085,0.8181818181818182,0.7142857142857143,0.0857236591781609
2016,full,hist,130,0.19932709003870303,0.5798001650733333,0.7716363636363637,0.7119573776574265,0.6212121212121212,0.7454545454545455,0.6776859504132231,0.11958659310968213
2016,full,logistic,130,0.19252193087144637,0.565497967457701,0.7888484848484848,0.7157955992131396,0.6164383561643836,0.8181818181818182,0.703125,0.10992507078370792
2016,matchup,hist,130,0.18803441026634848,0.5512422289426511,0.7895757575757576,0.7314114379378465,0.6086956521739131,0.7636363636363637,0.6774193548387096,0.07569048123356475
2016,matchup,logistic,130,0.19202300140549125,0.5648319421870799,0.7907878787878788,0.7208172790657856,0.6197183098591549,0.8,0.6984126984126984,0.0940232492752707
2016,recent,hist,130,0.1886086630498311,0.5555580754408628,0.7944242424242425,0.7282851913385704,0.6461538461538462,0.7636363636363637,0.7,0.08644930330516663
2016,recent,logistic,130,0.1917907946778135,0.5636568344052645,0.7888484848484849,0.7168166220205543,0.6338028169014085,0.8181818181818182,0.7142857142857143,0.09277317407028345
2016,seed,hist,130,0.19650409215765105,0.5672313518343168,0.7587878787878788,0.6794875937756442,0.6166666666666667,0.6727272727272727,0.6434782608695652,0.0676094558925694
2016,seed,logistic,130,0.1864003307892287,0.5454593616488062,0.7835151515151515,0.7076684687330036,0.6,0.7090909090909091,0.65,0.07979320517561542
2016,strength,hist,130,0.17911814321930825,0.5261580091011204,0.8026666666666668,0.7664027851252448,0.6190476190476191,0.7090909090909091,0.6610169491525424,0.07473107362100118
2016,strength,logistic,130,0.1747023432466726,0.5120212613420398,0.817939393939394,0.7642900852944732,0.6521739130434783,0.8181818181818182,0.7258064516129032,0.07234746756886878
2017,efficiency,hist,130,0.17571421848628221,0.5264785034607848,0.8184842005226896,0.7740633141886024,0.6582278481012658,0.8524590163934426,0.7428571428571429,0.11150261356586133
2017,efficiency,logistic,130,0.15940134037594333,0.47337601610875596,0.8543597053932049,0.8367065410103727,0.6973684210526315,0.8688524590163934,0.7737226277372263,0.11692402195792678
2017,full,hist,130,0.16376226946582556,0.4965822361599883,0.8367783321454026,0.7878998171989946,0.68,0.8360655737704918,0.75,0.11391942381848494
2017,full,logistic,130,0.1577857941917055,0.46751539307076645,0.8583986695177002,0.8428384141835622,0.6973684210526315,0.8688524590163934,0.7737226277372263,0.11648456885350184
2017,matchup,hist,130,0.17541497222951943,0.5246855045018061,0.8191969588976004,0.7747211766206383,0.65,0.8524590163934426,0.7375886524822695,0.13604288609311327
2017,matchup,logistic,130,0.15913255599169418,0.4719854746413564,0.8548348776431456,0.8377923812232422,0.6973684210526315,0.8688524590163934,0.7737226277372263,0.11383056509117305
2017,recent,hist,130,0.1640638125958483,0.49909172146634045,0.8405797101449275,0.7858285260883098,0.6842105263157895,0.8524590163934426,0.7591240875912408,0.0939239198828215
2017,recent,logistic,130,0.15798625002739097,0.468693632220463,0.8564979805179377,0.8404750938249482,0.6973684210526315,0.8688524590163934,0.7737226277372263,0.1094567769218782
2017,seed,hist,130,0.1687608041122404,0.5061796044567027,0.8379662627702542,0.798841765523323,0.6951219512195121,0.9344262295081968,0.7972027972027972,0.1100298969357998
2017,seed,logistic,130,0.1650428386920053,0.5001676657277858,0.8461629840817296,0.8009859214224913,0.6951219512195121,0.9344262295081968,0.7972027972027972,0.09950326485035564
2017,strength,hist,130,0.1713072905045505,0.5180444013057028,0.825136612021858,0.7725272751285747,0.6923076923076923,0.8852459016393442,0.7769784172661871,0.11177286466127588
2017,strength,logistic,130,0.1525063601497157,0.45545438995027987,0.869327631266334,0.8533543560262293,0.7125,0.9344262295081968,0.8085106382978723,0.10629920231524917
2018,efficiency,hist,130,0.1824334085419296,0.5359300134262412,0.807810650887574,0.8339188375047666,0.7457627118644068,0.676923076923077,0.7096774193548387,0.07043013774443524
2018,efficiency,logistic,130,0.17285115682968288,0.5145910157553978,0.8220118343195266,0.8501014090172185,0.7258064516129032,0.6923076923076923,0.7086614173228346,0.10807485643849674
2018,full,hist,130,0.18099313693528601,0.5365693195655286,0.8106508875739644,0.8352142354942281,0.703125,0.6923076923076923,0.6976744186046512,0.11976662980717828
2018,full,logistic,130,0.1714138705242484,0.5132937938645886,0.8236686390532544,0.850249577559213,0.75,0.7384615384615385,0.7441860465116279,0.10387418945438409
2018,matchup,hist,130,0.1824227305724168,0.5346428045577021,0.8063905325443788,0.8332376968649761,0.71875,0.7076923076923077,0.7131782945736435,0.08295647409145926
2018,matchup,logistic,130,0.17191430240867345,0.5132157463790943,0.8229585798816568,0.8495598411649405,0.7258064516129032,0.6923076923076923,0.7086614173228346,0.12427061221617158
2018,recent,hist,130,0.17534483849090224,0.52346882964909,0.8198816568047337,0.8438758635413062,0.7301587301587301,0.7076923076923077,0.71875,0.1048003930057178
2018,recent,logistic,130,0.17243428251532095,0.5148733881097872,0.8236686390532545,0.8504942917716747,0.7580645161290323,0.7230769230769231,0.7401574803149606,0.10390910245131202
2018,seed,hist,130,0.18769564959513826,0.5452104492998013,0.7889940828402366,0.8051259762696847,0.676923076923077,0.676923076923077,0.676923076923077,0.08774486464488992
2018,seed,logistic,130,0.18649841103855228,0.5460741712554359,0.7921893491124261,0.8209864197672558,0.676923076923077,0.676923076923077,0.676923076923077,0.16222447113120114
2018,strength,hist,130,0.18680597534991855,0.5454271859946896,0.7959763313609468,0.8108019228371459,0.7301587301587301,0.7076923076923077,0.71875,0.08340194849972193
2018,strength,logistic,130,0.17807271347209172,0.5260408053220933,0.8115976331360947,0.8358894966451451,0.7540983606557377,0.7076923076923077,0.7301587301587301,0.09783816237673068
2019,efficiency,hist,130,0.15853450798499405,0.47416156386675634,0.8503207412687099,0.8354813728480949,0.7384615384615385,0.7868852459016393,0.7619047619047619,0.11164965349962261
