Gender,Season,block,model,games,brier,log_loss,roc_auc,average_precision,precision_at_05,recall_at_05,f1_at_05,ece_10_bins
M,2016,efficiency,hist,67,0.2096654627872812,0.607539521415248,0.721415607985481,0.6457123398846557,0.6,0.6206896551724138,0.6101694915254238,0.09461753276681983
M,2016,efficiency,logistic,67,0.20870139825284648,0.6085871396107315,0.7377495462794919,0.6427749730360354,0.6,0.7241379310344828,0.65625,0.09248122822033304
M,2016,full,hist,67,0.21842639174537629,0.6258504470478637,0.7041742286751361,0.6455908786316238,0.5833333333333334,0.7241379310344828,0.6461538461538462,0.12190049722235982
M,2016,full,logistic,67,0.21006211182504034,0.6111589378225334,0.7368421052631579,0.6358802893022989,0.5945945945945946,0.7586206896551724,0.6666666666666666,0.08999707075601818
M,2016,matchup,hist,67,0.21927016867622828,0.6255438476343941,0.6960072595281306,0.6360631461608718,0.5483870967741935,0.5862068965517241,0.5666666666666667,0.10330707105666391
M,2016,matchup,logistic,67,0.2087851961946591,0.6085244645418737,0.7404718693284937,0.6415479630327128,0.6,0.7241379310344828,0.65625,0.10032006740738078
M,2016,recent,hist,67,0.20210799585288247,0.5919772422803864,0.7558983666061706,0.6848875259385211,0.6176470588235294,0.7241379310344828,0.6666666666666666,0.12735425667940087
M,2016,recent,logistic,67,0.20955961153329167,0.6105690444427885,0.735934664246824,0.6398294245343826,0.6,0.7241379310344828,0.65625,0.09764033855280421
M,2016,seed,hist,67,0.20782255553551102,0.603536088305016,0.7368421052631579,0.6455461177761541,0.64,0.5517241379310345,0.5925925925925926,0.07886018451284882
M,2016,seed,logistic,67,0.2039741973259739,0.5937588993343519,0.7359346642468241,0.6492154945943402,0.6,0.6206896551724138,0.6101694915254238,0.10496164092694758
M,2016,strength,hist,67,0.21050069646152564,0.6077594808395249,0.7232304900181488,0.6764991315050032,0.5555555555555556,0.5172413793103449,0.5357142857142857,0.11215017137350294
M,2016,strength,logistic,67,0.1984356323605513,0.5808982141084685,0.7676950998185118,0.7074318844322226,0.6176470588235294,0.7241379310344828,0.6666666666666666,0.1199582393163307
M,2017,efficiency,hist,67,0.20438819157143176,0.593216765489237,0.7450980392156863,0.7141370018323592,0.6222222222222222,0.8484848484848485,0.717948717948718,0.1199255484037719
