Gender,model,candidate,baseline,season_count,brier_delta,ci_low,ci_high
M,hist,strength,seed,5,-0.001674762200448688,-0.012606563754056999,0.009441431413400595
M,hist,efficiency,strength,5,0.0033712288593109236,-0.001906180260476421,0.009153610695366077
M,hist,recent,efficiency,5,-0.0068652187771070985,-0.010967184662101642,-0.002315810116106658
M,hist,matchup,efficiency,5,0.0015602061627872827,-0.0016833582011782137,0.00590897693036075
M,hist,full,recent,5,0.0056222621327934475,0.001489262613286786,0.011225079107994225
M,hist,full,matchup,5,-0.002803162807100937,-0.008027833239712828,0.0006228938532630011
M,logistic,strength,seed,5,-0.008890707774929778,-0.011549439397778418,-0.006431907632492626
M,logistic,efficiency,strength,5,0.0015032270146296343,-0.0046093713705596395,0.007560762948595733
M,logistic,recent,efficiency,5,-0.0002879945682121047,-0.0010958459071903424,0.000519856770766133
M,logistic,matchup,efficiency,5,-0.00022096261510882157,-0.0007240616871927846,0.00036215300298515497
M,logistic,full,recent,5,-0.00017262147207312704,-0.0007120188600376537,0.00038582768238376813
M,logistic,full,matchup,5,-0.00023965342517641013,-0.0011366883672842096,0.0006932137495355254
W,hist,strength,seed,5,-0.006393848583073777,-0.02264444030602054,0.009211524783344385
W,hist,efficiency,strength,5,0.003664614543263964,-0.008793509845458205,0.014709391098580665
W,hist,recent,efficiency,5,0.002093847706507421,-0.007912804425104222,0.013152634181815915
W,hist,matchup,efficiency,5,0.0015040689752432092,-0.0002841887669995366,0.00350384035722026
W,hist,full,recent,5,0.0026887670230857936,0.0006330684345736989,0.0047444656115978884
W,hist,full,matchup,5,0.0032785457543500055,-0.00802425293467419,0.015134843049704732
W,logistic,strength,seed,5,-0.0068716348566667295,-0.0147196008332376,0.003738655989982839
W,logistic,efficiency,strength,5,0.0077775328555081,-0.0014564706894070203,0.017220957013286485
W,logistic,recent,efficiency,5,0.0006724012469845556,-0.0009528759724580741,0.0026024354125836436
W,logistic,matchup,efficiency,5,0.0005092856726069961,-0.0008909994779720909,0.0020258855991584913
W,logistic,full,recent,5,0.0005683174679103718,-0.00084988371224943,0.0022327581475405354
W,logistic,full,matchup,5,0.0007314330422879313,-0.000808867820108969,0.002977635423375017
