recipe,bin,games,mean_probability,observed_fraction
both,0,13,0.054917636306821643,0.076923076923076927
both,1,15,0.15348141412430474,0
both,2,20,0.2508864365558906,0.29999999999999999
both,3,22,0.35612434462344389,0.5
both,4,30,0.44903461203691281,0.56666666666666665
both,5,39,0.54967336196764782,0.66666666666666663
both,6,27,0.64944395348272788,0.70370370370370372
both,7,37,0.74966036673371028,0.64864864864864868
both,8,28,0.83906570750993426,0.8214285714285714
both,9,21,0.94114056736073071,0.90476190476190477
duplicate_control,0,11,0.050972559661159121,0.090909090909090912
duplicate_control,1,16,0.14392641372956733,0
duplicate_control,2,20,0.25181952209691444,0.25
duplicate_control,3,26,0.35030741222140444,0.5
duplicate_control,4,26,0.4493461047471991,0.61538461538461542
duplicate_control,5,39,0.54006401249411373,0.69230769230769229
duplicate_control,6,27,0.64298787135148749,0.62962962962962965
duplicate_control,7,43,0.75343924473046908,0.65116279069767447
duplicate_control,8,24,0.84297923687735155,0.83333333333333337
duplicate_control,9,20,0.93959046090581089,0.94999999999999996
offense_and_defense,0,11,0.051701075356498857,0.090909090909090912
offense_and_defense,1,16,0.14632619867566907,0
offense_and_defense,2,18,0.2507195080253144,0.27777777777777779
offense_and_defense,3,28,0.34751435844350886,0.39285714285714285
offense_and_defense,4,26,0.4541557486529178,0.69230769230769229
offense_and_defense,5,37,0.53908802008148304,0.64864864864864868
offense_and_defense,6,30,0.64055261581778533,0.69999999999999996
offense_and_defense,7,45,0.75730066474050439,0.66666666666666663
offense_and_defense,8,20,0.8423478915034035,0.84999999999999998
offense_and_defense,9,21,0.93836783259981682,0.90476190476190477
reference,0,11,0.052338878879767778,0.090909090909090912
reference,1,15,0.14396692140401721,0
reference,2,19,0.24805521689237761,0.26315789473684209
reference,3,24,0.34032065562157193,0.41666666666666669
reference,4,31,0.44828343508918844,0.58064516129032262
reference,5,35,0.53709395127639314,0.7142857142857143
reference,6,30,0.63675072125047338,0.69999999999999996
reference,7,45,0.75266640879325619,0.64444444444444449
reference,8,22,0.84417527475124166,0.81818181818181823
reference,9,20,0.93769494408402276,0.94999999999999996
score_and_result,0,13,0.054802480875141661,0.076923076923076927
score_and_result,1,15,0.15443640951321885,0
score_and_result,2,19,0.24923902243469423,0.31578947368421051
score_and_result,3,25,0.35609844172604155,0.47999999999999998
score_and_result,4,27,0.45118757576127139,0.51851851851851849
score_and_result,5,40,0.54697363235687302,0.69999999999999996
score_and_result,6,30,0.65247970590646165,0.69999999999999996
score_and_result,7,35,0.75296214446201759,0.62857142857142856
score_and_result,8,27,0.84185187542148632,0.85185185185185186
score_and_result,9,21,0.94029688334326622,0.90476190476190477
