Feature,Block,MissingRate,NonMissingRows,UniqueValues,GlobalCorrelation,MedianAbsoluteSeasonCorrelation,SeasonSignConsistency,SeasonCoverage,SeasonCorrelationIQR,StabilityScore,Mandatory,InPrecorrelationPool,Selected,SelectionRank,ExclusionReason,OuterFoldID,InnerFoldID,Model,TargetColumn,SeedAware
diff__compact__home_margin_mean,compact_performance,0.037037037037037035,364,361,0.516076860899188,0.5061571060612828,1.0,1.0,0.08514158998034421,0.6101236937450604,False,True,True,35.0,selected,rich_W_2019,rich_W_2019_inner_2016,xgb_classifier,Team1Win,True
diff__compact__points_for_mean,compact_performance,0.0,378,373,0.4724280260072146,0.5018688189843761,1.0,1.0,0.04689480501534887,0.6029554066334738,False,True,True,36.0,selected,rich_W_2019,rich_W_2019_inner_2016,xgb_classifier,Team1Win,True
diff__compact__margin_q75,compact_performance,0.0,378,154,0.4974929424196721,0.4872636404223668,1.0,1.0,0.024208753053747922,0.602366644612914,False,True,True,37.0,selected,rich_W_2019,rich_W_2019_inner_2016,xgb_classifier,Team1Win,True
diff__compact__half_winpct_first,compact_performance,0.0,378,165,0.49129434062963995,0.49027815099907196,1.0,1.0,0.051616319056299154,0.6013536146558234,False,True,True,38.0,selected,rich_W_2019,rich_W_2019_inner_2016,xgb_classifier,Team1Win,True
matchup__team2_seed,matchup_context,0.0,378,16,0.487076175846895,0.4729777578217522,1.0,1.0,0.0536140503297432,0.5920415204275683,False,True,True,8.0,selected,rich_W_2019,rich_W_2019_inner_2016,xgb_classifier,Team1Win,True
diff__compact__blowout_win20_rate,compact_performance,0.0,378,328,0.47644419215252837,0.4657642472281964,1.0,1.0,0.03943581877281449,0.586807128192178,False,True,True,39.0,selected,rich_W_2019,rich_W_2019_inner_2016,xgb_classifier,Team1Win,True
diff__compact__pythag_exp8p0,compact_performance,0.0,378,378,0.46623528438834727,0.46846066590405727,1.0,1.0,0.0251988532183548,0.5864249280706496,False,True,True,40.0,selected,rich_W_2019,rich_W_2019_inner_2016,xgb_classifier,Team1Win,True
diff__adj__net_rtg_a50p0_percentile,opponent_adjusted_efficiency,0.0,378,284,0.4638837048935825,0.4614687945176096,1.0,1.0,0.03245718906105449,0.5822611488825985,False,True,True,16.0,selected,rich_W_2019,rich_W_2019_inner_2016,xgb_classifier,Team1Win,True
diff__adj__def_rtg_a50p0,opponent_adjusted_efficiency,0.0,378,378,-0.44999511790366176,0.4679690837343977,1.0,1.0,0.07616085959962343,0.5805776517473316,False,True,True,17.0,selected,rich_W_2019,rich_W_2019_inner_2016,xgb_classifier,Team1Win,True
diff__compact__ewm_h20_margin,compact_performance,0.0,378,378,0.45541502604124867,0.45017173255963594,1.0,1.0,0.06253746326123488,0.5737722388272506,False,True,True,41.0,selected,rich_W_2019,rich_W_2019_inner_2016,xgb_classifier,Team1Win,True
