variant,games,brier,log_loss,roc_auc,average_precision,precision_at_05,recall_at_05,f1_at_05,ece_10_bins,mean_season_brier,brier_delta,improved_seasons,worst_season_delta
pooled_64_features,334,0.18433349011857927,0.5432896460381738,0.8011904761904761,0.7811696556444991,0.6759776536312849,0.7857142857142857,0.7267267267267268,0.07137901967246375,0.1844031038358555,-0.0008007283725486716,3,0.007580877009800851
pooled_less_regularized,334,0.18508786104366806,0.5466082858902,0.7977994227994227,0.7651456947441055,0.6455026455026455,0.7922077922077922,0.7113702623906706,0.07018298303295753,0.18515487730476868,-4.635744745988778e-05,2,0.0012913067870680948
pooled_240_trees,334,0.18511636184192695,0.547760059254255,0.7996031746031745,0.771116683231516,0.651685393258427,0.7532467532467533,0.6987951807228916,0.07318774993882746,0.1851661316739862,-1.7856649201021676e-05,3,0.008393315002091728
pooled_reference,334,0.18513421849112793,0.54607086767535,0.797943722943723,0.7696931123014421,0.657608695652174,0.7857142857142857,0.7159763313609467,0.05883468571537269,0.18519924380252598,0.0,0,0.0
men_massey_no_coach,334,0.19180773786670463,0.5646738149616412,0.780988455988456,0.7425759974982413,0.65,0.7597402597402597,0.7005988023952096,0.06663268968507559,0.19186715299099982,0.006673519375576662,1,0.012464148373095115
men_massey,334,0.1922012241331739,0.5652257002217552,0.7834776334776334,0.7428990821945041,0.6378378378378379,0.7662337662337663,0.696165191740413,0.06254909803232032,0.1922581675444111,0.0070670056420458986,1,0.01463003314226759
men_reference,334,0.1933063571102105,0.5675543998094174,0.7796536796536796,0.7438018483865037,0.639344262295082,0.7597402597402597,0.6943620178041543,0.07570141891831765,0.19336565378529147,0.008172138619082538,1,0.019130952091284063
