variant,Season,games,brier,log_loss,roc_auc,average_precision,precision_at_05,recall_at_05,f1_at_05,ece_10_bins,mean_season_brier
men_massey,2016,67,0.18129017030339858,0.549176961499572,0.8039927404718694,0.7024322825100292,0.6666666666666666,0.7586206896551724,0.7096774193548387,0.12301617043454256,0.18129017030339858
men_massey,2017,67,0.18333431213917784,0.5378362738257507,0.8119429590017826,0.8163463277794706,0.6444444444444445,0.8787878787878788,0.7435897435897436,0.1185418340141204,0.18333431213917784
men_massey,2018,67,0.20304432118455443,0.5961709982471198,0.7571684587813621,0.7364646086198676,0.6571428571428571,0.7419354838709677,0.696969696969697,0.09856052140691388,0.20304432118455443
men_massey,2019,67,0.18234476719726372,0.530541205579384,0.8166969147005445,0.7816957255674588,0.6206896551724138,0.6206896551724138,0.6206896551724138,0.19399286839944213,0.18234476719726375
men_massey,2021,66,0.21127726689766102,0.6131178704680889,0.7518382352941176,0.7318985348366872,0.6046511627906976,0.8125,0.6933333333333334,0.09636395921309789,0.21127726689766102
men_massey_no_coach,2016,67,0.18772104587827085,0.5640935575831584,0.780399274047187,0.6799925155164278,0.6470588235294118,0.7586206896551724,0.6984126984126984,0.04536699553701416,0.18772104587827085
men_massey_no_coach,2017,67,0.18441542294675764,0.5414536110765797,0.8181818181818182,0.8265008129076472,0.6590909090909091,0.8787878787878788,0.7532467532467533,0.09454290035055644,0.18441542294675767
men_massey_no_coach,2018,67,0.20282587277187625,0.5937954783607735,0.7526881720430108,0.7473755013326385,0.6875,0.7096774193548387,0.6984126984126984,0.14422231595685228,0.20282587277187622
men_massey_no_coach,2019,67,0.17266161885249226,0.5087491189200773,0.8266787658802178,0.7918447850343705,0.6428571428571429,0.6206896551724138,0.631578947368421,0.17983203014331073,0.17266161885249226
men_massey_no_coach,2021,66,0.2117118045056022,0.6160440284722531,0.7499999999999999,0.7371374493782974,0.6190476190476191,0.8125,0.7027027027027027,0.10010785220021552,0.21171180450560217
men_reference,2016,67,0.1876963217009792,0.561691845866221,0.7803992740471869,0.6877736432903262,0.65625,0.7241379310344828,0.6885245901639344,0.08012513999841103,0.18769632170097922
men_reference,2017,67,0.18007119957674908,0.5311204667422013,0.8235294117647058,0.830648042230536,0.6744186046511628,0.8787878787878788,0.7631578947368421,0.10405170467140068,0.18007119957674905
men_reference,2018,67,0.19904431824010932,0.5852977485446601,0.771505376344086,0.7574942570187513,0.6388888888888888,0.7419354838709677,0.6865671641791045,0.10694197148307044,0.19904431824010932
men_reference,2019,67,0.18684568614628017,0.5422082853865869,0.8049001814882033,0.7605568636612066,0.6206896551724138,0.6206896551724138,0.6206896551724138,0.1535745086843398,0.18684568614628022
men_reference,2021,66,0.21317074326233956,0.6182097017907205,0.739889705882353,0.7146951891040904,0.6046511627906976,0.8125,0.6933333333333334,0.10019172157979374,0.21317074326233956
pooled_240_trees,2016,67,0.1965762396396371,0.5913350160073431,0.7722323049001815,0.6776353099060551,0.6470588235294118,0.7586206896551724,0.6984126984126984,0.08992021505846017,0.19657623963963713
pooled_240_trees,2017,67,0.17172464084323505,0.5019250812917482,0.8431372549019608,0.8565731754107759,0.6590909090909091,0.8787878787878788,0.7532467532467533,0.1354584319572618,0.17172464084323502
