Season,feature,closest_reference_or_rate,abs_correlation,training_games,training_nonzero
2022,adjusted_offensive_rebounding_offense,rate_offensive_rebounding_offense,0.99410877979790258,503,503
2022,adjusted_offensive_rebounding_defense,rate_offensive_rebounding_defense,0.96450505674602471,503,503
2022,adjusted_assisted_makes_offense,rate_assisted_makes_offense,0.98990410364540793,503,503
2022,adjusted_assisted_makes_defense,rate_assisted_makes_defense,0.99011035417593574,503,503
2023,adjusted_offensive_rebounding_offense,rate_offensive_rebounding_offense,0.99390294302190396,566,566
2023,adjusted_offensive_rebounding_defense,rate_offensive_rebounding_defense,0.96296298380549472,566,566
2023,adjusted_assisted_makes_offense,rate_assisted_makes_offense,0.98838286341225812,566,566
2023,adjusted_assisted_makes_defense,rate_assisted_makes_defense,0.99017974584326685,566,566
2024,adjusted_offensive_rebounding_offense,rate_offensive_rebounding_offense,0.99380039758840033,629,629
2024,adjusted_offensive_rebounding_defense,rate_offensive_rebounding_defense,0.96337712249598295,629,629
2024,adjusted_assisted_makes_offense,rate_assisted_makes_offense,0.9882770966841179,629,629
2024,adjusted_assisted_makes_defense,rate_assisted_makes_defense,0.98994336852722464,629,629
2025,adjusted_offensive_rebounding_offense,rate_offensive_rebounding_offense,0.99352786908862467,692,692
2025,adjusted_offensive_rebounding_defense,rate_offensive_rebounding_defense,0.96315682935034752,692,692
2025,adjusted_assisted_makes_offense,rate_assisted_makes_offense,0.98892428517774356,692,692
2025,adjusted_assisted_makes_defense,rate_assisted_makes_defense,0.98894948536507987,692,692
