Season,recipe,brier,status
2022,reference,0.22230168214031837,VERIFIED_NO_REFIT
2023,reference,0.20845297483961983,VERIFIED_NO_REFIT
2024,reference,0.19158722187829039,VERIFIED_NO_REFIT
2025,reference,0.14740041327748873,VERIFIED_NO_REFIT
