recipe,bin,games,mean_probability,observed_fraction
assisted_makes,0,13,0.064371373958236708,0.076923076923076927
assisted_makes,1,18,0.16017444625802246,0
assisted_makes,2,19,0.25661459428344852,0.42105263157894735
assisted_makes,3,26,0.3580970274649809,0.46153846153846156
assisted_makes,4,27,0.45598141500222972,0.55555555555555558
assisted_makes,5,36,0.54880871497267725,0.66666666666666663
assisted_makes,6,25,0.64646747800833526,0.83999999999999997
assisted_makes,7,39,0.75329555567864437,0.64102564102564108
assisted_makes,8,29,0.84213568250779647,0.72413793103448276
assisted_makes,9,20,0.93927293179200932,0.94999999999999996
both,0,11,0.057957247736325955,0.090909090909090912
both,1,21,0.15745836009350173,0.047619047619047616
both,2,18,0.25804435299452699,0.3888888888888889
both,3,24,0.35226563140562855,0.5
both,4,28,0.44941930589035195,0.5
both,5,36,0.54764452818955411,0.66666666666666663
both,6,27,0.64798474810508677,0.85185185185185186
both,7,36,0.75284432844495641,0.63888888888888884
both,8,31,0.84326282656222329,0.70967741935483875
both,9,20,0.94021845501955159,0.94999999999999996
duplicate_control,0,13,0.064414254140440899,0.076923076923076927
duplicate_control,1,18,0.16030242698413832,0
duplicate_control,2,19,0.2560222936416372,0.42105263157894735
duplicate_control,3,26,0.35657316570844932,0.46153846153846156
duplicate_control,4,27,0.45506332226141427,0.55555555555555558
duplicate_control,5,36,0.54926330470376761,0.66666666666666663
duplicate_control,6,25,0.6465211875799709,0.83999999999999997
duplicate_control,7,38,0.75216608171730837,0.63157894736842102
duplicate_control,8,30,0.8419223205082017,0.73333333333333328
duplicate_control,9,20,0.9391848310392813,0.94999999999999996
offensive_rebounding,0,11,0.057809894819627644,0.090909090909090912
offensive_rebounding,1,21,0.15793205031612714,0.047619047619047616
offensive_rebounding,2,17,0.25618540367742748,0.35294117647058826
offensive_rebounding,3,26,0.351487608498113,0.53846153846153844
offensive_rebounding,4,27,0.45100086009878454,0.48148148148148145
offensive_rebounding,5,37,0.5494257431508397,0.67567567567567566
offensive_rebounding,6,25,0.64693742941643062,0.83999999999999997
offensive_rebounding,7,37,0.75114647509930565,0.64864864864864868
offensive_rebounding,8,31,0.843111530414688,0.70967741935483875
offensive_rebounding,9,20,0.93999100154155657,0.94999999999999996
rates,0,12,0.06129370825702022,0.083333333333333329
rates,1,19,0.15752961586339301,0
rates,2,19,0.25725535192692484,0.42105263157894735
rates,3,26,0.35716094797434211,0.46153846153846156
rates,4,27,0.45597335676180334,0.55555555555555558
rates,5,36,0.54906286382963621,0.66666666666666663
rates,6,25,0.64569288079023279,0.83999999999999997
rates,7,39,0.75318374514431508,0.64102564102564108
rates,8,29,0.8420179492939277,0.72413793103448276
rates,9,20,0.93908257921819582,0.94999999999999996
reference,0,11,0.052338878879767778,0.090909090909090912
reference,1,15,0.14396692140401721,0
reference,2,19,0.24805521689237761,0.26315789473684209
reference,3,24,0.34032065562157193,0.41666666666666669
reference,4,31,0.44828343508918844,0.58064516129032262
reference,5,35,0.53709395127639314,0.7142857142857143
reference,6,30,0.63675072125047338,0.69999999999999996
reference,7,45,0.75266640879325619,0.64444444444444449
reference,8,22,0.84417527475124166,0.81818181818181823
reference,9,20,0.93769494408402276,0.94999999999999996
