confidence_bin,games,mean_delta,total_delta
0,12,5.5451269045719204e-05,0.00066541522854863047
1,19,-3.6228276076986554e-06,-6.8833724546274455e-05
2,19,0.0026958049413597029,0.051220293885834357
3,26,0.000569966226003257,0.014819121876084682
4,27,-0.0016324636705580809,-0.044076519105068185
5,36,0.0010246318194172205,0.036886745499019935
6,25,0.0023128183913965761,0.057820459784914402
7,39,0.001202703487354336,0.046905436006819103
8,29,0.0032844778021173223,0.095249856261402352
9,20,-1.3936580800734074e-05,-0.00027873161601468148
