Season,comparison,delta_brier
2022,adjustment_given_rates,0.0035214861749542359
2023,adjustment_given_rates,0.00022937448567678098
2024,adjustment_given_rates,-3.6377656850744566e-05
2025,adjustment_given_rates,0.00039890182315618916
2022,rates_given_reference,0.011256094377681686
2023,rates_given_reference,0.0088578128890680341
2024,rates_given_reference,-0.00032107329059985479
2025,rates_given_reference,0.0032224221607477788
2022,offensive_rebounding_given_rates,0.0037882092836122316
2023,offensive_rebounding_given_rates,0.00020258215501542387
2024,offensive_rebounding_given_rates,-1.9379627285515122e-05
2025,offensive_rebounding_given_rates,0.00040094233233928245
2022,assisted_makes_given_rates,-0.0002337154891645099
2023,assisted_makes_given_rates,4.0952389787407562e-05
2024,assisted_makes_given_rates,-3.1940109119499294e-05
2025,assisted_makes_given_rates,-6.8263336174267941e-06
2022,offensive_rebounding_given_assisted_makes,0.0037552016641187458
2023,offensive_rebounding_given_assisted_makes,0.00018842209588937342
2024,offensive_rebounding_given_assisted_makes,-4.4375477312452727e-06
2025,offensive_rebounding_given_assisted_makes,0.00040572815677361596
2022,assisted_makes_given_offensive_rebounding,-0.00026672310865799576
2023,assisted_makes_given_offensive_rebounding,2.6792330661357111e-05
2024,assisted_makes_given_offensive_rebounding,-1.6998029565229444e-05
2025,assisted_makes_given_offensive_rebounding,-2.0405091830932864e-06
2022,both_given_duplicate,0.0027747233615487976
2023,both_given_duplicate,-0.00032406614759861174
2024,both_given_duplicate,-5.9666063275426451e-05
2025,both_given_duplicate,0.00023621719859662216
2022,duplicate_given_rates,0.00074676281340543826
2023,duplicate_given_rates,0.00055344063327539272
2024,duplicate_given_rates,2.3288406424681884e-05
2025,duplicate_given_rates,0.000162684624559567
2022,both_given_reference,0.014777580552635922
2023,both_given_reference,0.0090871873747448151
2024,both_given_reference,-0.00035745094745059935
2025,both_given_reference,0.0036213239839039679
