recipe,seasons,games,mean_brier,mean_log_loss,mean_delta,game_weighted_brier
assisted_makes,4,252,0.19813150468262525,0.57695131125865473,0.0056959316486959038,0.19813150468262522
both,4,252,0.19921773327488784,0.58031994904928819,0.0067821602409585263,0.19921773327488787
duplicate_control,4,252,0.19856093118757001,0.57807032799589697,0.0061253581536406809,0.19856093118757001
offensive_rebounding,4,252,0.19928247560407408,0.58048927432804875,0.0068469025701447667,0.19928247560407411
rates,4,252,0.19818938706815376,0.57711233839151532,0.005753814034224411,0.19818938706815376
reference,4,252,0.19243557303392933,0.56372294952960711,0,0.19243557303392933
