Method,RawKind,MacroSeasonBrier,GameWeightedBrier,SeasonBrierStd,WorstSeasonBrier,ComplexityRank,HadFallback,FailureMessage,BestMeanMethod,OneSEThreshold,WithinOneSE,Selected,OuterFoldID,Model,ValidationSeason,SeedAware
identity,probability,0.18297686288889628,0.18297686288889628,0.01690574671721408,0.19909634489946265,0,False,,True,0.19273740030693146,True,True,rich_M_2017,tensorflow_mlp,2017,True
temperature,probability,0.18389912655256224,0.18389912655256224,0.01780681899316747,0.20147801832242332,1,False,,False,0.19273740030693146,True,False,rich_M_2017,tensorflow_mlp,2017,True
platt,probability,0.18736185552092674,0.1873618555209267,0.020383378372505086,0.20764489394780283,2,False,,False,0.19273740030693146,True,False,rich_M_2017,tensorflow_mlp,2017,True
beta,probability,0.18795608136297418,0.18795608136297415,0.018432644006955445,0.20565140564151435,3,False,,False,0.19273740030693146,True,False,rich_M_2017,tensorflow_mlp,2017,True
spline,probability,0.19561786317718702,0.19561786317718705,0.03224239212126379,0.2309420962678904,4,False,,False,0.19273740030693146,False,False,rich_M_2017,tensorflow_mlp,2017,True
isotonic,probability,0.20320328536076737,0.2032032853607674,0.02804266710828006,0.2249131643805767,5,False,,False,0.19273740030693146,False,False,rich_M_2017,tensorflow_mlp,2017,True
