omitted_season,remaining_mean_delta,scope
2016,-0.00029011750176982654,Descriptive leave-one-season-out summary; not independent resampling
2017,3.3848756279218163e-05,Descriptive leave-one-season-out summary; not independent resampling
2018,0.00023875434741482682,Descriptive leave-one-season-out summary; not independent resampling
2019,-0.0006776090070361821,Descriptive leave-one-season-out summary; not independent resampling
