Method,RawKind,MacroSeasonBrier,GameWeightedBrier,SeasonBrierStd,WorstSeasonBrier,ComplexityRank,HadFallback,FailureMessage,BestMeanMethod,OneSEThreshold,WithinOneSE,Selected,OuterFoldID,Model,ValidationSeason,SeedAware
identity,probability,0.1884762612464714,0.18847626124647138,0.020022037443988935,0.20095082936259456,0,False,,True,0.20003598995448318,True,True,rich_M_2016,tensorflow_mlp,2016,True
temperature,probability,0.18966012062397153,0.18966012062397153,0.018262957976234586,0.2011942133304352,1,False,,False,0.20003598995448318,True,False,rich_M_2016,tensorflow_mlp,2016,True
platt,probability,0.19230838701264485,0.19230838701264483,0.01979402767811259,0.20447034447488838,2,False,,False,0.20003598995448318,True,False,rich_M_2016,tensorflow_mlp,2016,True
beta,probability,0.1959896145537816,0.19598961455378164,0.02322027437869272,0.2108514861719426,3,False,,False,0.20003598995448318,True,False,rich_M_2016,tensorflow_mlp,2016,True
spline,probability,0.19810001336939312,0.19810001336939312,0.0243836095385748,0.21602849981640626,4,False,,False,0.20003598995448318,True,False,rich_M_2016,tensorflow_mlp,2016,True
isotonic,probability,0.2033411524024491,0.2033411524024491,0.020451029267995587,0.2191104368476545,5,False,,False,0.20003598995448318,False,False,rich_M_2016,tensorflow_mlp,2016,True
