OuterFoldID,ValidationSeason,Gender,Architecture,Universe,Model,Feature,Block,StandardizedCoefficient
rich_W_2019,2019,W,separate_gender,rich,elastic_logistic,matchup__seed_diff,matchup_context,-0.054874829947948456
rich_W_2019,2019,W,separate_gender,rich,elastic_logistic,diff__norm__rating__elo_mov_538__pct,within_season_normalization,0.0
rich_W_2019,2019,W,separate_gender,rich,elastic_logistic,diff__compact__margin_trim02,compact_performance,0.0
rich_W_2019,2019,W,separate_gender,rich,elastic_logistic,diff__norm__schedule__opponent_strength_mean__pct,within_season_normalization,0.2780909836292267
rich_W_2019,2019,W,separate_gender,rich,elastic_logistic,diff__adj__net_rtg_a50p0,opponent_adjusted_efficiency,0.09169966727495193
rich_W_2019,2019,W,separate_gender,rich,elastic_logistic,matchup__team1_seed,matchup_context,0.0
rich_W_2019,2019,W,separate_gender,rich,elastic_logistic,matchup__team1_is_seed_favorite,matchup_context,0.0
rich_W_2019,2019,W,separate_gender,rich,elastic_logistic,matchup__team2_seed,matchup_context,0.0
rich_W_2019,2019,W,separate_gender,rich,elastic_logistic,matchup__seed_gap_abs,matchup_context,0.0
rich_W_2019,2019,W,separate_gender,rich,elastic_logistic,matchup__equal_seed,matchup_context,0.0
rich_W_2019,2019,W,separate_gender,rich,elastic_logistic,diff__adj__net_rtg_a10p0_z,opponent_adjusted_efficiency,0.3124997615814209
rich_W_2019,2019,W,separate_gender,rich,elastic_logistic,diff__adj__def_rtg_a10p0,opponent_adjusted_efficiency,-0.13729548454284668
rich_W_2019,2019,W,separate_gender,rich,elastic_logistic,diff__adj__off_rtg_a10p0,opponent_adjusted_efficiency,0.2647692859172821
rich_W_2019,2019,W,separate_gender,rich,elastic_logistic,diff__adj__net_rtg_a10p0_percentile,opponent_adjusted_efficiency,0.04578033462166786
rich_W_2019,2019,W,separate_gender,rich,elastic_logistic,diff__adj__net_rtg_a50p0_percentile,opponent_adjusted_efficiency,0.0
rich_W_2019,2019,W,separate_gender,rich,elastic_logistic,diff__adj__def_rtg_a50p0,opponent_adjusted_efficiency,0.0
rich_W_2019,2019,W,separate_gender,rich,elastic_logistic,absdiff__adj__net_rtg_a50p0,opponent_adjusted_efficiency,0.0
rich_W_2019,2019,W,separate_gender,rich,elastic_logistic,absdiff__adj__def_rtg_a50p0,opponent_adjusted_efficiency,0.0
rich_W_2019,2019,W,separate_gender,rich,elastic_logistic,diff__norm__rating__bt_c1p0__z,within_season_normalization,0.08270381391048431
rich_W_2019,2019,W,separate_gender,rich,elastic_logistic,diff__norm__rating__elo_mov_538__z,within_season_normalization,0.08493050187826157
rich_W_2019,2019,W,separate_gender,rich,elastic_logistic,diff__norm__schedule__quality_win_points_sum__z,within_season_normalization,0.12936219573020935
rich_W_2019,2019,W,separate_gender,rich,elastic_logistic,diff__norm__schedule__rpi__z,within_season_normalization,0.0329078733921051
rich_W_2019,2019,W,separate_gender,rich,elastic_logistic,diff__norm__schedule__opponent_strength_mean__z,within_season_normalization,0.49335777759552
rich_W_2019,2019,W,separate_gender,rich,elastic_logistic,diff__norm__rating__pagerank_margin__pct,within_season_normalization,0.13301940262317657
rich_W_2019,2019,W,separate_gender,rich,elastic_logistic,diff__norm__rating__pagerank_margin__z,within_season_normalization,0.0
rich_W_2019,2019,W,separate_gender,rich,elastic_logistic,diff__compact__half_marginmean_first,compact_performance,0.05949033424258232
rich_W_2019,2019,W,separate_gender,rich,elastic_logistic,diff__compact__half_pointsformean_first,compact_performance,0.11167312413454056
rich_W_2019,2019,W,separate_gender,rich,elastic_logistic,diff__compact__margin_q90,compact_performance,0.16302567720413208
rich_W_2019,2019,W,separate_gender,rich,elastic_logistic,diff__compact__margin_q75,compact_performance,0.1890907734632492
rich_W_2019,2019,W,separate_gender,rich,elastic_logistic,diff__compact__home_margin_mean,compact_performance,0.023601068183779716
rich_W_2019,2019,W,separate_gender,rich,elastic_logistic,diff__compact__half_winpct_first,compact_performance,0.0
rich_W_2019,2019,W,separate_gender,rich,elastic_logistic,diff__compact__blowout_win20_rate,compact_performance,0.0
rich_W_2019,2019,W,separate_gender,rich,elastic_logistic,diff__compact__pythag_exp8p0,compact_performance,0.0
rich_W_2019,2019,W,separate_gender,rich,elastic_logistic,diff__compact__ewm_h20_margin,compact_performance,0.0
rich_W_2019,2019,W,separate_gender,rich,elastic_logistic,diff__compact__points_for_mean,compact_performance,0.0
rich_W_2019,2019,W,separate_gender,rich,elastic_logistic,diff__compact__margin_median,compact_performance,0.0
rich_W_2019,2019,W,separate_gender,rich,elastic_logistic,diff__compact__rest_days_mean,compact_performance,-0.22374798357486725
rich_W_2019,2019,W,separate_gender,rich,elastic_logistic,diff__compact__blowout_win10_rate,compact_performance,0.0
rich_W_2019,2019,W,separate_gender,rich,elastic_logistic,diff__compact__margin_q25,compact_performance,0.0
rich_W_2019,2019,W,separate_gender,rich,elastic_logistic,diff__compact__wins,compact_performance,0.0
