Method,RawKind,MacroSeasonBrier,GameWeightedBrier,SeasonBrierStd,WorstSeasonBrier,ComplexityRank,HadFallback,FailureMessage,BestMeanMethod,OneSEThreshold,WithinOneSE,Selected,OuterFoldID,Model,ValidationSeason,SeedAware
identity,probability,0.16461265265449257,0.16461265265449257,0.016311094274172593,0.177607830390348,0,False,,True,0.1740298673244635,True,True,rich_Pooled_2017,torch_mlp,2017,True
temperature,probability,0.1657437699259644,0.1657437699259644,0.015719831878135967,0.1778219101585745,1,False,,False,0.1740298673244635,True,False,rich_Pooled_2017,torch_mlp,2017,True
beta,probability,0.1687100583597642,0.1687100583597642,0.01930778701137753,0.18493064589629318,3,False,,False,0.1740298673244635,True,False,rich_Pooled_2017,torch_mlp,2017,True
platt,probability,0.16886406272752583,0.1688640627275258,0.019511855092370772,0.1849635449773775,2,False,,False,0.1740298673244635,True,False,rich_Pooled_2017,torch_mlp,2017,True
isotonic,probability,0.17027142106464796,0.170271421064648,0.01955010640810648,0.18590192732562683,5,False,,False,0.1740298673244635,True,False,rich_Pooled_2017,torch_mlp,2017,True
spline,probability,0.1704289578038356,0.1704289578038356,0.020309925935246494,0.18620966672375347,4,False,,False,0.1740298673244635,True,False,rich_Pooled_2017,torch_mlp,2017,True
