Feature,Block,MissingRate,NonMissingRows,UniqueValues,GlobalCorrelation,MedianAbsoluteSeasonCorrelation,SeasonSignConsistency,SeasonCoverage,SeasonCorrelationIQR,StabilityScore,Mandatory,InPrecorrelationPool,Selected,SelectionRank,ExclusionReason,OuterFoldID,InnerFoldID,Model,TargetColumn,SeedAware
diff__norm__adj__net_rtg_a10p0__pct,within_season_normalization,0.0,914,636,0.4530330702198929,0.4551934188301579,1.0,1.0,0.07691749114843682,0.5750834168409148,False,True,True,32.0,selected,rich_M_2021,rich_M_2021_inner_2017,lgb_classifier,Team1Win,True
diff__norm__rating__pagerank_margin__pct,within_season_normalization,0.0,914,699,0.4496172323469432,0.451842750774596,1.0,1.0,0.0785618849590829,0.5726578360897703,False,True,True,33.0,selected,rich_M_2021,rich_M_2021_inner_2017,lgb_classifier,Team1Win,True
diff__rating__pagerank_binary_z,global_strength_ratings,0.0,914,914,0.44606907491738457,0.45464689270084147,1.0,1.0,0.09736310833076034,0.572471180644998,False,True,True,69.0,selected,rich_M_2021,rich_M_2021_inner_2017,lgb_classifier,Team1Win,True
diff__massey__system_wol,massey_consensus,0.0,914,639,0.453200662225988,0.4494671720197376,1.0,1.0,0.08529606341702284,0.5720365457225105,False,True,True,18.0,selected,rich_M_2021,rich_M_2021_inner_2017,lgb_classifier,Team1Win,True
diff__seed__top4,selection_committee_prior,0.0,914,3,0.4412679309990714,0.45327114188917306,1.0,1.0,0.0768061054023284,0.5715768487105056,False,True,True,107.0,selected,rich_M_2021,rich_M_2021_inner_2017,lgb_classifier,Team1Win,True
diff__schedule__bad_loss_penalty_sum,schedule_and_accomplishment,0.0,914,913,-0.4299373004658331,0.4608753965036083,1.0,1.0,0.12481125291060419,0.5708139463077911,False,True,True,73.0,selected,rich_M_2021,rich_M_2021_inner_2017,lgb_classifier,Team1Win,True
diff__massey__system_cng,massey_consensus,0.0700218818380744,850,661,0.4444476022419587,0.4600218698847963,1.0,1.0,0.07352845819605491,0.570046081163045,False,True,True,19.0,selected,rich_M_2021,rich_M_2021_inner_2017,lgb_classifier,Team1Win,True
diff__massey__strength_iqr,massey_consensus,0.0,914,762,-0.4452144516515658,0.4458892452509242,1.0,1.0,0.06499890763979516,0.5693740607781962,False,True,True,20.0,selected,rich_M_2021,rich_M_2021_inner_2017,lgb_classifier,Team1Win,True
diff__massey__system_sel,massey_consensus,0.0700218818380744,850,610,0.4419413884209583,0.4584507864189812,1.0,1.0,0.07828412629844683,0.568550367334738,False,True,True,21.0,selected,rich_M_2021,rich_M_2021_inner_2017,lgb_classifier,Team1Win,True
diff__rating__pagerank_margin_z,global_strength_ratings,0.0,914,914,0.4483316848218553,0.44503190054684083,1.0,1.0,0.09586359464580751,0.5684137391374595,False,True,True,70.0,selected,rich_M_2021,rich_M_2021_inner_2017,lgb_classifier,Team1Win,True
diff__rating__elo_season_reset_mov,dynamic_ratings,0.0,914,914,0.45060371707056796,0.4399475272052641,1.0,1.0,0.12351865498610282,0.5653668846146076,False,True,True,97.0,selected,rich_M_2021,rich_M_2021_inner_2017,lgb_classifier,Team1Win,True
diff__rating__elo_standard_percentile,dynamic_ratings,0.0,914,641,0.43231052205578785,0.4383762006561421,1.0,1.0,0.04940551339506205,0.563552670631419,False,True,True,98.0,selected,rich_M_2021,rich_M_2021_inner_2017,lgb_classifier,Team1Win,True
diff__rating__bt_c0p25_z,global_strength_ratings,0.0,914,914,0.4480054087613075,0.43517874470789714,1.0,1.0,0.12667425922620779,0.5623800170182299,False,True,True,71.0,selected,rich_M_2021,rich_M_2021_inner_2017,lgb_classifier,Team1Win,True
diff__massey__ordinal_min,massey_consensus,0.0,914,180,-0.4237988567134033,0.44157979012722764,1.0,1.0,0.07532586380682688,0.5621810131857449,False,True,True,22.0,selected,rich_M_2021,rich_M_2021_inner_2017,lgb_classifier,Team1Win,True
diff__massey__system_wob,massey_consensus,0.0700218818380744,850,601,0.43171199800261856,0.4460260934915935,1.0,1.0,0.07021723775488686,0.5606587243792995,False,True,True,23.0,selected,rich_M_2021,rich_M_2021_inner_2017,lgb_classifier,Team1Win,True
matchup__team1_seed,matchup_context,0.0,914,16,-0.44056179194882616,0.43359504825990824,1.0,1.0,0.12031488480303659,0.5602366220013762,False,True,True,7.0,selected,rich_M_2021,rich_M_2021_inner_2017,lgb_classifier,Team1Win,True
diff__massey__rank_improvement_std,massey_consensus,0.0,914,914,-0.4284100236770808,0.43465903428536107,1.0,1.0,0.1062969491496657,0.5586346636999445,False,True,True,24.0,selected,rich_M_2021,rich_M_2021_inner_2017,lgb_classifier,Team1Win,True
diff__conference__strength_max,conference_context,0.0,914,793,0.422488862155381,0.43732275428783274,1.0,1.0,0.13260464887952716,0.5575582857771624,False,True,True,110.0,selected,rich_M_2021,rich_M_2021_inner_2017,lgb_classifier,Team1Win,True
diff__schedule__oowp,schedule_and_accomplishment,0.0,914,914,0.4226323644702077,0.43194812472308497,1.0,1.0,0.06990960856984085,0.5575178357077328,False,True,True,74.0,selected,rich_M_2021,rich_M_2021_inner_2017,lgb_classifier,Team1Win,True
diff__compact__pythag_exp8p0,compact_performance,0.0,914,914,0.42915191207564346,0.4192801118069235,1.0,1.0,0.09408632278249413,0.551904421412665,False,True,True,46.0,selected,rich_M_2021,rich_M_2021_inner_2017,lgb_classifier,Team1Win,True
diff__adj__off_rtg_a10p0,opponent_adjusted_efficiency,0.0,914,914,0.40113122835079934,0.42923819379048467,1.0,1.0,0.06908647499295961,0.5515197442568901,False,True,True,34.0,selected,rich_M_2021,rich_M_2021_inner_2017,lgb_classifier,Team1Win,True
diff__rating__elo_season_reset_mov_percentile,dynamic_ratings,0.0,914,626,0.4112788641123581,0.42591599636677,1.0,1.0,0.11646853578806388,0.5502622869292458,False,True,True,99.0,selected,rich_M_2021,rich_M_2021_inner_2017,lgb_classifier,Team1Win,True
diff__adj__net_rtg_a50p0_percentile,opponent_adjusted_efficiency,0.0,914,631,0.4144068806193238,0.4112420229648742,1.0,1.0,0.08807779610269068,0.5450425729152832,False,True,True,35.0,selected,rich_M_2021,rich_M_2021_inner_2017,lgb_classifier,Team1Win,True
matchup__team1_is_seed_favorite,matchup_context,0.0,914,2,0.4130262207276873,0.41520429746548193,1.0,1.0,0.14851057919977945,0.5442234081755314,False,True,True,8.0,selected,rich_M_2021,rich_M_2021_inner_2017,lgb_classifier,Team1Win,True
diff__compact__upside_tail_mean,compact_performance,0.0,914,902,0.4266727553478137,0.3977020414135387,1.0,1.0,0.16370576156679278,0.5382167555923458,False,True,True,47.0,selected,rich_M_2021,rich_M_2021_inner_2017,lgb_classifier,Team1Win,True
diff__schedule__opponent_strength_mean,schedule_and_accomplishment,0.0,914,914,0.39931083857328054,0.40020222381488885,1.0,1.0,0.06352748964314836,0.5374043523315424,False,True,True,75.0,selected,rich_M_2021,rich_M_2021_inner_2017,lgb_classifier,Team1Win,True
diff__schedule__top_quartile_games,schedule_and_accomplishment,0.0,914,41,0.40532112407198023,0.3946916075364089,1.0,1.0,0.03781748296272497,0.5371099195948029,False,True,True,76.0,selected,rich_M_2021,rich_M_2021_inner_2017,lgb_classifier,Team1Win,True
diff__compact__wins,compact_performance,0.0,914,32,0.3963594855261432,0.3997909151791513,1.0,1.0,0.09308142517278872,0.5353754690948326,False,True,True,48.0,selected,rich_M_2021,rich_M_2021_inner_2017,lgb_classifier,Team1Win,True
diff__rating__elo_mov_538_preseason,dynamic_ratings,0.0,914,914,0.3973174807575767,0.3965790741763786,1.0,1.0,0.060503453537082474,0.5353476632298453,False,True,True,100.0,selected,rich_M_2021,rich_M_2021_inner_2017,lgb_classifier,Team1Win,True
diff__seed__top8,selection_committee_prior,0.0,914,3,0.39871489396627546,0.3907183079492731,1.0,1.0,0.07392525685200385,0.5323050542141515,False,True,True,108.0,selected,rich_M_2021,rich_M_2021_inner_2017,lgb_classifier,Team1Win,True
diff__compact__blowout_win10_rate,compact_performance,0.0,914,710,0.3890369731019836,0.3968855115701604,1.0,1.0,0.1674391896081358,0.529395612051788,False,True,True,49.0,selected,rich_M_2021,rich_M_2021_inner_2017,lgb_classifier,Team1Win,True
diff__conference__strength_mean,conference_context,0.0,914,793,0.38723251480545173,0.3897915792661736,1.0,1.0,0.08627266078083456,0.5288402048737293,False,True,True,111.0,selected,rich_M_2021,rich_M_2021_inner_2017,lgb_classifier,Team1Win,True
diff__compact__home_margin_mean,compact_performance,0.0,914,887,0.4003088601875927,0.38524703280969064,1.0,1.0,0.14206891800880433,0.5273037682695698,False,True,True,50.0,selected,rich_M_2021,rich_M_2021_inner_2017,lgb_classifier,Team1Win,True
diff__conference__strength_percentile,conference_context,0.0,914,118,0.3988594758660482,0.37622855601646943,1.0,1.0,0.08274845497624622,0.525028853379386,False,True,True,112.0,selected,rich_M_2021,rich_M_2021_inner_2017,lgb_classifier,Team1Win,True
diff__schedule__elite_wins,schedule_and_accomplishment,0.0,914,22,0.37413340415552887,0.38237160508197265,1.0,1.0,0.04465019981787027,0.5240617113608484,False,True,True,77.0,selected,rich_M_2021,rich_M_2021_inner_2017,lgb_classifier,Team1Win,True
diff__compact__half_winpct_first,compact_performance,0.0,914,353,0.3842392214400419,0.3778653666352633,1.0,1.0,0.08051317215276116,0.5226874778156252,False,True,True,51.0,selected,rich_M_2021,rich_M_2021_inner_2017,lgb_classifier,Team1Win,True
diff__adj__off_rtg_a50p0,opponent_adjusted_efficiency,0.0,914,914,0.35883370627924255,0.389211689685125,1.0,1.0,0.08814651543176061,0.5222391658130229,False,True,True,36.0,selected,rich_M_2021,rich_M_2021_inner_2017,lgb_classifier,Team1Win,True
diff__compact__blowout_win20_rate,compact_performance,0.0,914,714,0.39815187988779205,0.37123917065572315,1.0,1.0,0.14477705417516906,0.5199971333230546,False,True,True,52.0,selected,rich_M_2021,rich_M_2021_inner_2017,lgb_classifier,Team1Win,True
diff__compact__margin_median,compact_performance,0.0,914,68,0.3647714181613595,0.3908803635474528,1.0,1.0,0.2018196112835056,0.5197995020469363,False,True,True,53.0,selected,rich_M_2021,rich_M_2021_inner_2017,lgb_classifier,Team1Win,True
diff__schedule__opponent_strength_median,schedule_and_accomplishment,0.0,914,907,0.3816086078382751,0.37123480338434733,1.0,1.0,0.09500106105177442,0.5183465569068363,False,True,True,78.0,selected,rich_M_2021,rich_M_2021_inner_2017,lgb_classifier,Team1Win,True
diff__schedule__owp,schedule_and_accomplishment,0.0,914,914,0.3785079959173401,0.3681802076559782,1.0,1.0,0.05680169660579926,0.5177261909124524,False,True,True,79.0,selected,rich_M_2021,rich_M_2021_inner_2017,lgb_classifier,Team1Win,True
diff__compact__margin_q75,compact_performance,0.0,914,137,0.39800694091807537,0.3647479850915186,1.0,1.0,0.1911973126745688,0.5149926673389228,False,True,True,54.0,selected,rich_M_2021,rich_M_2021_inner_2017,lgb_classifier,Team1Win,True
