Method,RawKind,MacroSeasonBrier,GameWeightedBrier,SeasonBrierStd,WorstSeasonBrier,ComplexityRank,HadFallback,FailureMessage,BestMeanMethod,OneSEThreshold,WithinOneSE,Selected,OuterFoldID,Model,ValidationSeason,SeedAware
isotonic,probability,0.1615554682585437,0.1615554682585437,0.013389567886488542,0.17185566722562529,5,False,,True,0.16928593888214064,True,False,rich_Pooled_2016,torch_mlp,2016,True
identity,probability,0.16191896735857336,0.16191896735857333,0.013520534763333458,0.16992166419189286,0,False,,False,0.16928593888214064,True,True,rich_Pooled_2016,torch_mlp,2016,True
platt,probability,0.16221209587672722,0.1622120958767272,0.01296950361134468,0.17110733404028103,2,False,,False,0.16928593888214064,True,False,rich_Pooled_2016,torch_mlp,2016,True
beta,probability,0.16232216081424336,0.16232216081424336,0.013774097501621594,0.1708312122616324,3,False,,False,0.16928593888214064,True,False,rich_Pooled_2016,torch_mlp,2016,True
spline,probability,0.16305341558207737,0.16305341558207737,0.014309871256114569,0.1718724928440433,4,False,,False,0.16928593888214064,True,False,rich_Pooled_2016,torch_mlp,2016,True
temperature,probability,0.16337015771377558,0.16337015771377555,0.012113324133971766,0.1706165350301025,1,False,,False,0.16928593888214064,True,False,rich_Pooled_2016,torch_mlp,2016,True
