Season,recipe,feature,coefficient
2022,both,rate_free_throw_share_defense,0.046816729216425587
2022,both,adjusted_three_point_share_offense,0.032273351036670957
2022,both,adjusted_three_point_share_defense,-0.1264697281877197
2022,both,adjusted_free_throw_share_offense,-0.043850884682839965
2022,both,adjusted_free_throw_share_defense,-0.10168061684776154
2022,duplicate_control,diff_seed,0.070904196441450296
2022,duplicate_control,diff_strength,0.28791897604805405
2022,duplicate_control,diff_schedule_strength,0.45027209981814265
2022,duplicate_control,diff_win_rate,-0.0098927780060930892
2022,duplicate_control,diff_margin,0.15989715486738143
2022,duplicate_control,diff_margin_sd,0.0074037002664483235
2022,duplicate_control,diff_adj_offense,0.25387351988389684
2022,duplicate_control,diff_adj_defense,0.29357051520481237
2022,duplicate_control,diff_two_posterior,0.018333213194871367
2022,duplicate_control,diff_three_posterior,-0.10865257694495653
2022,duplicate_control,diff_free_posterior,0.0081334669577143859
2022,duplicate_control,diff_opp_two_posterior,0.13067044294521565
2022,duplicate_control,diff_opp_three_posterior,0.091820813607135704
2022,duplicate_control,diff_opp_free_posterior,0.035896115918000716
2022,duplicate_control,diff_three_share,-0.02350260021850397
2022,duplicate_control,diff_opp_three_share,0.069741762601525051
2022,duplicate_control,diff_rank_consensus_logit,0.42974766488100163
2022,duplicate_control,rate_three_point_share_offense,0.016385571459200041
2022,duplicate_control,rate_three_point_share_defense,0.032059042082175401
2022,duplicate_control,rate_free_throw_share_offense,-0.10207783307921381
2022,duplicate_control,rate_free_throw_share_defense,-0.012255399522565028
2022,duplicate_control,duplicate_control_1,0.016385571459200041
2022,duplicate_control,duplicate_control_2,0.032059042082175401
2022,duplicate_control,duplicate_control_3,-0.10207783307921381
2022,duplicate_control,duplicate_control_4,-0.012255399522565279
2023,reference,diff_seed,0.069081200169675339
2023,reference,diff_strength,0.23377974153683154
2023,reference,diff_schedule_strength,0.47875702683539378
2023,reference,diff_win_rate,0.041574749631213111
2023,reference,diff_margin,0.074696643268509125
2023,reference,diff_margin_sd,0.048652453307719279
2023,reference,diff_adj_offense,0.25602123054562415
2023,reference,diff_adj_defense,0.30617401575731912
2023,reference,diff_two_posterior,0.055856954884439425
2023,reference,diff_three_posterior,-0.046314231135265629
2023,reference,diff_free_posterior,-0.014480642855656794
2023,reference,diff_opp_two_posterior,0.15037646016034628
2023,reference,diff_opp_three_posterior,0.059865842030461962
2023,reference,diff_opp_free_posterior,0.073906511520107576
2023,reference,diff_three_share,0.011087403535698703
2023,reference,diff_opp_three_share,-0.0025353985729973474
2023,reference,diff_rank_consensus_logit,0.40403607229313671
2023,rates,diff_seed,0.061565243901958354
2023,rates,diff_strength,0.22749012391912454
2023,rates,diff_schedule_strength,0.48208997162182865
2023,rates,diff_win_rate,0.051428190556029339
2023,rates,diff_margin,0.068633171311954691
2023,rates,diff_margin_sd,0.030037767222057525
2023,rates,diff_adj_offense,0.24848513578518308
2023,rates,diff_adj_defense,0.28561701487034369
2023,rates,diff_two_posterior,0.020860595448290078
2023,rates,diff_three_posterior,-0.093859985413281652
2023,rates,diff_free_posterior,0.035849680403007546
2023,rates,diff_opp_two_posterior,0.12742363068340629
2023,rates,diff_opp_three_posterior,0.068679970857708467
2023,rates,diff_opp_free_posterior,0.066198173347042463
2023,rates,diff_three_share,-0.040955375225529743
2023,rates,diff_opp_three_share,0.050642374229800655
2023,rates,diff_rank_consensus_logit,0.41724752311215502
2023,rates,rate_three_point_share_offense,0.021042135536003332
2023,rates,rate_three_point_share_defense,0.060089918787576552
2023,rates,rate_free_throw_share_offense,-0.15733753162259606
2023,rates,rate_free_throw_share_defense,-0.013062826098587893
2023,three_point_share,diff_seed,0.064973046695201597
2023,three_point_share,diff_strength,0.22877806796076949
2023,three_point_share,diff_schedule_strength,0.47857230737480461
2023,three_point_share,diff_win_rate,0.04885051964008906
2023,three_point_share,diff_margin,0.070346691528722208
2023,three_point_share,diff_margin_sd,0.024915257327257568
2023,three_point_share,diff_adj_offense,0.24721036158075624
2023,three_point_share,diff_adj_defense,0.29044878536473534
2023,three_point_share,diff_two_posterior,0.027135274259336702
2023,three_point_share,diff_three_posterior,-0.097266104161042505
2023,three_point_share,diff_free_posterior,0.034975118937516668
2023,three_point_share,diff_opp_two_posterior,0.15153211505187816
2023,three_point_share,diff_opp_three_posterior,0.045389215350051117
2023,three_point_share,diff_opp_free_posterior,0.070038848677365678
2023,three_point_share,diff_three_share,-0.047781457865703203
2023,three_point_share,diff_opp_three_share,-0.0066130999536903991
2023,three_point_share,diff_rank_consensus_logit,0.41173886736943077
2023,three_point_share,rate_three_point_share_offense,0.012104089440653212
2023,three_point_share,rate_three_point_share_defense,0.1349653868003815
2023,three_point_share,rate_free_throw_share_offense,-0.15483076931298009
2023,three_point_share,rate_free_throw_share_defense,-0.027020857079901275
2023,three_point_share,adjusted_three_point_share_offense,0.015410129316698469
2023,three_point_share,adjusted_three_point_share_defense,-0.14870318890629203
2023,free_throw_share,diff_seed,0.060383571060462889
2023,free_throw_share,diff_strength,0.22666139302573157
2023,free_throw_share,diff_schedule_strength,0.48141492918474937
2023,free_throw_share,diff_win_rate,0.053004076934652318
2023,free_throw_share,diff_margin,0.065868383719704798
2023,free_throw_share,diff_margin_sd,0.029456897777320711
2023,free_throw_share,diff_adj_offense,0.24909712082911084
2023,free_throw_share,diff_adj_defense,0.28402608603572743
2023,free_throw_share,diff_two_posterior,0.020953683104749102
2023,free_throw_share,diff_three_posterior,-0.09277152796490408
2023,free_throw_share,diff_free_posterior,0.03808725999475325
2023,free_throw_share,diff_opp_two_posterior,0.13021126786312209
2023,free_throw_share,diff_opp_three_posterior,0.066488765104452827
2023,free_throw_share,diff_opp_free_posterior,0.064664995353325497
2023,free_throw_share,diff_three_share,-0.039502534637396301
2023,free_throw_share,diff_opp_three_share,0.043026313413250243
2023,free_throw_share,diff_rank_consensus_logit,0.41859007537296705
2023,free_throw_share,rate_three_point_share_offense,0.01909335258662969
2023,free_throw_share,rate_three_point_share_defense,0.051744221359837195
2023,free_throw_share,rate_free_throw_share_offense,-0.13726704687062946
2023,free_throw_share,rate_free_throw_share_defense,0.041463191555325754
2023,free_throw_share,adjusted_free_throw_share_offense,-0.024732813951629105
2023,free_throw_share,adjusted_free_throw_share_defense,-0.064904497116265517
2023,both,diff_seed,0.063762547022239394
2023,both,diff_strength,0.22786538006663554
2023,both,diff_schedule_strength,0.47753741538348321
2023,both,diff_win_rate,0.050415462320143926
2023,both,diff_margin,0.067185775012674573
2023,both,diff_margin_sd,0.024124213186291377
2023,both,diff_adj_offense,0.24819562528393418
2023,both,diff_adj_defense,0.28876019270593084
2023,both,diff_two_posterior,0.02816486825668392
2023,both,diff_three_posterior,-0.095655790764061194
2023,both,diff_free_posterior,0.036859894585465389
2023,both,diff_opp_two_posterior,0.15612606846791716
2023,both,diff_opp_three_posterior,0.041564672910876913
2023,both,diff_opp_free_posterior,0.068146578516142031
2023,both,diff_three_share,-0.045700202655905769
2023,both,diff_opp_three_share,-0.018541773026948816
2023,both,diff_rank_consensus_logit,0.41304846214352359
2023,both,rate_three_point_share_offense,0.011528117454022534
2023,both,rate_three_point_share_defense,0.12844195697505689
2023,both,rate_free_throw_share_offense,-0.14068686220692142
2023,both,rate_free_throw_share_defense,0.038590326117392354
2023,both,adjusted_three_point_share_offense,0.013755226192034656
2023,both,adjusted_three_point_share_defense,-0.15577044702143866
2023,both,adjusted_free_throw_share_offense,-0.017800063449952733
2023,both,adjusted_free_throw_share_defense,-0.079037343376695435
2023,duplicate_control,diff_seed,0.060671762333159227
2023,duplicate_control,diff_strength,0.22703068431856649
2023,duplicate_control,diff_schedule_strength,0.4822200007450746
2023,duplicate_control,diff_win_rate,0.051978930172846237
2023,duplicate_control,diff_margin,0.068032965053448566
2023,duplicate_control,diff_margin_sd,0.028932312041000548
2023,duplicate_control,diff_adj_offense,0.24798979877001542
2023,duplicate_control,diff_adj_defense,0.28434419774397512
2023,duplicate_control,diff_two_posterior,0.017351490823015851
2023,duplicate_control,diff_three_posterior,-0.095754324391177439
2023,duplicate_control,diff_free_posterior,0.039681498812286456
2023,duplicate_control,diff_opp_two_posterior,0.12181051466381297
2023,duplicate_control,diff_opp_three_posterior,0.073840008000930407
2023,duplicate_control,diff_opp_free_posterior,0.06567485059415501
2023,duplicate_control,diff_three_share,-0.041033153256255311
2023,duplicate_control,diff_opp_three_share,0.065963320662490568
2023,duplicate_control,diff_rank_consensus_logit,0.41838452955267863
2023,duplicate_control,rate_three_point_share_offense,0.0086936849031020204
2023,duplicate_control,rate_three_point_share_defense,0.039178404805584911
2023,duplicate_control,rate_free_throw_share_offense,-0.084790390731021473
2023,duplicate_control,rate_free_throw_share_defense,-0.0050549584873266825
2023,duplicate_control,duplicate_control_1,0.0086936849031020204
