Gender,Comparison,Block,Features,MedianPSI,MaxPSI,PSIWarnings,MedianAbsSMD,MaxKS
W,locked_2022_2025,prior_program_history,8,0.1162612368307359,0.7717226733729973,3,0.09687832742929459,0.18988648888064852
W,locked_2022_2025,schedule_and_accomplishment,16,0.07218419763525948,0.218724816744897,1,0.15002963691949844,0.1708975824809699
W,locked_2022_2025,selection_committee_prior,6,0.0072774774532349375,0.1461289412465869,0,0.1893126368522644,0.13965627349793475
W,locked_2022_2025,within_season_normalization,34,0.10218798010313432,0.20880727313705244,2,0.16974566131830215,0.16371558357281912
W,stage2_2026_seed_aware,availability_and_context,3,0.0,0.009974012223643736,0,0.015163700096309185,0.0013802622498274672
W,stage2_2026_seed_aware,compact_performance,112,0.041578924058430236,0.30468616301079066,7,0.0679081529378891,0.16218020844504794
W,stage2_2026_seed_aware,conference_context,11,0.1228652959509895,0.47026241617110764,3,0.044278521090745926,0.15493928482056893
W,stage2_2026_seed_aware,detailed_efficiency,325,0.04621604688448597,5.675319363014927,9,0.08691499382257462,0.26875760037954183
W,stage2_2026_seed_aware,dynamic_ratings,20,0.03497081076941259,0.08000369332139777,0,0.05712642893195152,0.07992918127666382
W,stage2_2026_seed_aware,geography_and_schedule_dispersion,5,0.5603747715156872,0.9268877456031887,4,0.04888423532247543,0.26875760037954183
W,stage2_2026_seed_aware,global_strength_ratings,21,0.04844985969291817,0.48044399934485105,4,0.05019618198275566,0.18206404344130037
W,stage2_2026_seed_aware,matchup_context,7,0.10756719673690752,0.3133405963717456,2,0.18756788847876976,0.26890301870261407
W,stage2_2026_seed_aware,matchup_interactions,10,0.05798807231686657,0.986402923315087,2,0.13040918856859207,0.41285534330539486
W,stage2_2026_seed_aware,opponent_adjusted_efficiency,10,0.04548553880340342,0.10617730710407745,0,0.11321639642119408,0.10242016299961866
W,stage2_2026_seed_aware,prequential_seed_priors,2,0.1585999950815096,0.18130580328768675,0,0.01693786983562807,0.08574318760599632
W,stage2_2026_seed_aware,prior_program_history,8,0.12247965873979821,0.6162678435724378,3,0.07254678755998611,0.17724069943789758
W,stage2_2026_seed_aware,schedule_and_accomplishment,16,0.056066081671942866,0.32380472226950285,1,0.030249787494540215,0.14715364839424847
W,stage2_2026_seed_aware,selection_committee_prior,6,0.05190678797420269,0.14941814014994068,0,0.03130729030817747,0.12291483757682177
W,stage2_2026_seed_aware,within_season_normalization,34,0.05676579792595407,0.48044399934485105,1,0.04314688220620155,0.18206404344130037
