Gender,Comparison,Block,Features,MedianPSI,MaxPSI,PSIWarnings,MedianAbsSMD,MaxKS
M,locked_2022_2025,availability_and_context,6,0.0,0.014070769629011179,0,0.11500253528356552,0.07984945793260714
M,locked_2022_2025,compact_performance,112,0.04361675652370865,1.9199255903714352,5,0.08072487264871597,0.23008876635381573
M,locked_2022_2025,conference_context,11,0.05005844644310857,0.10833386730020131,0,0.09161986410617828,0.08587887064461894
M,locked_2022_2025,detailed_efficiency,325,0.04970988613881799,4.9255733901077905,4,0.06223801523447037,0.20932239965472593
M,locked_2022_2025,dynamic_ratings,20,0.02547670775442652,0.08999587271068722,0,0.05634865164756775,0.08822203183478379
M,locked_2022_2025,geography_and_schedule_dispersion,5,1.1859041139426036,1.4728527958522406,3,0.12617555260658264,0.33376599952331565
M,locked_2022_2025,global_strength_ratings,21,0.044218914980328684,0.11019714859000052,0,0.09482131153345108,0.10103292342774689
M,locked_2022_2025,massey_consensus,37,0.0644425606336387,0.16404499629017294,0,0.15081775188446045,0.1260906746482449
M,locked_2022_2025,matchup_context,7,0.03305791247504919,0.07138255544302168,0,0.09515299502855773,0.07487487036118501
M,locked_2022_2025,matchup_interactions,10,0.052086617663609815,0.7961089989977154,1,0.0899272933602333,0.3238875478660887
M,locked_2022_2025,opponent_adjusted_efficiency,10,0.06268265780259683,0.11603088538745203,0,0.1285867616534233,0.12612951331403946
M,locked_2022_2025,prequential_seed_priors,2,0.08597748857761195,0.08698217704514294,0,0.1489465333207354,0.09769935389947114
M,locked_2022_2025,prior_coach_history,10,0.06245575005100602,0.3043643154402949,1,0.07139003649353981,0.15728328577226083
M,locked_2022_2025,prior_program_history,8,0.14826793240209962,0.5852970599869662,3,0.138745978474617,0.1901825572182248
M,locked_2022_2025,schedule_and_accomplishment,16,0.04881907964259796,0.08496720105793541,0,0.10060857236385345,0.1004000283433931
M,locked_2022_2025,selection_committee_prior,6,0.012167932911320602,0.07138255544302168,0,0.11870590597391129,0.07487487036118501
M,locked_2022_2025,within_season_normalization,36,0.04865412824006203,0.11603088538745203,0,0.09631373733282089,0.12612951331403946
M,stage2_2026_seed_aware,availability_and_context,6,0.0,0.019073991091859824,0,0.5946862697601318,0.1366975703118872
M,stage2_2026_seed_aware,compact_performance,112,0.029855090616246388,1.700376577932453,4,0.07952531427145004,0.19516756515475378
M,stage2_2026_seed_aware,conference_context,11,0.059243651110468504,0.5932401184919758,3,0.06570064276456833,0.16729157280443854
M,stage2_2026_seed_aware,detailed_efficiency,325,0.041212222075833374,4.9255733901077905,4,0.08018091320991516,0.26874481009308193
M,stage2_2026_seed_aware,dynamic_ratings,20,0.054098826688360406,0.14555994047222148,0,0.1263323873281479,0.13474612011914835
M,stage2_2026_seed_aware,geography_and_schedule_dispersion,5,1.3426798713792456,1.719076709864078,3,0.06541526317596436,0.4009301786277933
M,stage2_2026_seed_aware,global_strength_ratings,21,0.08731888044648917,0.14973525348900718,0,0.1260940283536911,0.12416622869556354
M,stage2_2026_seed_aware,massey_consensus,37,0.1932780818981193,1.0456423604795726,11,0.14185020327568054,0.1640652280187164
M,stage2_2026_seed_aware,matchup_context,7,0.08504299448854524,0.45416037700654294,2,0.17001771926879883,0.2549238119741742
M,stage2_2026_seed_aware,matchup_interactions,10,0.05588258616600272,1.3618054004850237,2,0.16460737586021423,0.4302454208015558
M,stage2_2026_seed_aware,opponent_adjusted_efficiency,10,0.0829669771805189,0.1519051523163776,0,0.22049522399902344,0.14511704564293143
M,stage2_2026_seed_aware,prequential_seed_priors,2,0.1818190120046988,0.1937882978577733,0,0.13510762556659367,0.12852629891745668
M,stage2_2026_seed_aware,prior_coach_history,10,0.05803557053227962,0.11878358482440209,0,0.0659499242901802,0.12109459168282698
M,stage2_2026_seed_aware,prior_program_history,8,0.29081328651623584,0.6741982131459447,5,0.19250301271677017,0.20077239535395708
M,stage2_2026_seed_aware,schedule_and_accomplishment,16,0.11217046796940972,0.24902941296726092,1,0.11459679529070854,0.12230117280261972
M,stage2_2026_seed_aware,selection_committee_prior,6,0.14127392979598552,0.27916776886715133,2,0.1601411998271942,0.194524344435885
M,stage2_2026_seed_aware,within_season_normalization,36,0.07743373421821191,0.20200814413916818,1,0.13508399575948715,0.13578469162381548
W,locked_2022_2025,availability_and_context,3,0.0,0.009974012223643736,0,0.015163700096309185,0.0013802622498274672
W,locked_2022_2025,compact_performance,112,0.06688411017730339,0.34833472065569115,3,0.1274704709649086,0.19445989514127088
W,locked_2022_2025,conference_context,11,0.08222984748286284,0.11891785579608932,0,0.11095967888832092,0.11544245645478611
W,locked_2022_2025,detailed_efficiency,325,0.0802478702762726,5.675319363014927,24,0.1399007812142372,0.2662567081775388
W,locked_2022_2025,dynamic_ratings,20,0.07707791318835765,0.10171896507190087,0,0.20859138667583466,0.1396459730333838
W,locked_2022_2025,geography_and_schedule_dispersion,5,0.70074913028803,1.0115946599055743,4,0.06161097064614296,0.26865414130177273
W,locked_2022_2025,global_strength_ratings,21,0.09373765743022315,0.17817504418213653,0,0.2300732582807541,0.16371558357281912
W,locked_2022_2025,matchup_context,7,0.08370538187309053,0.14620862337588114,0,0.2131725326180458,0.13965627349793475
W,locked_2022_2025,matchup_interactions,10,0.08382276332242208,0.4710328520474356,2,0.14193695411086082,0.2630408563244384
W,locked_2022_2025,opponent_adjusted_efficiency,10,0.12794996666092678,0.18553091760146823,0,0.23013298958539963,0.14335788589519932
W,locked_2022_2025,prequential_seed_priors,2,0.2970031519528522,0.29993023777687927,2,0.26017412488286834,0.15402027131423626
