recipe,seasons,games,mean_brier,mean_log_loss,mean_delta,game_weighted_brier
both,4,252,0.19253352766761847,0.56375135718911029,9.7954633689140147e-05,0.19253352766761847
cardinal_mapping,4,252,0.19288335174240351,0.56491417067816152,0.00044777870847416412,0.19288335174240348
duplicate_control,4,252,0.19204083248378895,0.56406125107449445,-0.00039474055014036835,0.19204083248378898
reference,4,252,0.19243557303392933,0.56372294952960711,0,0.19243557303392933
tail_resolution,4,252,0.19250093503418772,0.56345396962932193,6.5362000258396835e-05,0.19250093503418772
