recipe,bin,games,mean_probability,observed_fraction
both,0,10,0.048740802183040319,0.10000000000000001
both,1,19,0.14706855713032801,0.052631578947368418
both,2,15,0.25141606068017547,0.26666666666666666
both,3,27,0.34857817695292298,0.44444444444444442
both,4,29,0.44921016535375258,0.55172413793103448
both,5,41,0.54287845830016279,0.70731707317073167
both,6,25,0.64729509080616954,0.68000000000000005
both,7,41,0.75604488464188457,0.65853658536585369
both,8,26,0.84906482821744,0.84615384615384615
both,9,19,0.94115941861287178,0.89473684210526316
cardinal_mapping,0,12,0.05279122537108169,0.083333333333333329
cardinal_mapping,1,14,0.14319770873229049,0
cardinal_mapping,2,17,0.24508512979120081,0.23529411764705882
cardinal_mapping,3,28,0.34898870859604364,0.4642857142857143
cardinal_mapping,4,27,0.449078958177136,0.55555555555555558
cardinal_mapping,5,41,0.53793570782771005,0.68292682926829273
cardinal_mapping,6,28,0.64294330343277473,0.7142857142857143
cardinal_mapping,7,39,0.75192220308012248,0.69230769230769229
cardinal_mapping,8,27,0.84359319520399656,0.77777777777777779
cardinal_mapping,9,19,0.9431219523695058,0.89473684210526316
duplicate_control,0,11,0.04824191679957654,0.090909090909090912
duplicate_control,1,17,0.14836297299120418,0
duplicate_control,2,18,0.25370698363662397,0.22222222222222221
duplicate_control,3,26,0.35013542569331169,0.5
duplicate_control,4,30,0.45367726035333028,0.53333333333333333
duplicate_control,5,37,0.54497239272183584,0.70270270270270274
duplicate_control,6,26,0.64316451199924962,0.73076923076923073
duplicate_control,7,39,0.75502790781041151,0.64102564102564108
duplicate_control,8,28,0.83972736405811099,0.8571428571428571
duplicate_control,9,20,0.94189965986215363,0.90000000000000002
reference,0,11,0.052338878879767778,0.090909090909090912
reference,1,15,0.14396692140401721,0
reference,2,19,0.24805521689237761,0.26315789473684209
reference,3,24,0.34032065562157193,0.41666666666666669
reference,4,31,0.44828343508918844,0.58064516129032262
reference,5,35,0.53709395127639314,0.7142857142857143
reference,6,30,0.63675072125047338,0.69999999999999996
reference,7,45,0.75266640879325619,0.64444444444444449
reference,8,22,0.84417527475124166,0.81818181818181823
reference,9,20,0.93769494408402276,0.94999999999999996
tail_resolution,0,10,0.054754578704887223,0.10000000000000001
tail_resolution,1,17,0.1435075315872662,0.058823529411764705
tail_resolution,2,20,0.24877091839063917,0.25
tail_resolution,3,22,0.34357220075049089,0.45454545454545453
tail_resolution,4,33,0.44822588519423046,0.5757575757575758
tail_resolution,5,34,0.53999566955015388,0.67647058823529416
tail_resolution,6,28,0.63879956066184451,0.7142857142857143
tail_resolution,7,44,0.75283722406406817,0.65909090909090906
tail_resolution,8,26,0.85081053113270977,0.80769230769230771
tail_resolution,9,18,0.93981247257098255,0.94444444444444442
