Gender,model,feature,folds,retained_folds,retention_rate
M,hist,diff_research_distribution_last30days_allowed_efficiency_min,5,0,0.0
M,hist,diff_research_distribution_last30days_allowed_efficiency_q10,5,0,0.0
M,hist,diff_research_distribution_last30days_allowed_efficiency_q25,5,0,0.0
M,hist,diff_research_distribution_last30days_allowed_efficiency_q75,5,0,0.0
M,hist,diff_research_distribution_last30days_allowed_efficiency_q90,5,0,0.0
M,hist,diff_research_distribution_last30days_allowed_efficiency_skew,5,0,0.0
M,hist,diff_research_distribution_last30days_allowed_efficiency_std,5,0,0.0
M,hist,diff_research_distribution_last30days_allowed_iqr,5,0,0.0
M,hist,diff_research_distribution_last30days_allowed_max,5,0,0.0
M,hist,diff_research_distribution_last30days_allowed_mean,5,0,0.0
M,hist,diff_research_distribution_last30days_allowed_median,5,0,0.0
M,hist,diff_research_distribution_last30days_allowed_min,5,0,0.0
M,hist,diff_research_distribution_last30days_allowed_q10,5,0,0.0
M,hist,diff_research_distribution_last30days_allowed_q25,5,0,0.0
M,hist,diff_research_distribution_last30days_allowed_q75,5,0,0.0
M,hist,diff_research_distribution_last30days_allowed_q90,5,0,0.0
M,hist,diff_research_distribution_last30days_allowed_skew,5,0,0.0
M,hist,diff_research_distribution_last30days_allowed_std,5,0,0.0
M,hist,diff_research_distribution_last30days_efficiency_count,5,0,0.0
M,hist,diff_research_distribution_last30days_efficiency_iqr,5,0,0.0
M,hist,diff_research_distribution_last30days_efficiency_max,5,0,0.0
M,hist,diff_research_distribution_last30days_efficiency_mean,5,0,0.0
M,hist,diff_research_distribution_last30days_efficiency_median,5,0,0.0
M,hist,diff_research_distribution_last30days_efficiency_min,5,0,0.0
M,hist,diff_research_distribution_last30days_efficiency_q10,5,0,0.0
M,hist,diff_research_distribution_last30days_efficiency_q25,5,0,0.0
M,hist,diff_research_distribution_last30days_efficiency_q75,5,0,0.0
M,hist,diff_research_distribution_last30days_efficiency_q90,5,0,0.0
M,hist,diff_research_distribution_last30days_efficiency_skew,5,0,0.0
M,hist,diff_research_distribution_last30days_efficiency_std,5,0,0.0
M,hist,diff_research_distribution_last30days_efg_count,5,0,0.0
M,hist,diff_research_distribution_last30days_efg_iqr,5,0,0.0
M,hist,diff_research_distribution_last30days_efg_max,5,0,0.0
M,hist,diff_research_distribution_last30days_efg_mean,5,0,0.0
M,hist,diff_research_distribution_last30days_efg_median,5,0,0.0
M,hist,diff_research_distribution_last30days_efg_min,5,0,0.0
M,hist,diff_research_distribution_last30days_efg_q10,5,0,0.0
M,hist,diff_research_distribution_last30days_efg_q25,5,0,0.0
M,hist,diff_research_distribution_last30days_efg_q75,5,0,0.0
M,hist,diff_research_distribution_last30days_efg_q90,5,0,0.0
M,hist,diff_research_distribution_last30days_efg_skew,5,0,0.0
M,hist,diff_research_distribution_last30days_efg_std,5,0,0.0
M,hist,diff_research_distribution_last30days_free_accuracy_count,5,0,0.0
M,hist,diff_research_distribution_last30days_free_accuracy_iqr,5,0,0.0
M,hist,diff_research_distribution_last30days_free_accuracy_max,5,0,0.0
M,hist,diff_research_distribution_last30days_free_accuracy_mean,5,0,0.0
M,hist,diff_research_distribution_last30days_free_accuracy_median,5,0,0.0
M,hist,diff_research_distribution_last30days_free_accuracy_min,5,0,0.0
M,hist,diff_research_distribution_last30days_free_accuracy_q10,5,0,0.0
M,hist,diff_research_distribution_last30days_free_accuracy_q25,5,0,0.0
M,hist,diff_research_distribution_last30days_free_accuracy_q75,5,0,0.0
M,hist,diff_research_distribution_last30days_free_accuracy_q90,5,0,0.0
M,hist,diff_research_distribution_last30days_free_accuracy_skew,5,0,0.0
M,hist,diff_research_distribution_last30days_free_accuracy_std,5,0,0.0
M,hist,diff_research_distribution_last30days_free_points_share_count,5,0,0.0
M,hist,diff_research_distribution_last30days_free_points_share_iqr,5,0,0.0
M,hist,diff_research_distribution_last30days_free_points_share_max,5,0,0.0
M,hist,diff_research_distribution_last30days_free_points_share_mean,5,0,0.0
M,hist,diff_research_distribution_last30days_free_points_share_median,5,0,0.0
M,hist,diff_research_distribution_last30days_free_points_share_min,5,0,0.0
M,hist,diff_research_distribution_last30days_free_points_share_q10,5,0,0.0
M,hist,diff_research_distribution_last30days_free_points_share_q25,5,0,0.0
M,hist,diff_research_distribution_last30days_free_points_share_q75,5,0,0.0
M,hist,diff_research_distribution_last30days_free_points_share_q90,5,0,0.0
M,hist,diff_research_distribution_last30days_free_points_share_skew,5,0,0.0
M,hist,diff_research_distribution_last30days_free_points_share_std,5,0,0.0
