Season,block,model,games,brier,log_loss,roc_auc,average_precision,precision_at_05,recall_at_05,f1_at_05,ece_10_bins
2016,adjusted,hist,130,0.18896814529059017,0.5515408990625603,0.7911515151515152,0.7415260588947191,0.6307692307692307,0.7454545454545455,0.6833333333333333,0.10489893494248721
2016,adjusted,logistic,130,0.17770415986306853,0.5197336000339523,0.8152727272727273,0.7608193473537301,0.6323529411764706,0.7818181818181819,0.6991869918699187,0.0703117190007004
2016,ball_control,hist,130,0.17679120022191,0.5268191096491793,0.8145454545454545,0.758345292304943,0.6557377049180327,0.7272727272727273,0.6896551724137931,0.07203253721645497
2016,ball_control,logistic,130,0.18317216707731385,0.5351484270703715,0.8038787878787879,0.739029054355643,0.6307692307692307,0.7454545454545455,0.6833333333333333,0.08993531280542935
2016,baseline_124,hist,130,0.19073520203942235,0.5772525252874844,0.7907878787878788,0.6527327771045008,0.671875,0.7818181818181819,0.7226890756302521,0.13807517391229704
2016,baseline_124,logistic,130,0.21979590755930428,0.7277776396996061,0.7709090909090909,0.695442892198432,0.6231884057971014,0.7818181818181819,0.6935483870967742,0.16744085325069857
2016,coach_history,hist,130,0.16557330096484085,0.4954833039847327,0.8358787878787879,0.7941338540595443,0.6567164179104478,0.8,0.7213114754098361,0.08093003057852598
2016,coach_history,logistic,130,0.16789485528849907,0.4947066512283365,0.8322424242424242,0.7798526063258484,0.6666666666666666,0.7636363636363637,0.711864406779661,0.06857139979168762
2016,conference,hist,130,0.19158083603441314,0.5581153871429408,0.7793939393939394,0.7256647899995521,0.6153846153846154,0.7272727272727273,0.6666666666666666,0.07170185498470442
2016,conference,logistic,130,0.17401050232529136,0.5079222912262124,0.8172121212121212,0.7725257392630911,0.6323529411764706,0.7818181818181819,0.6991869918699187,0.08337776106737277
2016,distribution,hist,130,0.19205319486440944,0.5626750659892108,0.7905454545454546,0.7213036275664266,0.6119402985074627,0.7454545454545455,0.6721311475409836,0.105611324876205
2016,distribution,logistic,130,0.21883048713260542,0.6903867644045429,0.775030303030303,0.712015694772657,0.6086956521739131,0.7636363636363637,0.6774193548387096,0.18795247067905574
2016,dynamic,hist,130,0.17981536508365945,0.5293089058250878,0.806060606060606,0.7491723869470412,0.6290322580645161,0.7090909090909091,0.6666666666666666,0.08997757870376503
2016,dynamic,logistic,130,0.17306533030594867,0.5083942319031525,0.8215757575757576,0.7659923937248349,0.6567164179104478,0.8,0.7213114754098361,0.07702381515126792
2016,expanded_non_massey,hist,130,0.19568471792678646,0.5895673857135547,0.7786666666666665,0.6645891124350123,0.6212121212121212,0.7454545454545455,0.6776859504132231,0.11774276551645385
2016,expanded_non_massey,logistic,130,0.2071003528038788,0.6690496672956202,0.7827878787878788,0.7109848410125454,0.6290322580645161,0.7090909090909091,0.6666666666666666,0.14845470588418924
2016,expanded_non_massey_no_coach,hist,130,0.20131388148277501,0.6017890237193587,0.7701818181818182,0.6626675465996377,0.609375,0.7090909090909091,0.6554621848739496,0.11663054868862227
2016,expanded_non_massey_no_coach,logistic,130,0.2199078794246792,0.691810515349781,0.7684848484848484,0.7000595955469713,0.6,0.7090909090909091,0.65,0.15409740742761854
2016,expanded_non_massey_no_target,hist,130,0.19915052204354475,0.5966459305238713,0.7750303030303031,0.6648464645522619,0.6142857142857143,0.7818181818181819,0.688,0.1027604066115321
2016,expanded_non_massey_no_target,logistic,130,0.20795971430056692,0.6655482148740763,0.7832727272727272,0.7124279916326979,0.625,0.7272727272727273,0.6722689075630253,0.13004289506015046
