Gender,Season,block,model,feature,fitted,train_nonmissing,validation_nonmissing,train_games,validation_games,standardized_coefficient,status
M,2016,full,logistic,diff_elo,True,201,67,201,67,0.126670810713506,fitted
M,2016,full,logistic,diff_elo_mov,True,201,67,201,67,0.0278728293163225,fitted
M,2016,full,logistic,diff_elo_change,True,201,67,201,67,0.1689774519486814,fitted
M,2016,full,logistic,diff_elo_mov_change,True,201,67,201,67,-0.2128103089259496,fitted
M,2016,full,logistic,diff_prior_wins,True,201,67,201,67,0.5306638383223417,fitted
M,2016,full,logistic,diff_prior_appearances,True,201,67,201,67,-0.2416670787237373,fitted
M,2016,full,logistic,diff_prior_seed,True,201,67,201,67,-0.0419084995394537,fitted
M,2016,full,logistic,diff_te_team_mean,True,201,67,201,67,-0.0076046659074917,fitted
M,2016,full,logistic,diff_te_team_uncertainty,True,201,67,201,67,0.0086420162911019,fitted
M,2016,full,logistic,diff_te_team_support,True,201,67,201,67,-0.2132322571899325,fitted
M,2016,full,logistic,diff_te_seed_mean,True,201,67,201,67,0.1094831220005177,fitted
M,2016,full,logistic,diff_te_seed_uncertainty,True,201,67,201,67,-0.0774690006024871,fitted
M,2016,full,logistic,diff_te_seed_support,True,201,67,201,67,-0.0427106292358897,fitted
M,2016,full,logistic,pace_strength,True,201,67,201,67,0.0605854798275713,fitted
M,2016,full,logistic,uncertainty_strength,True,201,67,201,67,0.1023234374403133,fitted
M,2016,full,logistic,three_variance_strength,True,201,67,201,67,0.0437426022864432,fitted
M,2016,full,logistic,shooting_style,True,201,67,201,67,-0.1065808672728672,fitted
M,2016,full,logistic,offense_defense,True,201,67,201,67,0.3067124231940973,fitted
M,2016,full,logistic,recent_offense_defense,True,201,67,201,67,0.1941242526162708,fitted
M,2017,full,logistic,diff_seed,True,268,67,268,67,0.278524360296744,fitted
M,2017,full,logistic,diff_strength,True,268,67,268,67,0.0674569087281798,fitted
M,2017,full,logistic,diff_schedule_strength,True,268,67,268,67,0.3975196096995592,fitted
M,2017,full,logistic,diff_win_rate,True,268,67,268,67,0.1284021153475033,fitted
M,2017,full,logistic,diff_margin,True,268,67,268,67,-0.0588390452189868,fitted
M,2017,full,logistic,diff_margin_sd,True,268,67,268,67,0.0332548959206013,fitted
M,2017,full,logistic,diff_efg,True,268,67,268,67,0.0911391353949624,fitted
M,2017,full,logistic,diff_tov,True,268,67,268,67,0.0612896307784352,fitted
M,2017,full,logistic,diff_orb,True,268,67,268,67,-0.0435227839206861,fitted
M,2017,full,logistic,diff_ftr,True,268,67,268,67,-0.1229071646688582,fitted
M,2017,full,logistic,diff_three_rate,True,268,67,268,67,-0.0012898350426968,fitted
M,2017,full,logistic,diff_opp_efg,True,268,67,268,67,-0.0023763192896246,fitted
M,2017,full,logistic,diff_opp_tov,True,268,67,268,67,0.2169463024402996,fitted
M,2017,full,logistic,diff_opp_orb,True,268,67,268,67,-0.0292899882823389,fitted
M,2017,full,logistic,diff_opp_ftr,True,268,67,268,67,-0.293274816723265,fitted
M,2017,full,logistic,diff_opp_three_rate,True,268,67,268,67,-0.0045021946231594,fitted
M,2017,full,logistic,diff_detailed_coverage,False,268,67,268,67,,no_training_signal
M,2017,full,logistic,diff_recent_strength,True,268,67,268,67,-0.0671986204079047,fitted
M,2017,full,logistic,diff_strength_change,True,268,67,268,67,-0.1517742218345312,fitted
M,2017,full,logistic,matchup_efg,True,268,67,268,67,0.1137460505638483,fitted
M,2017,full,logistic,matchup_tov,True,268,67,268,67,-0.1509286457542495,fitted
M,2017,full,logistic,matchup_orb,True,268,67,268,67,0.2023134337525098,fitted
M,2017,full,logistic,matchup_ftr,True,268,67,268,67,-0.0372221950646811,fitted
M,2017,full,logistic,matchup_three_rate,True,268,67,268,67,-0.0743088420430137,fitted
M,2017,full,logistic,matchup_strength_volatility,True,268,67,268,67,0.0135849609113095,fitted
M,2017,full,logistic,diff_adj_offense,True,268,67,268,67,0.0265765548448494,fitted
M,2017,full,logistic,diff_adj_defense,True,268,67,268,67,0.090825965732147,fitted
M,2017,full,logistic,diff_recent_offense,True,268,67,268,67,-0.0309846785312099,fitted
M,2017,full,logistic,diff_recent_defense,True,268,67,268,67,-0.0400600830457154,fitted
M,2017,full,logistic,diff_adjusted_efg_offense,True,268,67,268,67,0.1118423985374196,fitted
M,2017,full,logistic,diff_adjusted_efg_defense,True,268,67,268,67,0.2935868754543203,fitted
M,2017,full,logistic,diff_adjusted_tov_offense,True,268,67,268,67,-0.0270633900483147,fitted
M,2017,full,logistic,diff_adjusted_tov_defense,True,268,67,268,67,0.3351907349344512,fitted
M,2017,full,logistic,diff_adjusted_orb_offense,True,268,67,268,67,0.022919664402837,fitted
M,2017,full,logistic,diff_adjusted_orb_defense,True,268,67,268,67,-0.0236178043359489,fitted
M,2017,full,logistic,diff_adjusted_ftr_offense,True,268,67,268,67,-0.0746475934999675,fitted
M,2017,full,logistic,diff_adjusted_ftr_defense,True,268,67,268,67,0.0491057713866852,fitted
M,2017,full,logistic,diff_residual_sd,True,268,67,268,67,-0.2814418853622499,fitted
M,2017,full,logistic,diff_residual_downside,True,268,67,268,67,-0.3170795387805809,fitted
M,2017,full,logistic,diff_recent_residual,True,268,67,268,67,-0.0901622476374391,fitted
M,2017,full,logistic,diff_road_residual,True,268,67,268,67,0.3981757686212668,fitted
M,2017,full,logistic,diff_schedule_sd,True,268,67,268,67,0.0485980076435535,fitted
M,2017,full,logistic,diff_strong_opponent_margin,True,268,67,268,67,-0.1532270088250448,fitted
M,2017,full,logistic,diff_close_win_posterior,True,268,67,268,67,-0.1092822753148438,fitted
M,2017,full,logistic,diff_rest_days,True,268,67,268,67,0.053288163347161,fitted
M,2017,full,logistic,diff_two_posterior,True,268,67,268,67,0.2204544875179626,fitted
M,2017,full,logistic,diff_two_uncertainty,True,268,67,268,67,-0.071725777603212,fitted
M,2017,full,logistic,diff_three_posterior,True,268,67,268,67,-0.0983040505099516,fitted
M,2017,full,logistic,diff_three_uncertainty,True,268,67,268,67,-0.2017944428213376,fitted
M,2017,full,logistic,diff_free_posterior,True,268,67,268,67,0.0163379120447397,fitted
M,2017,full,logistic,diff_free_uncertainty,True,268,67,268,67,-0.0203688038682919,fitted
M,2017,full,logistic,diff_opp_two_posterior,True,268,67,268,67,0.0221449053722273,fitted
M,2017,full,logistic,diff_opp_two_uncertainty,True,268,67,268,67,-0.076457053976542,fitted
M,2017,full,logistic,diff_opp_three_posterior,True,268,67,268,67,0.1711821318993322,fitted
M,2017,full,logistic,diff_opp_three_uncertainty,True,268,67,268,67,0.0039276459431728,fitted
M,2017,full,logistic,diff_opp_free_posterior,True,268,67,268,67,0.1002702299329389,fitted
M,2017,full,logistic,diff_opp_free_uncertainty,True,268,67,268,67,0.0899830763782378,fitted
