Method,RawKind,MacroSeasonBrier,GameWeightedBrier,SeasonBrierStd,WorstSeasonBrier,ComplexityRank,HadFallback,FailureMessage,BestMeanMethod,OneSEThreshold,WithinOneSE,Selected,OuterFoldID,Model,ValidationSeason,SeedAware
temperature,probability,0.184521558935532,0.18452155893553196,0.011404346728011194,0.19366484588254973,1,False,,True,0.19110586158888107,True,False,rich_M_2019,tensorflow_mlp,2019,True
identity,probability,0.18458382625509695,0.1845838262550969,0.01132538505869648,0.19429654395227589,0,False,,False,0.19110586158888107,True,True,rich_M_2019,tensorflow_mlp,2019,True
platt,probability,0.1855999309979877,0.18559993099798772,0.013344683593507742,0.19760385403413275,2,False,,False,0.19110586158888107,True,False,rich_M_2019,tensorflow_mlp,2019,True
beta,probability,0.18669351300408055,0.18669351300408057,0.014141947677503723,0.19934558500304503,3,False,,False,0.19110586158888107,True,False,rich_M_2019,tensorflow_mlp,2019,True
spline,probability,0.18793000767733722,0.18793000767733717,0.008571157593102658,0.19682547803700673,4,False,,False,0.19110586158888107,True,False,rich_M_2019,tensorflow_mlp,2019,True
isotonic,probability,0.1885722369841717,0.18857223698417167,0.006658037659682687,0.19533692239862774,5,False,,False,0.19110586158888107,True,False,rich_M_2019,tensorflow_mlp,2019,True
