Feature,Block,MissingRate,NonMissingRows,UniqueValues,GlobalCorrelation,MedianAbsoluteSeasonCorrelation,SeasonSignConsistency,SeasonCoverage,SeasonCorrelationIQR,StabilityScore,Mandatory,InPrecorrelationPool,Selected,SelectionRank,ExclusionReason,OuterFoldID,InnerFoldID,Model,TargetColumn,SeedAware
diff__rating__pagerank_binary_z,global_strength_ratings,0.0,1225,1225,0.46625729260944543,0.48522374636020593,1.0,1.0,0.12128226837942968,0.5906327118917996,False,True,True,64.0,selected,rich_Pooled_2019,rich_Pooled_2019_inner_2016,torch_mlp,Team1Win,True
diff__norm__schedule__quality_win_points_sum__pct,within_season_normalization,0.0,1225,867,0.47659068559411205,0.4650498515167104,1.0,1.0,0.08642931222653344,0.5846167070696643,False,True,True,36.0,selected,rich_Pooled_2019,rich_Pooled_2019_inner_2016,torch_mlp,Team1Win,True
diff__norm__rating__pagerank_margin__z,within_season_normalization,0.0,1225,1225,0.46798610053695167,0.47030980554689683,1.0,1.0,0.13693546529358774,0.5832282301688962,False,True,True,37.0,selected,rich_Pooled_2019,rich_Pooled_2019_inner_2016,torch_mlp,Team1Win,True
diff__rating__pagerank_binary,global_strength_ratings,0.0,1225,1225,0.4084338181107624,0.48522374535508267,1.0,1.0,0.12128227155764526,0.5779115468925016,False,True,True,65.0,selected,rich_Pooled_2019,rich_Pooled_2019_inner_2016,torch_mlp,Team1Win,True
matchup__team1_is_seed_favorite,matchup_context,0.0,1225,2,0.46487123529112573,0.4584002243523897,1.0,1.0,0.18684200443919752,0.5748300992756268,False,True,True,8.0,selected,rich_Pooled_2019,rich_Pooled_2019_inner_2016,torch_mlp,Team1Win,True
diff__compact__home_margin_mean,compact_performance,0.011428571428571429,1211,1173,0.43960691170460864,0.46873807600819595,1.0,1.0,0.1545227054488354,0.5746126031267088,False,True,True,39.0,selected,rich_Pooled_2019,rich_Pooled_2019_inner_2016,torch_mlp,Team1Win,True
diff__compact__margin_q90,compact_performance,0.0,1225,424,0.44760409894643366,0.46334301680462964,1.0,1.0,0.19234621741889413,0.5731837011376819,False,True,True,40.0,selected,rich_Pooled_2019,rich_Pooled_2019_inner_2016,torch_mlp,Team1Win,True
diff__rating__bt_c0p25_percentile,global_strength_ratings,0.0,1225,863,0.4468569575225742,0.45465038013858666,1.0,1.0,0.08570729621528678,0.5731124212728764,False,True,True,66.0,selected,rich_Pooled_2019,rich_Pooled_2019_inner_2016,torch_mlp,Team1Win,True
diff__compact__margin_q75,compact_performance,0.0,1225,184,0.4288661078207426,0.467041532029989,1.0,1.0,0.16102222063588423,0.5720895902695227,False,True,True,41.0,selected,rich_Pooled_2019,rich_Pooled_2019_inner_2016,torch_mlp,Team1Win,True
diff__compact__pythag_exp8p0,compact_performance,0.0,1225,1225,0.44268679055356863,0.4531885671046634,1.0,1.0,0.08962838225075925,0.5713364708419931,False,True,True,42.0,selected,rich_Pooled_2019,rich_Pooled_2019_inner_2016,torch_mlp,Team1Win,True
