Method,RawKind,MacroSeasonBrier,GameWeightedBrier,SeasonBrierStd,WorstSeasonBrier,ComplexityRank,HadFallback,FailureMessage,BestMeanMethod,OneSEThreshold,WithinOneSE,Selected,OuterFoldID,Model,ValidationSeason,SeedAware
spline,probability,0.17083461183852625,0.17083461183852622,0.021425138299654256,0.18949515119946603,4,False,,True,0.18320442120325658,True,False,rich_Pooled_2019,torch_mlp,2019,True
identity,probability,0.17120773935723196,0.17120773935723194,0.01915946922451041,0.18527387470998954,0,False,,False,0.18320442120325658,True,True,rich_Pooled_2019,torch_mlp,2019,True
platt,probability,0.17172354487672523,0.1717235448767252,0.021599915773651477,0.19003160411958853,2,False,,False,0.18320442120325658,True,False,rich_Pooled_2019,torch_mlp,2019,True
temperature,probability,0.17172415501117658,0.17172415501117658,0.01921346294914731,0.1857614773397377,1,False,,False,0.18320442120325658,True,False,rich_Pooled_2019,torch_mlp,2019,True
beta,probability,0.17214953544635944,0.17214953544635944,0.022885082455477834,0.19231235550960252,3,False,,False,0.18320442120325658,True,False,rich_Pooled_2019,torch_mlp,2019,True
isotonic,probability,0.17522193403555342,0.17522193403555342,0.02067122017153168,0.19480323324181043,5,False,,False,0.18320442120325658,True,False,rich_Pooled_2019,torch_mlp,2019,True
