confidence_bin,games,mean_delta,total_delta
0,11,-0.00071320334248170915,-0.0078452367672988011
1,15,0.00045656092151614112,0.0068484138227421169
2,19,0.0004483909051121383,0.0085194271971306273
3,24,-0.0011732374215521607,-0.028157698117251856
4,31,0.0018378127631163027,0.056972195656605384
5,35,0.00057934861165548834,0.020277201407942091
6,30,-0.0053731794006920304,-0.16119538202076092
7,45,0.0042956114465032436,0.19330251509264595
8,22,-0.0025589882788361359,-0.056297742134394986
9,20,-0.00038695632238485095,-0.007739126447697019
