Method,RawKind,MacroSeasonBrier,GameWeightedBrier,SeasonBrierStd,WorstSeasonBrier,ComplexityRank,HadFallback,FailureMessage,BestMeanMethod,OneSEThreshold,WithinOneSE,Selected,OuterFoldID,Model,ValidationSeason,SeedAware
identity,probability,0.15408821439225098,0.15408821439225096,0.01965186738134182,0.1766976538647015,0,False,,True,0.1654342253149475,True,True,rich_W_2018,seed_logistic,2018,True
temperature,probability,0.15724870181304595,0.15724870181304587,0.021724863200074686,0.18232740584784632,1,False,,False,0.1654342253149475,True,False,rich_W_2018,seed_logistic,2018,True
beta,probability,0.1630690453149027,0.1630690453149027,0.022924158992448703,0.18647834735571825,3,False,,False,0.1654342253149475,True,False,rich_W_2018,seed_logistic,2018,True
platt,probability,0.16415928882425826,0.1641592888242583,0.0216784425501539,0.1855950952754218,2,False,,False,0.1654342253149475,True,False,rich_W_2018,seed_logistic,2018,True
spline,probability,0.16618852532659856,0.16618852532659859,0.02311893402528153,0.1896877721912257,4,False,,False,0.1654342253149475,False,False,rich_W_2018,seed_logistic,2018,True
isotonic,probability,0.19129868709227374,0.1912986870922737,0.018536639962146707,0.21223002273136005,5,False,,False,0.1654342253149475,False,False,rich_W_2018,seed_logistic,2018,True
